companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
AWS EMEA SARL (Spain Branch),3.8,Business Development Representative - Portuguese Speaker,Madrid,"Interest in developing a career in account management and Cloud technology 
Self-starter with highly developed interpersonal skills, decisive, and results oriented 
Excellent written and verbal communication skills 
Full professional fluency in English 
Full professional fluency in Italian 
Entry-level experience in account management and/or technical background Experience working with, and/or having knowledge of cloud computing and existing cloud technologies 
Experience navigating prospective accounts from and into a senior executive level to identify new customer opportunities 
Skill at presenting, at a high level, a technical solution to prospects and customers relevant to their industry or target market. 
Knowledge to differentiate and understand various IT roles and responsibilities 
Successful experience in account management or customer facing role in B2B environments, preferably in a technology-related environment",https://www.glassdoor.com/partner/jobListing.htm?pos=118&ao=1136043&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_ba2387f9&cb=1661281547111&jobListingId=1008000088573&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-2f06b438f8723446-
AWS EMEA SARL (Spain Branch),3.8,Account Executive for IBERIA,Madrid,"Experience in a quota carrying, full sales cycle ownership role, new business development Experience increasing technology adoption and creating long-term transformational account strategies Experience working with and presenting to C-level executives, IT, and other lines of business English language proficiency Technology-related sales or business development experience Basic knowledge and understanding of existing cloud technologies Domain experience with Enterprise AWS Certification (or equivalent) BA / BS degree",https://www.glassdoor.com/partner/jobListing.htm?pos=116&ao=1136043&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_f5c45ecf&cb=1661281547111&jobListingId=1007997555463&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-b3515d314dd6312a-
"Amazon Data Services Spain,S.L",3.8,"Data Center Strategy Development (Colocation), DCSS EMEA",Zaragoza,"BS/BA degree in Business, Economics, Finance or Accounting, Computer Science, or related experience 
7+ years of experience in one or more of the following areas: finance, finance operations, procurement, project management, asset management, accounting, accounts payable and/or lease management 
Experience working with cross-organizational teams in an international organization 7+ years of demonstrable experience in one or more of the following areas: finance, finance operations, procurement, project management, asset management, accounting, accounts payable, contracts management and/or lease management 
Ability to dive deep into data, existing processes, people and systems in order to invent, simplify and improve inefficient or unnecessarily complex processes 
Ability to work independently and prioritize effectively in a complex, ambiguous and fast-paced environment 
Demonstrable ability to meet tight deadlines while managing multiple projects 
Exceptional attention to detail, problem solving, analytical and organizational skills 
A work ethic based on a strong desire to exceed expectations 
Demonstrable knowledge of finance and economics principals 
Strong written and verbal communication skills 
Comfortable presenting and interfacing with senior leadership 
Willingness and ability to travel occasionally to site visits and team meetings 
Proven experience of delivering Lean/Six Sigma projects such as Kaizens, Greenbelts, and continuous improvement initiatives, this should include needs assessment, business case creation, scope definition, project planning and project implementation 
Exceptional project management skills with capacity to manage a large number competing priorities simultaneously and work to tight deadlines 
Excellent analytical skills with ability to provide big picture insights from highly granular data 
Strong interpersonal skills including written and verbal communication skills necessary to build effective working relationships and positively influence decision making 
Meets/exceeds Amazon’s leadership principles requirements for this role 
Meets/exceeds Amazon’s functional/technical depth and complexity for this role",https://www.glassdoor.com/partner/jobListing.htm?pos=111&ao=1136043&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_d8c83eca&cb=1661281547110&jobListingId=1007804458278&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-05963feedcf6eeec-
AWS EMEA SARL (Spain Branch),3.8,"Specialist Technical Account Manager - Big Data & Analytics, AWS, Specialist TAM",Madrid,"Experience in a similar role as a Solution Architect, Cloud Architect, Consultant, Senior Systems Engineer, Technical Lead, Data Engineer, Data Analyst 
5+ years of experience in developing and implementing Big Data & Analytics workloads in large, complex enterprises in multiple industry verticals, across a wide range of technology platforms. 
Ability to work effectively across internal and external organizations and virtual teams. 
Fluency in English. Experience (6+ years) in either designing or supporting the following technologies: Amazon Redshift (or similar technology like Teradata or Snowflake), Amazon EMR (or other Hadoop implementations), AWS Glue, Amazon Elasticsearch, Amazon Kinesis and/or Amazon MSK 
AWS Certifications, E.g. AWS Certified Big Data/ AWS Certified Data Analytics or AWS Solutions Architect Associate/Professional highly desirable. 
Ability to understand complex application data flows and bridge the gap between technical and business app requirements 
Company or regional-level recognition in the area of specialization. 
Experience and proficiency in public speaking and can hold own in senior-level presentations and discussions. 
Fluency in any additional European language is a plus.",https://www.glassdoor.com/partner/jobListing.htm?pos=122&ao=1136043&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_1b5d4c29&cb=1661281547111&jobListingId=1007637558204&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-572cbcea9f206d66-
PayFit,4.5,Senior Data Engineer,Barcelona,"Care for each other Always stay humble Strive for excellence Live and work with passion build and maintain efficient and scalable data pipelines to feed our lakehouse and enable data-driven features and decisions across PayFit build and maintain a robust and scalable infrastructure (orchestration, storage, data viz, ...) able to sustain teams needs and growth, and data volume's fast increase build and maintain CI/CD workflows to help the team deliver while ensuring data quality, reliability and availability in the production work with your peers in the data team to evangelize data best practices, identify needs and contribute to our data strategy and roadmap you have 3+ years of experience as Data Engineer, with a focus on building data pipelines you have 1+ years of experience in Python development, including testing, deployment and codebase refactoring at least one experience with Airflow, eg. DAGs creation and refactoring at least one experience with AWS, eg. service deployment on AWS ecosystem, usage of console and CLI at least one experience with a lakehouse backend, eg. Redshift, Snowflake, BigQuery, etc at least one ""production"" experience, ie. you deployed and maintained jobs, dags, apps, etc you master SQL, git/Github and common delivery processes 
you already worked with one of those technologies: Singer, dbt, datadog, terraform, looker, CircleCI you are a real team player who want to build a big success story with us you speak English fluently and you want to work in an international and dynamic environment you have a strong interpersonal and communication skills you want to learn, improve and gain responsibility you have a strong sense of humor :) an amazing working environment, designed for kindness and blossoming an attractive remuneration package an international and dynamic team with the opportunity to visit our different offices (Paris, Berlin, Barcelona, London) remote friendly policy a gym inside the office and Gymlib subscription with preferential rate regular team and global events restaurant tickets 4 weeks of paternity leave (fully covered) and 20 weeks of maternity leave (fully covered) Henner insurance (60% covered by PayFit) great coffee, fruits, snacks, foosball, MPG Teams or even team yoga classes MacBooks are our standard, but we'll provide whatever equipment you need to help you get your job done!",https://www.glassdoor.com/partner/jobListing.htm?pos=127&ao=1136043&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_1bf42f6d&cb=1661281547111&jobListingId=1007540787751&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-d954537248ff3cec-
AWS EMEA SARL (Spain Branch),3.8,"Sr. Data Architect, Data Lakes",Madrid,"Bachelor’s degree, or equivalent experience, in Computer Science, Engineering, Mathematics or a related field 
8+ years of experience of IT platform implementation in a highly technical and analytical role. 
5+ years’ experience of Data Lake/Hadoop platform implementation, including 3+ years of hands-on experience in implementation and performance tuning Hadoop/Spark implementations 
Ability to think strategically about business, product, and technical challenges in an enterprise environment. 
Experience with analytic solutions applied to the Marketing or Risk needs of enterprises 
Highly technical and analytical, possessing 5 or more years of IT platform implementation experience. 
Understanding of Apache Hadoop and the Hadoop ecosystem. Experience with one or more relevant tools (Sqoop, Flume, Kafka, Oozie, Hue, Zookeeper, HCatalog, Solr, Avro). 
Familiarity with one or more SQL-on-Hadoop technology (Hive, Impala, Spark SQL, Presto). 
Experience developing software code in one or more programming languages (Java, JavaScript, Python, etc). 
Current hands-on implementation experience required As Senior Consultant you will lead complex projects with autonomy and discretion, often involving multiple Amazon and customer teams. 
You will work with customers and partners, leading them through planning, prioritization and delivery of complex transformation initiatives, while collaborating with relevant Sales and Service Teams. 
You will design and deliver solutions that solve for new levels of complexity, scale and performance, and in turn, enable breakthrough innovations. 
You will create and apply frameworks, methods, best practices and artifacts that deliver prescriptive guidance to customers, and publish and present them in large forums and across various media platforms. 
You will guide customers’ technical architecture and investments, maximizing alignment with the AWS platform, and ease of adoption as new services and products become available. 
You will help customers define target business outcomes and related work streams, and lead the subsequent projects and initiatives to consistently exceed these goals. 
As an Amazonian leader you will demonstrate the Amazon Leadership Principles, coaching and mentoring others on best practices, performance and career development. 
This is a customer facing role. You will be required to travel to client locations and deliver professional services when needed. Experience in a Chief Architect role or similar 
Masters or PhD in Computer Science, Physics, Engineering or Math. 
Hands on experience leading large-scale global data warehousing and analytics projects. 
Ability to lead effectively across organizations. 
Understanding of database and analytical technologies in the industry including MPP and NoSQL databases, Data Warehouse design, BI reporting and Dashboard development. 
Demonstrated industry leadership in the fields of database, data warehousing or data sciences. 
Implementation and tuning experience specifically using Amazon Elastic Map Reduce (EMR). 
Implementing AWS services in a variety of distributed computing, enterprise environments. 
Computer Science or Math background preferred. 
Customer facing skills to represent AWS well within the customer’s environment and drive discussions with senior personnel regarding trade-offs, best practices, project management and risk mitigation. 
Should be able to interact with Chief Marketing Officers, Chief Risk Officers, Chief Technology Officers, and Chief Information Officers, as well as the people within their organizations.",https://www.glassdoor.com/partner/jobListing.htm?pos=114&ao=1136043&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_af79f4f8&cb=1661281547110&jobListingId=1007796370901&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-297ebc17290bfbc1-
IPO,NA,Database Developer / Data Engineer,Bormujos,"Take full ownership of our on-prem and cloud databases and data models. Work closely with the product manager and solution architect. Design and implement data models based on goals and architecture. Work with data consistency and data protection in mind. Ensure high performance when managing vast amount of data. Extensive professional experience as a DB developer and/or data engineer. Experience in implementing data models for BI or Big Data solutions. Profound knowledge of MS SQL Server and the MS Azure ecosystem. Experience with document-based DB technologies is a big plus. Fluent in English, both spoken and written (B2+), for internal communication. Salary between 40k and 50k per year, based on skills/experience. Yearly assessments, target agreements & salary increase. Private health insurance, paid trainings, team events and other benefits. Work in a modern and agile environment with state-of-the-art tools. Work partially or completely at home or at any other suitable place. Be part of a multi-cultural, talented, and ambitious team. Take advantage of career opportunities in a growing company.",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_84a301e3&cb=1661281547108&jobListingId=1007786962074&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-2a89575a67ee9cb5-
Siemens Energy,4.0,Lead Data Engineer (f/m/d) Backend,Barcelona,"
Master's degree in one of the following fields: computer science, mathematics, statistics, engineering, or a comparable field 
Knowledge of software engineering concepts and best practices 
Experience building data pipelines in production and ability to work across structured, semi-structured and unstructured data, as well as experience preparing data for analytics and following a data science workflow 
Experience and understanding around connectivity, data transformation and integrate ML models 
You are experienced in creating and designing ETL chains 
You are experienced in data modeling on Snowflake, AWS, Denodo, Matillion, Oracle, and other data warehouse solutions 
Experience in preparing data for analytics and following a data science workflow 
Good to have: Experience in an industry-related environment (e.g., energy sector) 
You have a strong customer focus and excellent communication skills along and navigate easily in a global & multicultural environment. 
You are an excellent team player and like to work in multi-disciplinary teams 
Passionate about data and analytics, and driving data value across all parts of an organization and ecosystems 
Excellent writing and communication skills in English, knowledge of German or any other language is a plus 
Use state of the art technologies like Snowflake, AWS, Matillion, Denodo and others to acquire, ingest and transform big datasets 
Responsibility for the target database system and own data warehousing process 
Map data fields to hypothesis, curate, wrangle and prepare data to be used in advanced analytics models 
You are responsible to enable efficient and performant data modeling in alignment to data product / data mesh concepts 
You will work on ETL chains and jobs 
Create and manage data environments in the cloud or on premise 
Ensure information security standards are always maintained 
Contribute to cross-functional problem-solving sessions with your team and deliver presentations to colleagues and clients 
In addition, you keep up to date of latest developments in data science principle and keep up to date with state-of-the-art technology to best support the business in making truly data-driven decisions 
You document and share methods, processes and project results and regularly communicate and present your findings 
You’ll be part of an inspiring team of real data science thought leaders and experts within the ED&AA global team and will be a valuable contributor",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_6c4ebf8b&cb=1661281547109&jobListingId=1008087775944&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-b11cc9950fd5902d-
Frontiers,4.2,Data Analyst,Spain,"Contribute to different initiatives involving descriptive, predictive, and prescriptive analysis by leveraging a variety of statistical techniques Provide analysis of trends and forecasts and recommend actions for optimization Identify patterns, build models, test, and improve predictive algorithms that increase our understanding of customer trends and identify opportunities to improve our products and services Work together with product managers, data scientists and business stakeholders to understand and support their needs Proactively identify opportunities for improvements in data quality, data visualization and data reporting for Digital Products Degree in a quantitative field, such as Statistics, Mathematics, Economics, Analytics, or other related fields with advanced coursework in statistics Experience with statistical modelling techniques (e.g. linear regression, logistic regression, GLM), forecasting and predictive modelling Working knowledge in one or more statistical programming languages (e.g. SAS, Python, or R) Experience querying operational Databases to complement lack of data in the official datasources Experience with Google Analytics and similar tools Experience with data visualization and graphics tools such as Tableau for the creation of reports and dashboards is a plus Familiarity with big data platforms (e.g. BigQuery, Spark, Databricks) is a plus Robust analytical, critical thinking, and creative problem solving skills Accustomed to fast-paced environments with simultaneous, high-priority tasks Solid written and verbal communication skills with the ability to clearly articulate ideas to both technical and non-technical audiences (fluency in English is a must)",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1110586&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_f7651123&cb=1661281547108&jobListingId=1008068180329&cpc=2CAED5C921A5F994&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-a8fde6c061f3fe12--6NYlbfkN0CdcVpcD-SPwWoZMSlDBiQP7OR6dXM65dkRb73euIv7_0KNkR8IU3-0ihY-EVm_3Rr9QMCe5WNv5kSq7fF7LIJTZQ4fYvm_2cRoYos8WsLHiGMmmb3S4ZOMcxu0DfdJhxBArO1J-R7A-2vtJ6kMVCV-W_DPd-9JH1IPp2avw8GkE6Rv6YasTJ1el_qT8-R9TcX_WJUtF1F6ZnOUahWeUmJephl2R9AKvmmK7gev7_raXR0K2Rx9b94TFlUc4Q3cskLRJz6NdgP7OJE1H9wmoh_QPRXx8jDAST-NWCNy6yv1QtUhkaV6iKE4foLFphqEKX4yxTLZVAkjraQFftr9V1VPY6OEdxf4S6_l3ptevWe1tIJ-LamBnOhLiX8XGIAfjG-dRBijn7s2kxwkJGBmZyXOmVWUCh6ZuzR8R-KMBRun3Ubel0kFvFIKbupt2apOivmUzggLOtHqGWsxS5d7gZgb17B83MEBWmmQuYJIb4n2SX5tXlzhKhvh-JH76VQo-e8UF-wUvOucIEdV15hIFU7gGajG-JG0eTFOr3FMFuvzjn6op1VddDn9T8PVDF7ue-I1Ngf84BBKKce-mXkLzFmh
"Amazon Spain Services, S.L.",3.8,"VAT Advisor, VAT Services on Amazon",Barcelona,"Team player who is confident in communicating with others and able to work with minimal supervision 
Partner well with people at all levels within an organization 
Ability to work in a team with a “can-do” attitude 
Demonstrate ownership, initiate and implement change with a problem solving approach 
Organized and methodical with attention to detail 
Strong analytical skills including Microsoft Excel 
Strong communication skills, both written and verbal in English 
Actively participating in projects throughout their lifecycle – from design through delivery 
Work with internal/external partners to collect and understand upcoming changes from a legislative/business standpoint, implementing these changes, ensuring end to end accuracy of the program 
Lead the implementation of VAT related control activities and design best in class quality assurance products 
Actively identify and address Seller and system issues through problem solving and analytics, identifying required technical solutions to bring value added opportunities to VAT service on Amazon offering 
Oversee other VAT related aspects of the business such as seller queries, audit support and process mapping At least 3+ years of experience in EU VAT in a multinational and/or professional organization. 
Ideally, 1-3 years of VAT compliance management experience VAT in a multinational and/or professional organization 
Experience of advisory or compliance in BIG 4 firms is an advantage",https://www.glassdoor.com/partner/jobListing.htm?pos=120&ao=1136043&s=58&guid=00000182cc18b18f8b2377ab5e6db627&src=GD_JOB_AD&t=SR&vt=w&cs=1_7e8b2843&cb=1661281547111&jobListingId=1007987286885&jrtk=3-0-1gb61hcegk6dq801-1gb61hceuih79800-c079d9b3a6c36ba1-
