job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,IGT,"Santiago de Chile, Región Metropolitana","Designs experiments and methodologies to generate and collect data for business use.
Performs complex statistical analysis on experimental or business data to…",Postedhace 12 días,,,https://www.indeed.com/rc/clk?jk=5413c64afc9d7d11&fccid=686992c6831d8b20&vjs=3
Data Scientist,SMU,"Santiago de Chile, Región Metropolitana","Ofrecemos un grato ambiente laboral, donde podrás desarrollarte y crecer de forma permanente, y además un espacio de cercanía y colaboración que distingue a…",Postedhace 16 días,,,https://www.indeed.com/rc/clk?jk=2f043f78cd5d60e7&fccid=59a66a706f16a4c8&vjs=3
Senior Data Scientist,Launch Potato,"Valparaíso, Valparaíso","Work with large amounts of data to identify and act on opportunities in monetization strategies.
Apply advanced statistical techniques to establish causal…",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=cd3510744b905d3e&fccid=dac5dfa9f05470c2&vjs=3
Data Scientist,Consultora Upside Down,"Santiago de Chile, Región Metropolitana","El/la Data Science será la persona que se dedique a garantizar calidad, integridad, exactitud y coherencia de la información en los recursos de despliegue de la…",Postedhace 7 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=cf74f8f8ad62ba00&fccid=7c1dfde9d3d8d38a&vjs=3
Advanced Data Scientist,Honeywell,"Santiago de Chile, Región Metropolitana","El Advanced Data Scientist de Honeywell Process Solutions es responsable del diseño, planificación y ejecución de proyectos de analítica descriptiva, predictiva…",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=de2d9d256d14062f&fccid=50208b5bf45ee3b8&vjs=3
BI / DATA SCIENTIST,Explora Chile S.A.,"Santiago de Chile, Región Metropolitana","Por lo que si eres una persona apasionada por los viajes, con fuerte orientación de servicio y altos estándares de calidad, te invitamos a unirte a nuestro…",Postedhace 22 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=43453eb2914cd27d&fccid=ace52280fc1418a6&vjs=3
Data Scientist Área Analítica Avanzada (Las Condes),Coca Cola Embonor S.A.,"Santiago de Chile, Región Metropolitana","Experiencia relacionada con el cargo en postulación.
Conocimientos de modelos estadísticos y machine learning.",Postedhace 2 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=49be2c8b834a289c&fccid=6bb4fc4a8a4cb4d9&vjs=3
Data Scientist y Customer Analytics,AFP PlanVital,"Santiago de Chile, Región Metropolitana","Experiencia: 2+ años en data science.
Estamos presentes desde el inicio del sistema previsional, ofreciendo una gestión eficiente con un alto nivel profesional.",Postedhace 21 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=e45bd4cf33919ac6&fccid=43619bd7aba40ad1&vjs=3
Senior Data Scientist,Fusemachines,"Santiago de Chile, Región Metropolitana","Hands-on experience with data science tools and visualization tools in Python (e.g. Scikit-learn, SciPy, pandas, Matplotlib, Bokeh, and/or Plotly, Seaborn,…",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=d2204abdafe6a82c&fccid=b711a2a28448b767&vjs=3
Data Scientist Junior Modalidad mixta,Team work,"Santiago de Chile, Región Metropolitana","Consultora de recursos humanos se encuentra en búsqueda de Especialista Data Sciencist, para importante cliente del rubro de energía, ubicado en la región…",Postedhace 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=3ca042a0e43c3566&fccid=7e65d6599e002f7a&vjs=3
