job_title,company,location,job_summary,post_date,more_info,salary,job_url
Applied Scientist,Microsoft,北京市+1地区,"Applied 
Scientist... part... 
Scientist, you will work with other researchers, applied 
scientist...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=6b657d2bc7e8f26b&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,ZEISS Group,上海市,"lead on big 
data and machine... 
data used for analysis Design and develop the 
database...",Posted8天前,全职,,https://www.indeed.com/rc/clk?jk=6b016342aedc157e&fccid=47148e4eb4f2966b&vjs=3
Principal Data & Applied Scientist- M365 Data Scientist,Microsoft,苏州市,"data pipelines in Azure or internal Big 
Data Environments to generate high-value 
data insights...",Posted19天前,,,https://www.indeed.com/rc/clk?jk=38e612744a34842e&fccid=734cb5a01ee60f80&vjs=3
Data Scientist - QuantumBlack,McKinsey & Company,北京市,"ll Work... 
data
scientist... Work with other 
data
scientists, 
data engineers, machine learning...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=e70676c57c4e81d1&fccid=6576e7250aa78c3c&vjs=3
Data Scientist II,LexisNexis,上海市,"search related projects. Conduct experiments on large 
datasets to evaluate the feasibility, results...",Posted30+天前,全职,,https://www.indeed.com/rc/clk?jk=6e394a9543871b4d&fccid=cce17bd4beada08d&vjs=3
Data Scientist,Byte Dance,中国+2地区,"data analysis, experimental design, effect improvement and 
data... big 
data analysis or 
data...",Posted2天前,,,https://www.indeed.com/rc/clk?jk=1a197e4e1fc27e5b&fccid=df5b582055f5069b&vjs=3
Applied Scientist 2-Multimedia Content Moderation,Microsoft,苏州市+1地区,"data analysis on large-scale, diverse 
data. Collaborate with other 
data
scientists, distributed...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=f3c40c3938932cc1&fccid=734cb5a01ee60f80&vjs=3
Siemens Mobility China-Data Scientist,Siemens,北京市,"data and 
data sources Identify and analyze anomalous 
data (including meta
data) Analyze 
data using...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=238baae6f1cb2420&fccid=ea6bb53f0b18b8f2&vjs=3
Data Scientist,PayPal,上海市,"voluminous 
data into concise... relational 
database fundamentals and 
data warehouse architecture...",Posted今天,,,https://www.indeed.com/rc/clk?jk=af07ef8c7082b1f7&fccid=978d9fd9799d55a8&vjs=3
Data Scientist – UI/UX,Micron,西安市,"JR31334 
Data
Scientist – UI/UX... 
data or analytic models Collaborate with 
Data Engineers for 
data...",Posted22天前,,,https://www.indeed.com/rc/clk?jk=5e8d33d6ad1320cc&fccid=be240c643a8631c5&vjs=3
Data Scientist,ByteDance,北京市+1地区,"other 
data
scientist... project team to design the 
data... 
data applications or 
data...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=48c2bd243a821f83&fccid=74fbc768a4e5bece&vjs=3
R&D Scientist,Dupont,上海市,"experiment and testing plans, collect and analyze 
data. Interact with Battery Tiers /OEMs and value...",Posted9天前,,,https://www.indeed.com/rc/clk?jk=cac80dec7450ef92&fccid=76bce720eab9a7b0&vjs=3
Data Scientist,IBM,上海市+2地区,"new 
data sources and 
data... 
data mining and machine learning modelling on massive 
datasets...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=7cd2ce5acace43d7&fccid=de71a49b535e21cb&vjs=3
DSP Associate Scientist I,Merck KGaA Darmstadt Germany,上海市,"experimental 
data. Transfer... R&D, Research 
Scientist, Chemistry, 
Scientist, Pharmacy, Research...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=ca4198549289f812&fccid=68d0e0954a811351&vjs=3
Data scientist /Machine learning engineer,Apple,北京市,"experienced 
data
scientist... across 
data science, 
data engineering, and 
data visualization...",Posted4天前,,,https://www.indeed.com/rc/clk?jk=110d2a6aa7abe4a6&fccid=c1099851e9794854&vjs=3
Senior Data Scientist,Munich Re,北京市,"Senior 
Data
Scientist Career... an experienced 
Data
Scientist to join our growing 
Data Analytics...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=a963d75ee6f98f53&fccid=d4448c192a012f32&vjs=3
Data Scientist,General Motors,上海市,"data/research sets. The 
data... insights from our 
data... Our 
Data Analytic team inform...",Posted4天前,,,https://www.indeed.com/rc/clk?jk=89ed86e42ad12ade&fccid=116680a29a847a70&vjs=3
(Sr.) Data Scientist,L'Oreal,上海市,"build 
data products/statistical... 1+ 
database languages(SQL) • Experience with 
data science...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=f41e895dcf91f70d&fccid=ec8a0bd60be9a6f5&vjs=3
研发应用研究分析师/R&D Applied Research Scientist(Nanjing),Siemens,仪征市,"according to 
data analytics... 
data analytics platforms and competing 
data analytics solutions...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=3e67411206913056&fccid=ea6bb53f0b18b8f2&vjs=3
Virology Associate Scientist,Merck KGaA Darmstadt Germany,上海市,"Associate 
Scientist is also... literacy and entry of 
data into 
databases Ability to complete...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=8ab89c2a3e079571&fccid=68d0e0954a811351&vjs=3
Data Scientist,Micron,陕西省,"ID:JR31336 
Data
Scientist Primary... 
databases via SQL and other query languages and applying 
data...",Posted21天前,,,https://www.indeed.com/rc/clk?jk=daee07a1104bd3f6&fccid=be240c643a8631c5&vjs=3
Research Scientist,Corning,上海市 浦东新区+1地区,"materials 
scientist/engineer... experiments and analyze 
data to test hypotheses and develop...",Posted30+天前,,,https://www.indeed.com/rc/clk?jk=f13202cfe3f6d627&fccid=fb75933edd65f432&vjs=3
"Associate Data Scientist (Internship) Beijing, Beijing",VMware,北京市,"rigor, because 
data science done... improve 
data science pipelines. •Strong exploratory 
data analysis...",Posted30+天前,全职 +1,,https://www.indeed.com/rc/clk?jk=c0382ee5ebb0cf56&fccid=c762a27145bd166e&vjs=3
Computer-Aided Drug Design (CADD) Scientist - AIDD,Roche,上海市,"data mining, 
data visualization, chemical space analysis (compound library assessment and HTS 
data...",Posted30+天前,全职,,https://www.indeed.com/rc/clk?jk=318716a451317ad3&fccid=bca1c8ed48c3b338&vjs=3
