job_title,company,location,job_summary,post_date,more_info,salary,job_url
"Data Scientist, Colombia (Remote)",Andela - Third Party Job Board Only Postings,"Colombia, Huila","Flexibility in working with a variety of data science approaches.
Deploy the solution in production in collaboration with the data, engineering and product…",PostedPublicado hace 24 días,,,https://www.indeed.com/rc/clk?jk=a602e96515b42d61&fccid=f783f8fbbe72c927&vjs=3
Applied Scientist - Text IQ,Relativity,Desde casa,"Strong computer science fundamentals in algorithms, data structures and computational complexity.
Build and solve novel solutions within our products by…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=c03641578aa6eec6&fccid=9a386f5dac9ffc6c&vjs=3
Mobility Analytics Data Scientist Latin America,Nommon Solutions and Technologies,"Bogotá, Cundinamarca","The abundance of data opens exciting opportunities, but it also requires the development of advanced methods and algorithms for the analysis and fusion of…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=986ee19362380054&fccid=9319958cd18ff4ef&vjs=3
Data Scientist / Data Analyst - Analytics,Rappi,"Bogotá, Cundinamarca","Communicate findings to senior leaders and evangelize data-driven business decisions.
Analyse and translate complex data from different sources into insights…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=1a4ce06233a6dc72&fccid=72647c43dd44e6cc&vjs=3
Data Scientist - ADS (100% Remote),Rappi,"Bogotá, Cundinamarca","Communicate results through visualizations, and data products.
Closely collaborate and partner with senior leaders across multiple teams and disciplines to…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=ba5dd93d1e3c5dae&fccid=72647c43dd44e6cc&vjs=3
Senior Data Scientist,Cognite AS,"Bogotá, Cundinamarca","Proficient with Python and its data ecosystem (pandas, numpy), ML libraries (scikit-learn, keras, etc) Experience in data visualization using PowerBI, Grafana,…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=c24ab49c056f21f6&fccid=1879b2974e0c1e47&vjs=3
"Resilience, Urban Sustainability & Climate Change Specialist",AECOM,"Colombia, Huila","Executes work plans and task definition, participates in data collection.
+ High-level view of systems and a data-centric approach to problem solving based on…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=51dbbfe18de412c9&fccid=bafa4b35e9cd20ce&vjs=3
Senior Explore Scientist - Regional (Latam),Cargill,"Cali, Valle del Cauca","In this role, you will support the team and advanced analytical knowledge to generate and analyze complex and critical data.
B2 o superior English level.",PostedHoy,,,https://www.indeed.com/rc/clk?jk=b5f5427d9faac089&fccid=d7d9a8241ba2f3ec&vjs=3
Data Scientist/Data Analytics Lead,RealPage,"Medellín, Antioquia","Partner with DBAs, on-prem and Cloud Security team to source necessary data, map source data to target structures, and define query methods.",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=93a36ec04b38a4b9&fccid=124d2eb87a9084a3&vjs=3
Clinical Safety Scientist - CSS,MSD,"Bogotá, Cundinamarca","Reconcile critical data points between clinical and safety database.
The Clinical Safety Scientist (CSS) is responsible for support of safety reporting in…",PostedPublicado hace 4 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=0f6e45ba6466a647&fccid=3c0bf511b4a29309&vjs=3
Data Scientist,Rappi,"Bogotá, Cundinamarca","The Data Science team plays a leading role in solving our most challenging problems and guiding the decisions that we take around product, marketing and…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=edc5d4096ad8b084&fccid=72647c43dd44e6cc&vjs=3
Data Engineer - Remote,Rappi,"Bogotá, Cundinamarca","Extensive knowledge of data structures, data modeling, and software architecture.
Build, implement, and maintain end-to-end data pipelines in our products data.",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=4c56bb782367b6b8&fccid=72647c43dd44e6cc&vjs=3
Data Scientist Credit Risk - RappiPay,Rappi,"Bogotá, Cundinamarca",Estamos buscando científicos de datos para el nuevo ecosistema financiero en RappiBank que nos ayudarán a descubrir la información oculta en grandes cantidades…,PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=dc34eacf569adf35&fccid=72647c43dd44e6cc&vjs=3
Data Scientist,,"Bogotá, Cundinamarca","Desarrollo de modelos de datos capaces de responder preguntas complejas de negocio.
Título profesional en ingeniería de sistemas, software, electrónica,…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=c38c6aa8f7d9de6c&fccid=dd616958bd9ddc12&vjs=3
Sr Data Scientist - FF,Rappi,"Bogotá, Cundinamarca","Work comfortably with large data sets and being able to deploy data systems for predictive and prescriptive models.
Problem Solving and communication skills.",PostedPublicado hace 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=5d192ac443149c44&fccid=72647c43dd44e6cc&vjs=3
Data Scientist RappiPay,Rappi,"Bogotá, Cundinamarca","Diseño de arquitectura para bases de datos y data warehousing.
Estamos contratando a los ingenieros más talentosos de América Latina y queremos que te unas a…",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=6a193a69ac8d5210&fccid=72647c43dd44e6cc&vjs=3
Data Engineer,Wizeline,Desde casa,"Design and implement data platforms for large-scale, high performance and scalable requirements, integrating data from several data sources, managing structured…",Postedhace 25 días,,,https://www.indeed.com/rc/clk?jk=dfd3a72a1119b7f0&fccid=da33cac326f2a81b&vjs=3
Data Engineer - QuantumBlack,McKinsey & Company,"Bogotá, Cundinamarca","Collaborate with our data scientists to map data fields to hypotheses and curate, wrangle, and prepare data for use in their advanced analytical models.",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=d370d9467717a28d&fccid=6576e7250aa78c3c&vjs=3
Senior/Principal Applied Data Scientist,Microsoft,"Colombia, Huila","Experience working with real-world noisy data.
Microsoft Graph is now serving billions of requests per month and generating terabytes of user event data.",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=8db52b295edaa2ca&fccid=734cb5a01ee60f80&vjs=3
