job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist (Analytics),Kudo,Indonesia,"Strong data visualization and storytelling skills.
Develop and uphold best practices with respect to change management, documentation and data protocols.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=f795255cc2fbd38c&fccid=dcd77e8a328a074f&vjs=3
Data Scientist,Sonar Social Media Monitoring Platform,Jakarta,"Present information using data visualization techniques.
Identify valuable data sources and automating collection processes.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=20eff9283e246079&fccid=18059b8550b27a29&vjs=3
Data Scientist - Internship,FinAccel,Jakarta,"You will do R&D on how to improve our models using our vast amount and unique set of real data.
You will actively contribute to taking Data Science at FinAccel…",Posted30+ days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=373be9ddda9eee95&fccid=982b68e4306a94ec&vjs=3
Senior Data Scientist,Tokopedia,Indonesia,"Implement data science algorithms from research papers with guidance from lead data scientists.
Collaborate with team members from data science and other teams…",Posted10 days ago,,,https://www.indeed.com/rc/clk?jk=6630669f93ddd708&fccid=7c5d77a106174509&vjs=3
"Data Specialist (Data Scientist, Data Analyst)",Bank Central Asia - BCA,Banten,Data Analyst diharapkan memiliki pengalaman dalam melakukan analisis data untuk mencari insight dari data tersebut dan memvisualisasikannya menggunakan aplikasi…,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=e840de811fb537d3&fccid=93aaef2fe478d4e3&vjs=3
Data Scientist,Kalibrr,Jakarta,"Critical thinking: ability to track down complex data and engineering issues, evaluate different algorithmic approaches, and analyze data to solve problems.",Posted30 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=c8456cde3992d580&fccid=797ffed909efdf28&vjs=3
Data Scientist,Coda Payments,Jakarta,"At Coda, remote and flexible working arrangements take centre stage for Codans to work smartly and have autonomy in how they work.
Hands on experience with SQL.",Posted16 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=36df2ffd510d2539&fccid=734ef7de91560d87&vjs=3
Senior Associate Data Scientist,NTT Ltd,Jakarta,"Demonstrable experience in data modeling.
Subject matter expertise in data modeling.
Demonstrable experience with data warehouse and data lake technical…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=a1f3c780c8cfd503&fccid=906e0ed766138448&vjs=3
Analytics Consultant (Data Engineer / Data scientist / Busin...,iZeno,Jakarta,"Analyse, design and implement data analytics solutions for customers.
Collaboratively work with customers, project team members and partners in defining…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=967f5e28541a0484&fccid=ce3e4448a2462fb8&vjs=3
Data Scientist,PT Prodia Widyahusada Tbk. (Prodia),Jakarta,"Perform data collection both structured and unstructured data to support data models, data analysis and develop data collection process.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=e22745b685b2a386&fccid=d4461fa6a9a8fbac&vjs=3
Senior Data Scientist - KYC,GO-JEK,Jakarta,"Manage a team of data scientists and lead them in creating trusted KYC solutions.
8+ years of proven experience in developing Deep Learning/Computer Vision and…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=df4902df9bcc17d1&fccid=35c79097c1f63f3d&vjs=3
Client Engineering - Data Scientist,IBM,Jakarta,"At least 2 years of experience with identifying data sources, transforming data, etc.
Be familiar with Data Engineering techniques to gather, prepare, cleanse,…",Posted21 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=b90bf5b756193f39&fccid=de71a49b535e21cb&vjs=3
Data Scientist,Binar Academy - External Project,Jakarta,"Develop custom data models and algorithms to apply to data sets.
Able to demonstrate and work with unstructred data.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=d39a35b2db160e0f&fccid=3d586b1c449e9f06&vjs=3
Data Scientist,Cybertrend,Jakarta,"The unique opportunity to work within data science and artificial intelligence solution for various industries – real world data science, AI, data management &…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=fb3884ea1cedbae0&fccid=e105dccfbfdf6791&vjs=3
Sr. Data Scientist KG Media,Kompas Gramedia,Jakarta,Capitalize structured /unstructured data and use data science technique to develop big data use cases in multiple areas.,Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=6ce6dc9079214358&fccid=8c17781b7684ad92&vjs=3
Data Analyst Data Scientist,ABeam Consulting Indonesia,Jakarta,"Extract data from several data sources with scratch SQL queries and cleanse the data from the statistical perspective.
Power Pivot and VBA experience a plus.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=17ed4ff049255520&fccid=4d2b264efa6b2c0a&vjs=3
Data Scientist (Analytics),Grab,Jakarta,"Strong data visualization and storytelling skills.
Develop and uphold best practices with respect to change management, documentation and data protocols.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=acd6479660d3fc64&fccid=b79fa3ee18655a5a&vjs=3
Data Scientist - Cartography,GO-JEK,Jakarta,"Working knowledge of graph data structures or algorithms.
Preferably, has domain experience in Geospatial data.
Understand ML algorithms under the hood.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=8ee96b1696a520b5&fccid=35c79097c1f63f3d&vjs=3
Senior Data Scientist,KoinWorks,Jakarta,"4+ years of experience as a similar data scientist and a degree in quantitative fields.
Work closely with business users to identify issues and use data to…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=aacdee5a272675ed&fccid=a6dab61fe3b78e32&vjs=3
Data Engineer,DKatalis,Jakarta,"Ideally on both streaming data and batch data.
We are seeking a data engineer to help us build the key data pipelines to ingest and surface both batch and…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=accac3f442c136d8&fccid=4d805874d57f468e&vjs=3
Sr Data Scientist,PT Xapiens Teknologi Indonesia,Tangerang,"Build machine learning models on real data with acceptable accuracy.
Create tasks that optimize data science process both in speed and accuracy.",Posted3 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=bc2181098c87fb03&fccid=88ea45b5ae592775&vjs=3
Senior Data Scientist - Marketplace,GO-JEK,Jakarta,"Our main responsibility is to build data products for ride-hailing, logistics, food delivery, and payments.
Your efforts will directly influence the stability…",Posted10 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=17c3dbe9a2579479&fccid=35c79097c1f63f3d&vjs=3
Senior Data Analyst - Logistics,GO-JEK,Jakarta,"Ensure data availability and reliability for the teamPartnering with data engineer to build robust data model.
Good knowledge of ETL tools and building.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=cba90a0e75618ddc&fccid=35c79097c1f63f3d&vjs=3
Data Analytics & Reporting Analyst,Serasi Autoraya,Jakarta,"Monitor and maintain the completeness, accuracy, and up-to-date data on the Command center Dashboard as well as provide data analysis and reports for evaluation…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=37ef29013a12a4f9&fccid=8e1c67bfd2ea001a&vjs=3
Data Warehouse Engineer - GoPay,GO-JEK,Jakarta,Become a data architect by implementing data modelling concepts and data governance policies based on data types and use cases.,Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=32a72f5d56b97b3c&fccid=35c79097c1f63f3d&vjs=3
Lead Data Scientist,PT Adicipta Inovasi Teknologi,Jakarta,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Analytical mind and business acumen.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=036c0343e34631ed&fccid=12f9a15edaf2a3e2&vjs=3
Junior Data Scientist-Financial Services Platform,GO-JEK,Jakarta,"Experience working with big data and complex data structures.
Perform data analysis and present insights to various business stakeholders.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=ed1c86ad20776d08&fccid=35c79097c1f63f3d&vjs=3
Marketing Data Analyst,DKatalis,Jakarta,"The role would require you to work closely with the marketing team, data engineers and data scientists in order to ensure the validity of the data, transforming…",Posted19 days ago,,,https://www.indeed.com/rc/clk?jk=225291f9a46529c6&fccid=4d805874d57f468e&vjs=3
Lead Data Warehouse Engineer - GoPay,GO-JEK,Jakarta,"Your team also manages the single source of truth of data for analytics and partners with product managers, product engineers, data engineers, BI/analytics, and…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=cdaf4b35e031bd14&fccid=35c79097c1f63f3d&vjs=3
Data Scientist Manager,FIFGROUP,Jakarta,Develop data scientist team capabilities to be able to provide independent insights of business performance to the whole team.,Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=538161099138c5b0&fccid=61de4bc1eee87b6b&vjs=3
Data Scientist,Reeracoen Indonesia,Tangerang,"Bachelor Degree in computer science or equivalent.
Minimum 3 years of experience in the same fields.
Experience in deploying machine learning models to…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=666c62ef72507a35&fccid=45e228de2826c02f&vjs=3
Data Analyst,Stampindo Lancar Jaya PT,Jakarta,"Presenting information using data visualization techniques.
Undertaking data collection, preprocessing and analysis.
Analytical mind and business acumen.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=46e9f069e0b37581&fccid=9dfed423c1f9d066&vjs=3
Data Engineer - QuantumBlack,McKinsey & Company,Jakarta,"Understand clients data landscape and assess data quality.
You will be based in Jakarta as part of a global data engineering community and you will work in…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=dc39d882ce1da94e&fccid=6576e7250aa78c3c&vjs=3
Lead Data Scientist,PT Sinar Mas Digital Ventures,Jakarta,"Experience using statistical computer languages (R, Python, SLQ) to manipulate data and draw insights from large data sets.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=f915fa5ed6d2d6d5&fccid=46f54e4c440f8a6a&vjs=3
Data Science Trainee,Algoritma,Jakarta,"Experience in data analysis, data mining, and machine learning projects will be a plus.
Contribute to developing Algoritma educational content in data science…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=bd005c257ea1eafc&fccid=236a8749192934fb&vjs=3
"Lead Economist (Data Scientist), Manager",Grab,Jakarta,"Using SQL and Python to deep dive into the data and answer complex business questions.
Present analysis findings to business stakeholders; facilitate business…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=493d4ea5837248da&fccid=b79fa3ee18655a5a&vjs=3
Senior Data Scientist (Analyst),PT Takjub Teknologi Indonesia (Ajaib),Jakarta,"You will collaborate with a strong team of engineers, product managers, and fellow data scientists in defining the frontier of data products in fintech.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=3897d83a64302561&fccid=b6dc65d91699cc4b&vjs=3
Data Scientist - Consumer Platform,GO-JEK,Jakarta,"We oversee all things data and work to provide data solutions.
Proven experience to formulate data science solutions to business problems.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=cd498abf0936c0c5&fccid=35c79097c1f63f3d&vjs=3
"Lead Economist (Data Scientist), Manager",Kudo,Indonesia,"Using SQL and Python to deep dive into the data and answer complex business questions.
Present analysis findings to business stakeholders; facilitate business…",Posted5 days ago,,,https://www.indeed.com/rc/clk?jk=c6cecadd26d03ca3&fccid=dcd77e8a328a074f&vjs=3
Risk Analyst - Data Validation,GO-JEK,Jakarta,"Investigate anomalies in our data and operations.
At least 2 years of experience in performing data validation.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=45e49639df6f2a89&fccid=35c79097c1f63f3d&vjs=3
"Data Specialist (Data Scientist, Data Analyst)",PT Bank Central Asia Tbk,Jakarta,Data Analyst diharapkan memiliki pengalaman dalam melakukan analisis data untuk mencari insight dari data tersebut dan memvisualisasikannya menggunakan aplikasi…,Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=8eb25286aec36abe&fccid=330fefccfbee6c2b&vjs=3
Industrial App Development & Support Engineer,Siemens,Jakarta,"Work with data scientists/analysts to improve database.
Create security and data protection settings.
Work with network/cloud engineering team to receive data…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=af0f221bf1671d1c&fccid=ea6bb53f0b18b8f2&vjs=3
"Manager, Data Analytics",Grab,Jakarta,"You will also provide guidance to a junior data scientist team member, on both strategic planning and technical guidance.
The Day-to-Day Activities.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=d4516fe9b1eba8ac&fccid=b79fa3ee18655a5a&vjs=3
Senior Data Analyst - Cartography,GO-JEK,Jakarta,Able to tell a coherent data narrative using best practices in data visualization to convey a product insight through impactful graphs.,Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=7b5e47cbabd45a6c&fccid=35c79097c1f63f3d&vjs=3
People Advisor I,Worley,Jakarta,"Minimum 10 years experiences in HR / People Area.
Including minimum 5 years experiences from point no 1.
Has experiences B in formalities ( visa expats ) and…",Posted26 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=5785fd5038a6269a&fccid=d9805af20a6c196e&vjs=3
Machine Learning - Internship,FinAccel,Jakarta,"You will develop and implement ML Pipeline Infrastructure, including but not limited to: ETL (Extract, Transform, and Load) of raw data into model features,…",PostedPosted 30+ days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=8d7c4e2dccfd6f9d&fccid=982b68e4306a94ec&vjs=3
Talent Acceleration Program,Home Credit,Jakarta,"Actively participate in organization/ academy competition.
Talent Acceleration Program (TAP) is a 9 months compact program for you, fresh graduates and early…",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=5f0a0f5060daa70d&fccid=55c29561e89dbef7&vjs=3
Data Scientist,Mitraplus,Jakarta,"Akuisisi dan mengolah data dari berbagai sumber.
Membuat model dari data yang dimiliki oleh perusahaan dan / atau klien.",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=7d913145cdf09210&fccid=a3cf21e9d08a8540&vjs=3
