job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Science and Research: MSc & PhD Internship Opportunitie...,Microsoft,"תל אביב -יפו, מחוז תל אביב","and services. As a 
Data
Scientist, you will provide... domain- specific knowledge, 
data, and compute resources. As a 
Data
Scientist or an AI researcher intern...",Postedלפני 17 ימים,התמחות,,https://www.indeed.com/rc/clk?jk=a875177e1718fca2&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,Flipkart,"תל אביב -יפו, מחוז תל אביב","Mathematics or related fields from a leading institute · At least 2 years of 
data science experience · Experience with Python · Knowledge in optimisation...",Postedלפני 30+ ימים,מלאה,,https://www.indeed.com/rc/clk?jk=627c16e8f18017d2&fccid=c8e55b1b92c9854c&vjs=3
Python Developer / Data Scientist (#03),Materials Zone,"תל אביב -יפו, מחוז תל אביב","Data
Scientist to join our development team. You will be joining a team of python developers, 
data... and complex 
data sets, preparing 
data for machine...",Postedלפני 30+ ימים,,,https://www.indeed.com/rc/clk?jk=9cffd701e6e9dfe3&fccid=47abc7aaea7cebd1&vjs=3
"Data Scientist, Product Analytics",EY,"תל אביב -יפו, מחוז תל אביב","דרוש-ה 
Data
Scientist, Product Analytics לצוות ביקורת דיגיטלית צוות ביקורת דיגיטלית אחראי על פיתוח והטמעה של מגוון כלים טכנולוגים ופלטפורמות בעבודת הביקורת...",Postedלפני 30+ ימים,,,https://www.indeed.com/rc/clk?jk=13253ca97d1eea48&fccid=1544766d4c2915b0&vjs=3
Data Scientist,Ness Technologies,מחוז המרכז,"על יומ-יום של כולנו? לנס טכנולוגיות דרוש/ה 
Data
Scientist להשתלבות בחברה ישראלית בתחום התעבורה. בואו לעבוד... חלק מצוות מגובש של אנשי 
DATA SCIENTS באווירה משפחתית...",Postedלפני 30+ ימים,,,https://www.indeed.com/rc/clk?jk=ffbaaa02f5439401&fccid=4111fd9205d57b0f&vjs=3
Data Scientist,OGC Global,"תל אביב -יפו, מחוז תל אביב","seeking a full-time 
Data
Scientist to join our team... of 
data from internal and external systems in a manner suitable for analysis Research new 
data sources...",Postedלפני 5 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=52da77dfc080df2d&fccid=82fb711f483a9eea&vjs=3
"Applied Scientist, Prime Video Sports",Amazon Dev Center (Tel Aviv),"תל אביב -יפו, מחוז תל אביב+1 מיקום","C/C++, Java, or Python · Strong CS fundamentals in 
data structures, problem solving, algorithm design and... Solid knowledge of big 
data and cloud technologies (e...",Postedלפני 3 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=c49edb708b675d8f&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,Check Point Software Technologies Ltd.,"תל אביב -יפו, מחוז תל אביב","hands-on 
Data
Scientist to join our Threat Emulation group. In this role, you will join a the 
data... programmers and 
Data-
Scientist to deliver machine...",Postedלפני 4 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=2c0b622882ef7b54&fccid=c1ee211a89cc3f56&vjs=3
Data Scientist,PayPal,"תל אביב -יפו, מחוז תל אביב","you will Implement ML, 
data analysis and ingenuity... products and frameworks for automation combining big 
data handling, coding and optimization Own products’...",Postedלפני 10 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=b362594592b177ab&fccid=978d9fd9799d55a8&vjs=3
Data Scientist,Gett,"תל אביב -יפו, מחוז תל אביב","We are looking for a 
Data
Scientist to join our Algo... solutions while handling huge amounts of 
data. As a 
Data
Scientist at Gett, you will design, implement...",Postedלפני 30+ ימים,,,https://www.indeed.com/rc/clk?jk=bb8108b7ef8631f1&fccid=76339117d1981eb0&vjs=3
Data Scientist,Ticomsoft,"יהוד-מונוסון, מחוז המרכז","jb-19 מספר משרה : עם ניסיון ב 
Data
Scientist דרוש איש/ת פיתוח • Evaluating state of art statistical modeling and machine Learning. • Big 
data analysis...",Postedלפני 30+ ימים,,,https://www.indeed.com/rc/clk?jk=f90aa7093544f010&fccid=e32508b84ec45c2b&vjs=3
CSCE-A Data Scientist: Real-World Analytics and Machine Lear...,Intel,"קריית גת, מחוז הדרום","intellectually curious 
Data
Scientist with experience... faults in complex, large-scale time-series 
data. Apply your 
data science skills and statistical knowledge...",Postedלפני 19 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=43fde2d48a8dd0ed&fccid=936367796261bd6e&vjs=3
Data Scientist,Deep Solutions,"תל אביב -יפו, מחוז תל אביב","for an awesome 
data
scientist to join our great team... closely with your peer 
data scientists, 
data engineers and 
data analysts. Perform 
data exploration and...",Postedלפני 30+ ימים,,,https://www.indeed.com/rc/clk?jk=aa90e7ffddeffed5&fccid=817def630441aece&vjs=3
Data Scientist,Konnecto,"תל אביב -יפו, מחוז תל אביב","from highly complex 
data sets to ask the right... solutions for big 
data-sparse setups · End-to-end research and development of scalable 
Data Science...",Postedלפני 30+ ימים,,,https://www.indeed.com/rc/clk?jk=d9b5bfad96d7e15e&fccid=9e256fff92fc1ff3&vjs=3
NLP Data Scientist,Citi,"תל אביב -יפו, מחוז תל אביב",The Applications Development Intermediate Programmer Analyst is an intermediate level position responsible for participation in the establishment and...,Postedלפני 16 ימים,,,https://www.indeed.com/rc/clk?jk=935ae22849e043ba&fccid=5bcd1ef0a7f4fb99&vjs=3
Senior Data Scientist,everC,"תל אביב -יפו, מחוז תל אביב","is looking for a passionate and experienced 
Data
Scientist to join our growing DS & AI team. If you are a... experience as a 
Data
Scientist in a product company...",Postedפורסם לפני 14 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=15d9fe80383845b7&fccid=0bee25d4c46df415&vjs=3
Wireless Connectivity Data Scientist,General Motors,"הרצליה, מחוז תל אביב","in Israel R&D (GM TCI R&D) is looking to hire a 
Data
Scientist in the area of Wireless Communication who... from simulations or from 
data collected in the field...",Postedפורסם לפני 25 ימים,,,https://www.indeed.com/rc/clk?jk=50940d7366de29d7&fccid=116680a29a847a70&vjs=3
Data Engineer,Radware,"תל אביב -יפו, מחוז תל אביב","scalable 
data pipeline as well as 
data analytics... of a talented big 
data engineering team to implement a robust 
data pipeline and 
data analytics components...",Postedפורסם לפני 13 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=79ce537aa0f5c2d4&fccid=0fc44c40b8f5cde2&vjs=3
Senior Data Scientist,BitSight,"תל אביב -יפו, מחוז תל אביב","or 
data-driven science Strong experience with 
data... to Python Familiarity with distributed 
data processing and 
data storage technologies Basic knowledge of...",Postedפורסם לפני יותר מ-30 ימים,,,https://www.indeed.com/rc/clk?jk=58501b11a031d260&fccid=9d375970204538c7&vjs=3
Data Scientist,CYREN,"תל אביב -יפו, מחוז תל אביב","The 
Data
Scientist will take part in the development... Responsibilities: As a 
Data
Scientist, you should love analyzing, mining and doing crazy things with 
data...",Postedפורסם לפני יותר מ-30 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=1b703566cf142814&fccid=d443612743ab4af5&vjs=3
"Associate Scientist, Biology",DeepCure,ישראל+1 מיקום,"therapeutics. As Associate 
Scientist, Biology, you... of ADME assays Analysis and summary of experimental 
data Benefits For the right candidate, we'll offer a...",Postedפורסם לפני יותר מ-30 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=9b8513d7a09214d5&fccid=3a937ef061ddabc6&vjs=3
Data Scientist,Radware,"תל אביב -יפו, מחוז תל אביב","Data
Scientist - (2200005H) The 
Data Science Group, at the Radware CTO office, is looking for an outstanding senior 
data
scientist to join our team. We...",Postedפורסם לפני יותר מ-30 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=54d5765c7a27a935&fccid=0fc44c40b8f5cde2&vjs=3
Data Scientist,Coralogix,ישראל,"half the cost. As a 
data
scientist in Coralogix, you... Very high proficiency in SQL and 
data modelling Experience with 
data engineering practices and distributed...",Postedפורסם לפני יותר מ-30 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=8de5c833594db2d1&fccid=1c8403b36694c366&vjs=3
Data scientist,Paretix,"תל אביב -יפו, מחוז תל אביב","We are recruiting a 
Data
Scientist ,to work in the... Models Developing Analysis 
data Investigate business and operational 
data REQUIREMENTS: Bachelor's...",Postedפורסם לפני יותר מ-30 ימים,,,https://www.indeed.com/rc/clk?jk=f3dda25a3387f7ab&fccid=433c536613b198d9&vjs=3
Decision Scientist,PayPal,"תל אביב -יפו, מחוז תל אביב","Scientist, you will: Develop and own 
data-driven... positions (e.g. Decision 
scientist, 
data analyst, statistician, 
data
scientist, FP&A, product/process...",Postedפורסם לפני 3 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=d28359a307dddf22&fccid=978d9fd9799d55a8&vjs=3
"Research Scientist, Computational Photography, Creativity To...",Google,"תל אביב -יפו, מחוז תל אביב","of work. As a Research 
Scientist, you'll setup large... science, such as machine (and deep) learning, 
data mining, natural language processing, hardware and...",Postedפורסם לפני יותר מ-30 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=d444cf060f040cd6&fccid=a5b4499d9e91a5c6&vjs=3
Data Scientist - ML & Python,RecrutiX,"תל אביב -יפו, מחוז תל אביב+2 מיקומים","two years of work experience as a 
data
scientist - a must. *Experience with applying models and algorithms - a must. *Experience with Machine Learning and 
Data...",Postedפורסם לפני 30 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=7ddabd028e7fdc5b&fccid=868e762bd58cccce&vjs=3
Python Developer/Data-Scientist,vFunction,"תל אביב -יפו, מחוז תל אביב","end-to-end development of 
data-science algorithms and... 5+ years) Experienced Python developer (2+ years) 
Data
Scientist/Researcher (3+ years) Degree in Computer...",Postedפורסם לפני יותר מ-30 ימים,,,https://www.indeed.com/rc/clk?jk=1e4fdb1a54812884&fccid=ae386d9f2a0a4096&vjs=3
Data Scientist for Deloitte Analytics,Deloitte,"תל אביב -יפו, מחוז תל אביב","will look like: As a 
Data
Scientist, you will take an... 
data with a business focus, have 2-3+ years of industrial experience as a 
data
scientist, and willing to...",Postedפורסם לפני יותר מ-30 ימים,,,https://www.indeed.com/rc/clk?jk=e38250047c9f2f68&fccid=9e215d88a6b33622&vjs=3
אלעד מערכות מגייסת DATA SCIENTIST,אלעד מערכות,"גוש דן, מחוז תל אביב","#998923 תיאור התפקיד אלעד מערכות מגייסת 
DATA
SCIENTIST לארגון גדול ומוכר במרכז לפיתוח מודלים במגוון תחומים בארגון.דרישות : ניסיון של שנה לפחות כDATA...",Postedפורסם לפני 3 ימים,,,https://www.indeed.com/rc/clk?jk=aa01694137169ed6&fccid=dea2bbfe79315559&vjs=3
Data Scientist,WiseBrowse,"הוד השרון, מחוז המרכז","analytics candidates and 
data junkies who want to... business. Responsibilities: Perform large-scale 
data analysis and develop effective statistical models...",Postedפורסם לפני יותר מ-30 ימים,,,https://www.indeed.com/rc/clk?jk=9b64170bc0497e4f&fccid=a0e7e9b376d3f03f&vjs=3
Applied Scientist,Amazon Dev Center (Tel Aviv),"תל אביב -יפו, מחוז תל אביב","from non-i.i.d. visual 
data. Going beyond mere... with an interest in the other. As an Applied 
Scientist in the Causal Representation Learning Lab, you...",Postedפורסם לפני יותר מ-30 ימים,מלאה,,https://www.indeed.com/rc/clk?jk=e6b0b4bb9c341114&fccid=fe2d21eef233e94a&vjs=3
