job_title,company,location,job_summary,post_date,more_info,salary,job_url
DATA SCIENTIST_ANALISI E MONITORAGGIO KPI SINISTRI,Unipol Gruppo Finanziario S.p.A.,"Bologna, Emilia-Romagna","Esperienza in Python, R, strumenti di data extraction (es. SAS Enterprise Guide), SQL, e data visualization Tableau, requisito preferenziale conoscenza di Sap…",Posted2 giorni fa,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CRV9PvmGGjOT0xwsPF1L9hb6fangVrSfm3OX8eO_Z6ZamYwJOpt9vtUY3Ibj5iereEpdI5K4m0RCr4N9gpIIPqbZ2w4msYs5KcIW_VlzNo55F3xQa3FkGOMz9mjNRUhab16EeEf8Fzvc8DGf806JflxCJQ9zUfNwN5FePS7vsfITutm4CYTc9zMDuGX_rCUhtM8A20tmc8iKaeqGsJwh6xc6tDrypl6y0qcQRIQA1BBT-L-XjqCAmAbUniRDy9ALekhj_PsMAAMcGJJW1UWAi_hEPnKwpoOHuQOian5Oz2-N18Gt3mVobtWSVEkcsLBseyfbGodD6bs2bjV_aB74ctpcI5haW_4E4yfJ9OG5BjpFbVHLbetyoxq6XjSKUDTdBodSNkzwA36iiF2l5W7HQ8005cJk6bF7I9V0YopiKgOQ4ZB5R1zXFV07X65D0tgSUECT96A0VwBBel4EqE0IKVdaGNJTxW_gigWyPlB_S3SyQmrdUwFf_BStr5gdY26VlIcQRDdsIF8IDAlO5Dm1kMf5NtwTE6j4pU8JsRRti6PeFqh4xFK3nmcH6AGUx8VDdpPeWzIw4Rb9fvRl3D5hV7L9tYGcL23fwZFUDZIS_OXA==&xkcb=SoCh-_M3b6tOnMQHHZ0LbzkdCdPP&p=0&fvj=0&vjs=3
Data Scientist,Alti Profili,"Porto San Giorgio, Marche+1 luogo","Selezionare i migliori strumenti software per data management e data analytics di Small Data e Big Data.
La risorsa sarà inserita nell'area IT dell’azienda e…",Posted30+ giorni fa,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBkioJ74HNRv1kkbLI_dqC2yEDIKgJL0nBFSYaLvAaBGUiLhea-7RvbEBQQq_nzm9wtgeMpztYvRpKfuL9EiifCHvNHbL-9_Qme24cu0p6_ER_yjcUf3F17UzFbHSKdIpnMn-aC9RkkYFCW7tLfnxU1iJD0mMkcHg-Sfoef7pZdQAu0ahjK3HfrfI5PJZo85kDxJclAz2H8t_z4CKb7Wu0NLmuyK1ESm6m3P183AWpVPbtB7bQPRvXadtB6ScRcTXk3iPCV7R3gb-04RcVvRkGYL-CcoOK2_nr-BHCPQeY5AyA4wH-pWDfaP-IuiGRwJ0_ophdJ07bgn216N6YnVQhwPqqOMm2v_36lHN6UIefzQEcZVmQYxoRHdiTc9DyXzpCbpeOu-AY9scEhzlaNDYwtgYyQQR34OgMLDY47rBxw_eAV8O24HG1jfNl-nAUIlcuHLzZKc3Wu_957dasrY6g28sTu0WI8pTLZD17J7tOsOCXO_moPV8EcEt7mbz9mIg=&xkcb=SoAV-_M3b6tOnMQHHZ0KbzkdCdPP&p=1&fvj=0&vjs=3
Junior Data Scientist,Spectus,"Da remoto in Milano, Lombardia","Conducting advanced data analyses and highly complex algorithms.
You will get the chance to work closely with our senior Data Scientists and interface day by…",Posted5 giorni fa,,,https://www.indeed.com/rc/clk?jk=5a939ed307a4367f&fccid=b5852d1e6e494406&vjs=3
Data Scientist,Blutec Srl,"Trento, Trentino-Alto Adige+3 luoghi","Progettazione data warehouse per analisi dati.
Progettiamo soluzioni ad hoc per i nostri clienti in tutta Italia e abbiamo sede a Rimini, Bologna, Milano e…",Posted10 giorni fa,Tempo pieno,,https://www.indeed.com/company/Blutec-Srl/jobs/Data-Scientist-f05d4dd2cb97ef2a?fccid=b34dcf49f5834c53&vjs=3
Data Scientist,Umana spa,"Trieste, Friuli-Venezia Giulia","Esperienza in Matlab o Python;
Buona conoscenza della lingua inglese.
La conoscenza di TensorFlow o Pytorch sarà considerata un plus.",Posted4 giorni fa,,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DBkioJ74HNRv1kkbLI_dqC2yEDIKgJL0nBFSYaLvAaBKZdwsjGyz84gUGVgPPKCPqvSxW8wfnxU-meIJJI1hTAOpK16HL5dtz1wR1xNMGQOIr-BxCFPBjK_4chmsHhbS7GlKaNBGjxWCse9t9oz0wAKac-EnTVoJP3V0t4DjFqvT8Rbs1b-MqwsHjpxs3-tgtKjBf4Kp3eObg_ISXWfhUeyIcKnvodPuI90Pana1KzeHYDucWTya_--IMkfCZ_hRVPWwT3pUvMBvtvwJgq9Duvrkjk7tJxysbs9r7DQVLLyg1PHB-wGzn-kKvtmZEKwfl0scIWnK38VQ0YNvjhRmD-TDb1R9o-NFzClwKSsxA1ertAAXqPPGFrXtjB580NUgfMiDwU_aYm64mEO9OsNE94kgAGAvVUr0XaIau7WUxMsVGbmwISDLiDzfdMpYtu5MbaQugVyKsme9b-K3jp_e-lqDDW7C7UbB9COT1T4zXqcCeg2nNGKnWeOfDJQxIfNT8cPTjin67kEA==&xkcb=SoDk-_M3b6tOnMwHHZ0LbzkdCdPP&p=4&fvj=0&vjs=3
Research Data Scientist,Meta,Da remoto,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2.
Experience with Machine Learning, Statistics, or other data analysis tools and…",Posted30+ giorni fa,,,https://www.indeed.com/rc/clk?jk=899809df1c28864f&fccid=ba07516c418dda52&vjs=3
DATA SCIENTIST - MILAN,TMC,"Milano, Lombardia","Experience with processing large data sets (> 1 TB) is considered a plus.
Proven experience in modeling physical-technical problems, risk modeling, algorithm…",Posted30+ giorni fa,,,https://www.indeed.com/rc/clk?jk=5af6c8976fb66430&fccid=64b619e6dd19534c&vjs=3
Data Scientist - Italy,Cogniflare,Da remoto in 20121 Milano,"Work with large, complex data sets.
Develop comprehensive knowledge of Google data structures and metrics, advocating for changes where needed for product…",PostedOggi,,,https://www.indeed.com/rc/clk?jk=ccf904e5c13acc79&fccid=46968a49e888a733&vjs=3
AI Research Scientist,Meta,Da remoto,"Devise better data-driven models of human behavior.
Ph.D. and publications in machine learning, AI, computer science, statistics, applied mathematics, data…",Posted18 giorni fa,,,https://www.indeed.com/rc/clk?jk=f7e3cfa7ef6a2036&fccid=ba07516c418dda52&vjs=3
Junior Data Scientist - Milano [CNS],PwC,"Milano, Lombardia","Hai conseguito o stai conseguendo una laurea magistrale in Data Science , Statistica , Ingegneria Matematica , Fisica , Matematica o altre discipline…",Posted1 giorno fa,Tempo pieno,,https://www.indeed.com/rc/clk?jk=ce46eb0daeb86571&fccid=5e964c4afc56b180&vjs=3
