job_title,company,location,job_summary,post_date,more_info,salary,job_url
Administrator,Worley,Al Ahmadi,"Provision of advice and support to staff on day to day HR activities.
Contribute to the development of HR systems, processes, policies and procedures.",Posted13 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=bf29c7546abccf57&fccid=d9805af20a6c196e&vjs=3
Data Scientist,Ooredoo Group of Companies,Kuwait City,"Develop use cases for sales and distribution using spatial data / NW data and competition customer data.
Identify and integrate new data sources to Big data…",Posted9 days ago,,,https://www.indeed.com/rc/clk?jk=7a1caf37b5545625&fccid=082e3ab3a601f6f6&vjs=3
Construction Supervisor,Worley,Al Ahmadi,"Ensure that contractors comply with all aspects of the Worksite HSE Plan and policy; site regulations, permit to work, WorleyParsons, and Customer requirements.",Posted17 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=267e9c2bb129c512&fccid=d9805af20a6c196e&vjs=3
Document Control Technician,Worley,Al Ahmadi,"Maintain a central project document control system, covering project team, client, vendor and third party documentation.
Understand and follow OH&S procedures.",Posted11 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=1a624e659d220c85&fccid=d9805af20a6c196e&vjs=3
Data Governance Officer,Gulf Bank,Kuwait,"Collaborate with data scientists and architects to support data initiatives and make data available for analysis.
A day in the life of the Governance Officer.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=9fb2dbb563c9e968&fccid=74e6acec06e9ad96&vjs=3
GIS & Data Management Technician,Worley,Al Ahmadi,"Demonstrated ability to undertake data collection, processing, verifying for accuracy and completeness, under limited supervision.",Posted17 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=a2ff3b01245f6c13&fccid=d9805af20a6c196e&vjs=3
Data Analyst,Amentum,Camp Arifjan,"Work independently or in collaboration with military planners, social scientists, ORSAs, and other data scientists within and outside the USCENTCOM Theater.",Posted11 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=07e67bbd9a7d955e&fccid=6cecc4f0e25b14e5&vjs=3
HSE Supervisor,Worley,Al Ahmadi,"Maintain Statistical data for the Project.
Ensure EPC contractors establish and maintain statistical data concerning all matters of health and safety, training…",Posted12 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=069ea858a6a38c63&fccid=d9805af20a6c196e&vjs=3
Site Engineer,Worley,Al Ahmadi,"Promote and drive the involvement of Construction in areas of technical design, schedule, preliminary execution planning, and cost estimating.",Posted17 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=49758f4eaf96c41c&fccid=d9805af20a6c196e&vjs=3
Project Engineer,Worley,Al Ahmadi,"Manage and coordinate multidiscipline engineering activities to ensure projects are executed in a safe, efficient, cost effective and timely manner.",Posted18 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=dc3f01e767713107&fccid=d9805af20a6c196e&vjs=3
Project HSE Advisor I,Worley,Al Ahmadi,"48,000 people. 49 countries. Over 120 office locations. We’re not just engineers. We’re a global team of data scientists, consultants, construction workers…",Posted12 days ago,,,https://www.indeed.com/rc/clk?jk=d86758b7007f15d7&fccid=d9805af20a6c196e&vjs=3
