job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,KANTAR,Ciudad de México,"Interest in developing data visualisation dashboards (ideally in Shiny, Spotfire or Tableau but no previous knowledge is required).",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=295e71484bfc4c46&fccid=fc0eeff012676923&vjs=3
Data Scientist,PepsiCo,Ciudad de México,"Ensure required cost data and supporting documents are prepared timely, accurately and are following solicitation.
Bachelor’s degree is required.",PostedPublicado hace 22 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=a75d4612b7a31630&fccid=2973259ddc967948&vjs=3
Data Scientist / Deep Learning Engineer,Solera,Ciudad de México,"Demonstrated proficiency in Python and the Python data science ecosystem (SciPy, NumPy, pandas, seaborn, Matplotlib, Dask, …).",PostedPublicado hace 10 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=f3ab60f4e1d03aad&fccid=aba27e89f85b47c6&vjs=3
MIDDLE DATA SCIENTIST,Svitla Systems,Remoto,"Deep knowledge of data mining and machine learning.
Strong passion for empirical research and data-driven decisions.",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=d473c5c3f9d84e5a&fccid=2f27a82023b4a64f&vjs=3
Data Scientist Jr (C10),Citi,Ciudad de México,"Decision Science es un área en dónde analizamos grandes volúmenes de datos de diversas fuentes, con técnicas de análisis innovadoras, combinadas con nuevas…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=97b2a041f481e2b0&fccid=5bcd1ef0a7f4fb99&vjs=3
Data Scientist,,Ciudad de México,1-2 años de experiencia analizando y modelando datos estructurados y no estructurados.,PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=ecb131af8fef0273&fccid=dd616958bd9ddc12&vjs=3
DATA SCIENTIST,Servicios TVM,"Miguel Hidalgo, CDMX","Sueldo bruto mensual $30,000 a $35,000 (Con base en experiencia).
Estabilidad laboral y plan de crecimiento.
Experiencia en Banco o Instituciones Financieras.",PostedPublicado hace 18 días,"$30,000 - $35,000 por mes","$30,000 - $35,000 por mes",https://www.indeed.com/rc/clk?jk=f3cdf05e145a2477&fccid=a997d3714bba8324&vjs=3
Data Scientist Analytics Team Leader,Amex,Ciudad de México,"Strong knowledge in Python and data handling with SQL is a must.
Bachelor Degree in Mathematics, Statistics, Data Science, or equivalent practical experience.",PostedPublicado hace 4 días,,,https://www.indeed.com/rc/clk?jk=f6b792f747a64d3c&fccid=f057e04c37cca134&vjs=3
Data Scientist - QuantumBlack Mexico,McKinsey & Company,Ciudad de México,"You will work with other data scientists, data engineers, machine learning engineers, designers and project managers on interdisciplinary projects, using maths,…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=a8110d41dc826517&fccid=6576e7250aa78c3c&vjs=3
Data Scientist,"Toshiba Global Commerce Solutions, Inc.","Chapultepec, Méx.","Develop custom data models and algorithms to apply to existing data sets.
Influence the roadmap of proprietary data collection agents and data collection…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=c50df39c01d0029d&fccid=3221a0a36b40fb9f&vjs=3
