job_title,company,location,job_summary,post_date,more_info,salary,job_url
جامعة محمد السادس متعددة التخصصات تعلن عن توظيف عدة مناصب,,Maroc,"Chargé (e) du Système d’informations de gestion des étudiants.
Head of studies in the UM6P Faculty of Medical Sciences.",PostedOffre publiée il y a plus de 30 jours,,,https://www.indeed.com/rc/clk?jk=303b96eb55f34ae8&fccid=dd616958bd9ddc12&vjs=3
Data Scientist,Leyton Maroc,Casablanca,Ses consultants et experts techniques apportent des solutions concrètes qui contribuent au progrès durable de ses clients.,PostedOffre publiée il y a plus de 30 jours,,,https://www.indeed.com/rc/clk?jk=fb61e94feb1aa612&fccid=5d2279994a7fae5b&vjs=3
Data Scientist H.F,Digital Virgo,Casablanca,"Collecte, définition et clarification des besoins métier pour établir les spécifications fonctionnelles et rédiger un CDC,.",PostedOffre publiée il y a 18 jour,,,https://www.indeed.com/rc/clk?jk=1aacad2f0fdec599&fccid=1e7e3e9da14633fd&vjs=3
Data Scientist H/F,Banques de proximité à l'international,Casablanca,"Mesurer et étudie les indicateurs de pilotage des risques (Cout du risque, CDL, provisionnement, ECL, PD, LGD, RWA…),.
Bac + 5 / M2 et plus.",PostedOffre publiée il y a plus de 30 jours,,,https://www.indeed.com/rc/clk?jk=f16dcd58cbc52e81&fccid=fff4ee7fad5c9e21&vjs=3
Data engineer / data scientist,,Casablanca,"Assurer une maintenance (corrections et améliorations),• Sourcer et rassembler l'ensemble des sources de données structurées ou non structurées nécessaires à l…",PostedOffre publiée il y a plus de 30 jours,,,https://www.indeed.com/rc/clk?jk=e46b36e82c187d86&fccid=dd616958bd9ddc12&vjs=3
Data Scientist (REF04),Trusted Advisors,Casablanca,"Data scientist confirmé, avec un minimum de 5 ans d’expérience dans le.
Cadrage et définition du besoin avec les métiers.
Capacité à développer sous Sql.",PostedOffre publiée il y a plus de 30 jours,,,https://www.indeed.com/rc/clk?jk=4420bbbff2e8d6f7&fccid=52c3f2e2cdde3448&vjs=3
Offre: Stagiaire data scientist (h/f),,Rabat,"Teleperformance recrute un data scientist !!!
Stagiaire data scientist (h/f).
Internationale opérant dans le secteur des services liés à l'automobile recherche…",PostedOffre publiée il y a plus de 30 jours,Stage,,https://www.indeed.com/rc/clk?jk=be2765afc1afd80b&fccid=dd616958bd9ddc12&vjs=3
Data Scientist/Senior Data Scientist - Advanced Analytics,McKinsey & Company,Casablanca,"Experience in data extraction, transformation, cleaning, and validation.
Experience implementing advanced analytics / data science models into a production…",PostedOffre publiée il y a plus de 30 jours,,,https://www.indeed.com/rc/clk?jk=04846cf9dd6c2623&fccid=6576e7250aa78c3c&vjs=3
مباراة توظيف 2 مناصب بصندوق التضامن ضد الوقائع الكارثية، آخر...,,Maroc,"Concours Fonds de Solidarité contre les Evénements Catastrophiques (02 Postes).
Cadre Chargé de la Communication.
Cadre Chargé de la Communication.",PostedOffre publiée il y a 9 jour,,,https://www.indeed.com/rc/clk?jk=54d0b6ea6f02416f&fccid=dd616958bd9ddc12&vjs=3
براتب شهري لا يقل عن 6000 درهم.. مجموعة Crédit du Maroc : تو...,,Maroc,Crédit du Maroc recrute 20 Profils (Casablanca Mohammedia Meknès Fès).,PostedOffre publiée il y a plus de 30 jours,,,https://www.indeed.com/rc/clk?jk=c5564ba3a204f48b&fccid=dd616958bd9ddc12&vjs=3
