job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,Career Pakistan,Islamabad,"Position Title: Data Scientist Company Type: Large Multinational Company Sector: Telecom Location: Islamabad Salary: No salary info ​​[Note: While sending CV,…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=dcf9d85c9b97e772&fccid=57ee67bb8419717d&vjs=3
Data Analyst,Reorg Research,Pakistan,"Run internal quality control checks to assure accuracy and integrity of data.
Timely update the current financial data model when companies under coverage issue…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=2f7983ecc011ccd6&fccid=fafb8f0f2a17c3fd&vjs=3
Lead Data Scientist - Advanced Analytics,McKinsey & Company,Karachi,"Experience in data treatment/data mining: SQL, AWK, Access, Spark, Excel.
You will shape the future of what data-driven organizations look like, drive processes…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=89e12148a464496f&fccid=6576e7250aa78c3c&vjs=3
Senior Data Scientist,Bykea,Karachi,"3+ years of work experience in data science, data architecture, data modeling, technical solutions, business intelligence, engineering or other technical…",Posted30 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=ac7b88a3ceb682aa&fccid=325af7a637786359&vjs=3
Finance and Data Analyst,FINCA International,Lahore,"Run processes in enterprise data warehouse in support of IFRS 9 calculations and monthly process flow,.
Interact with local CFOs and their respective IT teams…",Posted17 days ago,,,https://www.indeed.com/rc/clk?jk=918d8ed8c3fa6c37&fccid=ad37094265690a38&vjs=3
Senior Data Engineer - Advanced Analytics,McKinsey & Company,Karachi,"Experience preparing data for analytics and following a data science workflow.
You’ll actively cooperate with data scientists and digital consultants to…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=7691d7d89c4769ee&fccid=6576e7250aa78c3c&vjs=3
Cloud Engineer,Teradata,Islamabad,"Proven ability to collaborative with multi-disciplinary teams of business analysts, developers, data scientists, and subject matter experts.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=4db1afa256f5d0fa&fccid=ded9605952442cb4&vjs=3
FULLSTACK DEVELOPER,British American Tobacco,Lahore,"Work with data scientists and analysts to improve software.
Create security and data protection settings.
The Full Stack Developer is responsible to produce…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=d69b5dd7d015b155&fccid=8e1a8291113cc060&vjs=3
Cloud Engineer III,S&P Global,Islamabad,"Proven ability to collaborative with multi-disciplinary teams of business analysts, developers, data scientists, and subject matter experts.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=6ebdd099b7f524f5&fccid=b716e44d2c6283e7&vjs=3
Product Owner,CreditBook,Karachi,"As a Product Owner at CreditBook, you'll partner with engineers, designers and data scientists to envision, build and scale one of the fastest growing B2B…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=60467caf7e812ec6&fccid=4215345ac6f05b52&vjs=3
