job_title,company,location,job_summary,post_date,more_info,salary,job_url
Health Scientist (Data Scientist),Center For Global Health,"Panamá, Provincia de Panamá","Provide analysis and supports data interpretation to both technical expert and lay users of public health data that include structured and unstructured data,…",Postedhace 12 días,,,https://www.indeed.com/rc/clk?jk=5f38585ff7e5316c&fccid=fd08b4aa8d5b7e16&vjs=3
Health Scientist,Deputy Director For Non-Infectious Diseases,"Panamá, Provincia de Panamá","The incumbent is responsible for providing senior-level management, programmatic, and operational leadership and guidance for the Centers within the office of…",Postedhace 18 días,,,https://www.indeed.com/rc/clk?jk=5e4ba247b9ccdfb8&fccid=dd616958bd9ddc12&vjs=3
Senior GHG & Decarbonization Leader-LATAM,AECOM,"Panamá, Provincia de Panamá","+ Oversee the work of less experienced scientists.
+ Interpret and record data, conducts analyses, compares findings to relevant studies and local, state, and…",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/rc/clk?jk=12bbf8617ed9f3c6&fccid=bafa4b35e9cd20ce&vjs=3
Data Scientist,G4 Global Partners,"Panamá, Provincia de Panamá","El profesional se centrará en analizar datos e implementar modelos matemáticos y estadísticos dentro de las principales áreas de negocio, con el uso de…",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=07e587a5f43d77cc&fccid=ec4a86e373c2ceb4&vjs=3
Data Scientist,Connect Assistance,"Panamá, Provincia de Panamá",Implementar la infraestructura de Machine Learning en Connect (incluyendo la organización de código fuente y despliegues productivos de modelos) y derivar …,Postedhace 19 días,Jornada completa,,https://www.indeed.com/company/Connect-Assistance/jobs/Data-scientist-dfa04d9108a35738?fccid=dbe0973e18eb3cc0&vjs=3
Associate - Marketing and Sales,McKinsey & Company,"Panamá, Provincia de Panamá","You’ll work with our Marketing & Sales practice in our Panama office.
As a part of this practice, you’ll focus on developing marketing and sales strategies for…",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=9c811fe6489ef7ac&fccid=6576e7250aa78c3c&vjs=3
Field Operations Manager (Central / South America) - Contrac...,Oxitec,Panamá,"You will take a proactive approach to making sure the team have everything they need to successfully execute our field pilot program - from vehicles, to…",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/rc/clk?jk=99a1b1f0aeee3c16&fccid=9ef06c366e7bee5c&vjs=3
Senior Technical Recruiter (Remote),Turing Talent,"Panamá, Provincia de Panamá","Our Founders and Advisors are from top companies such as Google, Meta, Microsoft and McKinsey.
Collaborate with other recruitment colleagues, share your…",Postedhace 6 días,,,https://www.indeed.com/rc/clk?jk=a1b2be7a70853d4a&fccid=007244bcba72f776&vjs=3
Senior Machine Learning Engineer,EPAM Systems,Panamá,"Materialize ML pipelines created by data scientists.
Cooperate with data scientists on the design and implementation of predictive models.",Postedhace 16 días,,,https://www.indeed.com/rc/clk?jk=7c40306f1ad24063&fccid=532afac41b2663f7&vjs=3
Big Data Senior - Remote Work,BairesDev,"Chitré, Provincia de Herrera+1 ubicación","Hands-on experience with managing data loads and data quality a plus.
Write highly efficient Spark jobs to process TB of data.",Postedhace 1 día,,,https://www.indeed.com/rc/clk?jk=32dd9e63d9e85045&fccid=29707109e86166e5&vjs=3
Data Science / Data Engineer - REMOTE WORK,BairesDev,"Chitré, Provincia de Herrera+1 ubicación","Hands-on experience with managing data loads and data quality.
Input data from those interviews into the product and help develop a predictive, fair, and…",Postedhace 1 día,,,https://www.indeed.com/rc/clk?jk=2e39cb72a748bdc0&fccid=29707109e86166e5&vjs=3
Data Scientist,Factor IT,"Colón, Provincia de Colón","Desarrollo de ETL's utilizando pentaho o alguna herramienta de diseño estilo drag and droop.
Experiencia en análisis de información (deseable información de…",Postedhace 30+ días,Jornada completa,,https://www.indeed.com/company/Factor-IT/jobs/Data-scientist-8733c833f9519cd3?fccid=574e7645c862913f&vjs=3
Research PMO Lead,Apex Systems,Panamá,"Actively engages with Research leads and scientists to build, maintain, and communicate high-level status updates to Research Leadership Team.",Postedhace 11 días,,,https://www.indeed.com/rc/clk?jk=647e831015cf62f3&fccid=cbeb390c31b2a838&vjs=3
