job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,Willis Towers Watson,"Lima, Lima","This includes data wrangling, data cleaning, and exploratory analysis.
As a data scientist, you’ll work collaboratively with our business, operations, marketing…",Postedhace 2 días,,,https://www.indeed.com/rc/clk?jk=ccb5ec2ea127606c&fccid=fcd059ccedda91fb&vjs=3
PRACTICANTE DE DATA SCIENTIST,alicorp,"Lima, Lima",Apoyo identificando la problemática de negocio y elaborando análisis estadístico que ayuden a la toma de decisiones.,PostedHoy,Prácticas,,https://www.indeed.com/rc/clk?jk=ff3933768feca5a6&fccid=73d42433d20aee65&vjs=3
Data Scientist Jr.,Interbank,"Lima, Lima","Apoyar en el desarrollo modelos prescriptivos y predictivos para la gestión de riesgos de todo el ciclo de vida del cliente (Admisión, gestión, cobranza y…",Postedhace 2 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=2c2f98a472c81464&fccid=8359307539608691&vjs=3
Data Scientist Translator,Interbank,"Lima, Lima","Identificar y entender los problemas a resolver, en conjunto con los stakeholders.
Especialización en Data Scientist y/o Estadística.",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=c0b3e4559a50a7e5&fccid=8359307539608691&vjs=3
Data Scientist,Pacifico Seguros,"San Isidro, Lima","Construir modelos analíticos eficientes y precisos que identifiquen y puedan ayudar a simular las decisiones empresariales.
Tipo de trabajo: Full-time.",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=5641cbcf44de8df7&fccid=510bd4f5f7b09b7d&vjs=3
Senior Data Scientist,Launch Potato,"Lima, Lima","Work with large amounts of data to identify and act on opportunities in monetization strategies.
Apply advanced statistical techniques to establish causal…",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=2d8e9522f5f54a7b&fccid=dac5dfa9f05470c2&vjs=3
Data Scientist -,Intercorp Retail,"Chorrillos, Lima","Deseable manejo de tecnologías de big data y cloud computing (spark, hadoop, aws, google cloud, etc).
Carreras universitarias de Estadisticas, Ingenieria…",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=ed54a936a6ba503b&fccid=fe805f6db7e01bef&vjs=3
DATA SCIENTIST ASSOCIATE I,BBVA,"Lima, Lima",Area: Deadline for applying: 8/18/2022 Company: 081 What are we looking for? About you Insert the profile description here Your experience Insert the…,Postedhace 2 días,,,https://www.indeed.com/rc/clk?jk=3d1f8b8d6a4732c1&fccid=c938a854fbd13908&vjs=3
DATA SCIENTIST,BCP,"Lima, Lima","Queremos que tu talento se sume al del BCP, para seguir siendo el banco que todo el tiempo está innovando, es pionero y digital.
PL/SQL o SQL - Intermedio.",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=7b202c974fca9fe8&fccid=ef32c9f4dceb57d8&vjs=3
Lead Data Scientist,Pacifico Seguros,"San Isidro, Lima","Asegurar un trabajo consistente entre los diferentes equipos analíticos desplegados en el negocio.
Colaborar con las tribus de negocio, los POs y los…",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=2ab8b22c8f651a2f&fccid=510bd4f5f7b09b7d&vjs=3
Resilience and Climate Change Practice Lead LATAM,AECOM,"Lima, Lima",+ High-level view of systems and data-centered approach to problem-solving based on extensive background in ecology and environmental science.,Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=926eaddcb04847b4&fccid=bafa4b35e9cd20ce&vjs=3
Data Scientist,NTT DATA Perú,"Lima, Lima","NTT DATA Company es una consultora multinacional que ofrece soluciones de negocio, estrategia, desarrollo y mantenimiento de aplicaciones tecnológicas, y…",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=3d13e7b396957439&fccid=83712bc14e85a819&vjs=3
Project Management - US Client (Olivos/Barracas),PwC,"Los Olivos, Lima","Handle, manipulate and analyse data and information responsibly.
The team owns multiple aspects of the technology delivery cycle, lead executive stakeholder…",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=737bddd2ae9c851a&fccid=5e964c4afc56b180&vjs=3
