job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist - Artificial Intelligence,IQVIA,Riyadh,"Working with a diverse global team of data scientists and software developers using modern data science languages and tools, you will.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=f773ac9056ecc436&fccid=6b7a1dfe07e7f037&vjs=3
Data Scientist,Viasat,Al Khobar,"Preprocess data and execute exploratory data analysis;
Be comfortable programming with Python for data analysis using libraries like Pandas.",Posted16 days ago,,,https://www.indeed.com/rc/clk?jk=c8305bab5892d8e1&fccid=8b219f1987ef65ea&vjs=3
RnD Engr/Scientist,Honeywell,Dhahran,"Document, Interpret and correlate results from experimental and pilot plant work as well as commercial data when applicable.",Posted12 days ago,,,https://www.indeed.com/rc/clk?jk=bbcfffef09e1d9b3&fccid=50208b5bf45ee3b8&vjs=3
Graduate Electrical Engineer,Worley,Al Khobar,"Assist with the preparation of detailed designs and drawings, specifications, data, calculations and reports.
As part of the Worley Graduate Community and under…",Posted3 days ago,,,https://www.indeed.com/rc/clk?jk=08b19a01dceeebda&fccid=d9805af20a6c196e&vjs=3
"Senior Staff Scientist, Next Generation Sequencing",KAUST,Saudi Arabia,"Interpret data collected in the context of a scientific project or sequencing service, suggest possible next steps and make data-driven decisions.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=71d32786c426b77e&fccid=64b1581dd6bd0e46&vjs=3
Secretary,Worley,Riyadh,"Provide the relevant group or team with administrative and clerical support when required.
Prepare and distribute incoming and outgoing correspondence.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=3cacd63387540c7d&fccid=d9805af20a6c196e&vjs=3
Petroleum Scientist,aramcoservices,Saudi Arabia,"Support automation of different upstream processes and instruments through having experience in data handling, data processing, data analysis, and statistics.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=98f4cebc44cc6bcb&fccid=6d390bc3a47cd8a7&vjs=3
Advanced R&D Engr/Scientist,Honeywell,Dhahran,"Document, Interpret and correlate results from experimental and pilot plant work as well as commercial data when applicable.",Posted12 days ago,,,https://www.indeed.com/rc/clk?jk=9927c011fbaea8a9&fccid=50208b5bf45ee3b8&vjs=3
Environmental Scientist,AECOM,Riyadh,"+ Experience in applying baseline data collection methodologies and carrying out project activities in emerging markets and rural communities, particularly in…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=a8fe0ccc4ef38f54&fccid=bafa4b35e9cd20ce&vjs=3
Chief Scientist,Global Human Capital Group,Jubail,"Apply robust scientific methodologies to analyze and interpret complex data sets, develop simulation, predictive modeling and analysis tools for resolving…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=e9472c12fe7513f5&fccid=bc7430ba1024565c&vjs=3
Chemist,Element Materials Technology,Dammam,"Element has an opportunity for a Chemistry Technician for testing, sample preparation and delivery/collection of samples and preparation of test reports.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=02e091c1362581da&fccid=b7c2b45e2f6dc3fb&vjs=3
Senior/Lead Data Scientist - Advanced Analytics,McKinsey & Company,Riyadh,"Experience in data treatment/data mining: SQL, AWK, Access, Spark, Excel.
You will shape the future of what data-driven organizations look like, drive processes…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=68150c833109e64e&fccid=6576e7250aa78c3c&vjs=3
Research Scientist/ Research Engineer,King Fahd University of Petroleum & Minerals,Dhahran,"Industry 4.0, internet of things (IoT), edge computing, and data analytics for intelligent management of energy systems.
Air ticket/s to Dhahran on appointment.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=32a060d021a6af19&fccid=a8de1e8b93794ec6&vjs=3
Consultnt Medical Physicist-Radiotherapy,Johns Hopkins Aramco Healthcare,Dhahran,"Responsible for performing the final independent check on treatment technique, treatment plan data, dose calculations and templates.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=876a6ff3080aaba7&fccid=a4f4ba6725c9a84c&vjs=3
Chief Scientist Urea,Global Human Capital Group,Jubail,"Maintain up to date knowledge in the area of Olefins and Aromatics technology advancements and timely advise senior management, technical project leaders,…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=01b8341a4925911b&fccid=bc7430ba1024565c&vjs=3
Data Engineer,Skills Acquisition,Jeddah,"Create data tools for analytics and data scientist team members.
Knowledge of algorithms and data structur.
Assemble large, complex data sets that meet business…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=9b45b5bfa504e8e4&fccid=d2e3f09deb459cb2&vjs=3
Senior Document Controller,AECOM,Riyadh,"+ Updating relevant document and data registers and lists.
The Senior Document Controller will coordinate the flow of technical documents (requisitions, data…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=5e64d8888eec01e0&fccid=bafa4b35e9cd20ce&vjs=3
Risk Analyst,AECOM,Riyadh,"+ Maintain the project risk registers and facilitate all data collation.
+ Support the Project Manager by managing the project risk management process.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=25e4a8abe771b8b5&fccid=bafa4b35e9cd20ce&vjs=3
Senior Environmental scientist,AECOM,Jeddah,"+ Undertaking field programmes to collect baseline / existing conditions data on terrestrial flora and fauna, habitat characterizations and assessment,…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=8c9f296de49be1a5&fccid=bafa4b35e9cd20ce&vjs=3
Lead Data Engineer - Advanced Analytics,McKinsey & Company,Riyadh,"Experience preparing data for analytics and following a data science workflow.
You’ll actively cooperate with data scientists and digital consultants to…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=71a0fcd2aaf08b76&fccid=6576e7250aa78c3c&vjs=3
