job_title,company,location,job_summary,post_date,more_info,salary,job_url
Junior Data Scientist (12-months contract),Evonik,Singapore,Works independently and provides guidance and training to others on analyzing data trends for use in reports to help guide decision making.,Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=286b93a2ec27fb73&fccid=b9d8ab1041976ac7&vjs=3
Data Scientist Intern,Siemens,Singapore,"Study and transform data science prototypes.
Select appropriate datasets and data representation methods.
Implement appropriate ML algorithms and tools.",Posted1 day ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=0e41fc029bba5f8f&fccid=ea6bb53f0b18b8f2&vjs=3
Data Scientist - Analytics,TikTok,Singapore,"Experience in data analysis of Internet companies is preferred.
Analyze business data in different markets, formulate targeted recommendation strategies, and…",Posted7 days ago,,,https://www.indeed.com/rc/clk?jk=72d0d42b731f8a34&fccid=caed318a9335aac0&vjs=3
Data Scientist,Binance,Singapore,"You will collaborate with a strong team of engineers, data analysts, business operation and product/marketing managers to define and build solutions, features,…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=25747cee3dc8fb12&fccid=ac2ee5578fa99fc9&vjs=3
Internship - Data Scientist,Cresco Data,Singapore,"The processing of customer data and producing actionable reports required for loading.
With the Head of Delivery for a wide range of business use cases.",Posted30+ days ago,Internship,,https://www.indeed.com/rc/clk?jk=fd54bca13cdc621c&fccid=e96185fcb464a1bb&vjs=3
Data Scientist,Dyson,Singapore,"You will have hands-on experience with leveraging data from a wide selection of data sources through different technologies e.g. SQL, BigQuery etc., and a keen…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=e812a13020ecc287&fccid=366382f52796fce2&vjs=3
Smart Manufacturing Data Scientist,Micron,Singapore,"Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data…",Posted30 days ago,,,https://www.indeed.com/rc/clk?jk=5fa0ff0e236b8fb0&fccid=be240c643a8631c5&vjs=3
Data Scientist,UBS,Singapore,"Strong data analytics capabilities, demonstrated mandatory experience in analytics platforms (Python and R) for data mining and statistical analysis.",Posted10 days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=dafd04b58135483c&fccid=1c76c3a36f6c7557&vjs=3
Data Scientist,Titansoft Pte Ltd,Central Singapore,"Mine, analyze and visualize data from company databases to drive optimization and improve product development, marketing techniques and business strategies.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=c6961cefbb3407f9&fccid=edc15bd85c69527e&vjs=3
Data Scientist - Financial Services,GO-JEK,Remote in Singapore,"Help to make data science and data-driven decisions a part of the organization’s DNA.
Experience with experimenting on different modeling techniques (supervised…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=40fcd303b93adaf0&fccid=35c79097c1f63f3d&vjs=3
