job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,BOEING,서울,"Data Analysis (EDA) on real-time 
data... 
Data Engineers and MLOps Engineers to derive crucial features from the 
data...",Posted11일 전에 게시됨,,,https://www.indeed.com/rc/clk?jk=f544b8043a0cede5&fccid=edae4285faf6c2f0&vjs=3
Data Scientist,Dupont,충청남도 천안,"rate... 
data
scientist role, you... credible 
data sources, and provide technical instructions to 
data analysts...",Posted12일 전에 게시됨,,,https://www.indeed.com/rc/clk?jk=ccd195801ae326d8&fccid=76bce720eab9a7b0&vjs=3
[MUSINSA] Data Scientist (데이터프로덕트팀),무신사,서울 성동구,"[MUSINSA] 
Data
Scientist (데이터프로덕트팀) 무신사는 2001년 온라인 커뮤니티로 시작해 2005년 무신사 매거진, 2009년 무신사 스토어를 오픈하며 빠르게 성장하고 있는 국내 대표 온라인 패션 플랫폼입...",Posted8일 전에 게시됨,정규직,,https://www.indeed.com/rc/clk?jk=d08a43a0d1919a9f&fccid=a21230b40394711d&vjs=3
Data Scientist (KOREA),No deviation Pte Ltd,충청북도 청주,"transform and analyze 
data from multiple 
data sources ensuring 
data quality... 
data analysis, 
data modeling and 
data...",Posted30일 이상 전에 게시됨,정규직,,https://www.indeed.com/rc/clk?jk=ea23e376c32ece8b&fccid=1685f7430879dfc6&vjs=3
ML/DL Data Scientist,현대카드 캐피탈,서울 영등포구,"모집분야 - ML/DL 
Data
Scientist 지원자격 ML/DL 
Data
Scientist [담당업무] ML/DL 엔지니어링, 추천 알고리즘... 
Data 예측 모델링 - Synthetic Tabular 
Data...",Posted30일 이상 전에 게시됨,,,https://www.indeed.com/rc/clk?jk=8d82ffc3587320ea&fccid=fcc6d6b229369ff5&vjs=3
Data Scientist,KB데이타시스템,서울 마포구,인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>웹프로그래머>Python|인터넷·IT·통신·모바일·게임>응용프로...,Posted30일 이상 전에 게시됨,정규직,,https://www.indeed.com/rc/clk?jk=9c30497c087dbdbb&fccid=fe227fbd2afb9580&vjs=3
R&I Scientist (GHP - Green Hydrogen Platform),Solvay,대한민국,"gather customers’ voice and pertinent 
data. Take a technical lead of GHP projects... simulate experimental 
data and identify...",Posted9일 전에 게시됨,,,https://www.indeed.com/rc/clk?jk=50fa5b857ff90887&fccid=73570cc12fe0cc87&vjs=3
Data Scientist,Applied Materials,대한민국,"data pipeline / modeling pipeline that can be integrated... Applied AIX TM platform Evaluate and optimize the 
data...",Posted30일 이상 전에 게시됨,정규직,,https://www.indeed.com/rc/clk?jk=4b1765c4f3ce8631&fccid=6c6f37e2a6cb4c55&vjs=3
Data Engineer & Scientist,LG전자,서울 영등포구,"학사 이상 학위소지자 - 전공 : Computer Science, 
Data Science 유관 전공 - 경력기간 : 3년 이상 기업 빅데이터 ETL... 경험 - Product level 
Data Analytics 솔루션 개발...",Posted12일 전에 게시됨,,,https://www.indeed.com/rc/clk?jk=544b2256bba22413&fccid=9702ca14c9a11940&vjs=3
LINE Wallet & Fintech - ML/Data Scientist,LINE Plus corporation,대한민국,"LINE의 5번째 탭인 Wallet에서는 쿠폰, 멤버십, 포인트의 생활형 서비스뿐만 아니라 증권, 자산, 결제 등의 다양한 Fintech의 서비스 영역에서 사용자에게 맞춤형으로 추천 기능을 제공하고 있습니다. 사용자에게 적합...",Posted30일 이상 전에 게시됨,정규직,,https://www.indeed.com/rc/clk?jk=38bb64c6bbb3889a&fccid=e90e80bc9ed9a53f&vjs=3
"[AIRS] Data Scientist[연구원, 책임연구원]",현대자동차그룹,서울 강남구,"들고 개발하는 전문조직으로 커뮤니티 기반 라이드풀링 서비스인 셔클을 선보이고 발전시켜가고 있습니다. 
Data
Scientist는 이동의 경험을 향상시키기 위해 다양한 모빌리티 데이터를 처리, 분석하는 업무를 담당합니다. 사용...",Posted30일 이상 전에 게시됨,정규직,,https://www.indeed.com/rc/clk?jk=95d4044f1361c4c9&fccid=980d6ecc399a3373&vjs=3
빅데이터 분야,LG유플러스,서울,"환되기 위한 탄탄한 기반 확보 - 구성 : 
Data
Scientist(분석가), 
Data Engineer, 
Data Analyst, 컨설턴트 출신 등... 전원 
Data
Scientist로 구성 [
Data
Scientist(DS...",Posted30일 이상 전에 게시됨,,,https://www.indeed.com/rc/clk?jk=67c19d7ac0857ecd&fccid=6c9206aa5a609175&vjs=3
NGS Field Application Scientist - Korea,Integrated DNA Technologies (IDT),경기도,"Scientist - Next Generation Sequencing (NGS) Location: Seoul, Korea (Hybrid) Overview... NGS Application 
Scientist...",Posted30일 이상 전에 게시됨,정규직,,https://www.indeed.com/rc/clk?jk=b7123496b77d9e93&fccid=5245b59cd547163f&vjs=3
디지털융합사업 스마트테크부문 7월 정기,교원그룹,서울특별시,"업계에서 일했던 경험이 있는 자 - LMS개발/유지보수 경험자 - 대규모 데이터 처리 경험자 
Data
scientist 5년 이상 1. 담당업무 - AI기반 스마트상품 데이터 분석 - AI 학습 분석...",Posted13일 전에 게시됨,,,https://www.indeed.com/rc/clk?jk=8a72a54b3c4dd7c9&fccid=dd616958bd9ddc12&vjs=3
[CJ Olivenetworks/경력] AI연구소 AI/ML 연구/개발(Data Scientist),씨제이올리브네트웍스,서울 용산구,"[CJ Olivenetworks/경력] AI연구소 AI/ML 연구/개발(
Data
Scientist) 인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>응용프로그래머>인공지능...",Posted4일 전에 게시됨,정규직,,https://www.indeed.com/rc/clk?jk=55e24ee3859d02df&fccid=0481711d527e520b&vjs=3
Fintech ML/Data Scientist,LINE Plus corporation,대한민국,"Scoring팀은 LINE 핀테크 사업을 위한 데이터 분석과 모델링 업무 전반을 수행 중입니다. 일본, 태국, 대만, 인도네시아 등 글로벌 LINE 유저의 방대한 빅데이터 분석을 기반으로 신용평가, 소득추정, 로열티 등 다양...",Posted30+일 전,정규직,,https://www.indeed.com/rc/clk?jk=1ce576399da5fa9f&fccid=e90e80bc9ed9a53f&vjs=3
[데이터프로덕트팀] Senior Data Scientist(경력 5년 이상),직방,서울 종로구,"데이터프로덕트팀 소개직방의 데이터프로덕트팀은 부동산/경제 데이터 및 사용자 데이터를 활용하여 의미있는 가치를 지닌 독립적 데이터 제품을 만들어 나가는 팀입니다. 현재 운영, 준비 중인 프로덕트는 직방 시세 및 데이터 기반...",Posted오늘,정규직,,https://www.indeed.com/rc/clk?jk=9d32388273da541d&fccid=750d792cf813d448&vjs=3
Data Scientist,컬리,서울 강남구,인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데이터|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>ERP·시스템분석·설계>빅데이터|인터넷·IT·통신·모바일·게임...,Posted30+일 전,정규직,,https://www.indeed.com/rc/clk?jk=359aeaf8d5c68f5b&fccid=84f556ede0522ba3&vjs=3
