job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist - Time Series Forecasting,Utopia Music,Distans,"Coordinate with [data] engineers to set up and build the right databases, data lakes, data pipelines, services, etc.",PostedPublicerad för 24 dagar sedan,Heltid,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97ErftAXPNx-epAvB1zkxmaGTHLlScAT1ZCVTFu6Guk6DrDJ1myOnI9pMB4REqSu7oYIu4VOXFg6rR58TXk2uvsNP65aFTGJXN_5in2h3K30VGt9z7uxU8zTGo4ocAVhWPfgCuEKTKIvG2TkFQ6UCwCJPEi0o1MK15_SC6tNdPMa_3zC9exnuPW-T2LMmXDVbchsZQmjFK3oToKHMsEN0KlTmiYC7EM39An8SZQxv6OSw7NSLcK9OoLwwgHaMJqowrRYA-a7E57vZCvQ15W3zUzi0igwCm1G2aCRCsf2GX1A9QXr9qN0oT4rFcWjmXTsmN0OV-W7voO1xR-nJmLnUB1bq7YlAzLc6CE7yhbj4Yo5UYBLeR5E-4gSgmaSevgqW-EeVauwJ8frLP93nGdPiH7gqf-4C6M3MPHbIf1fdp1IoSg&xkcb=SoAY-_M3b6hJGWxrzZ0LbzkdCdPP&p=0&fvj=0&vjs=3
Research Data Scientist,Meta,Distans,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2.
Experience with Machine Learning, Statistics, or other data analysis tools and…",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=45db8bd2c6e56c56&fccid=ba07516c418dda52&vjs=3
Data Scientist,Humblebee,Distans in 411 05 Göteborg,"We think that you have been working with data science for around 5 years or more.
There is no previous tech stack that you need to adjust to in the data area.",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=7130c2a7840a6ff5&fccid=7516e83b5885037a&vjs=3
"Data Scientist & Analyst, Gothenburg",KPMG,Göteborg,"At Lighthouse you will have a high degree of freedom and be a central part of our delivery teams towards building scalable and robust solutions, using the…",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=3d3dd0417bf88ef2&fccid=2dd390c3a48a7ed0&vjs=3
Data Scientist,Coop,Sverige,"Develop in a full-fledged data science environment, entirely on cloud.
Familiar with the full stack of data science technologies (eg. Kubernetes, Git, Docker,…",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=408ebca583923a9c&fccid=a07329ed75b712e3&vjs=3
"Data Scientist & Analyst, Stockholm",KPMG,Stockholm+1 ort,"At Lighthouse you will have a high degree of freedom and be a central part of our delivery teams towards building scalable and robust solutions, using the…",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=e461f22e282f74b3&fccid=2dd390c3a48a7ed0&vjs=3
Data Scientist,weITglobal,222 22 Lund,"Establish scalable, efficient, and automated processes for large-scale data analysis, model development, deployment, experimentation, and evaluation.",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=56c4bcb8a36cd14a&fccid=42cb895938fd8b48&vjs=3
Data Scientist,B3 Consulting Group,Distans in 111 40 Stockholm,Vårt mål är att vara den perfekta partnern för våra kunder i deras arbete med att få utväxling på värdet i deras data!,PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=cb1fdcf9d91e2f9c&fccid=377ff150a39aeb0a&vjs=3
Data Scientist - Consumer Experience,Spotify,Tillfälligt på distans in Göteborg,"Familiar with qualitative research methods, utilizing data from interviews, surveys and co-creation activities to synthesise with quantitative data.",PostedPublicerad för mer än 30 dagar sedan,,,https://www.indeed.com/rc/clk?jk=707d5f99d79af9af&fccid=fe404d18bb9eef1e&vjs=3
Data Scientist within Powertrain simulation,Volvo Group,Malmö,Powertrain simulation is a data-intensive task and new scripts and methods are needed to deal with more complex engines.,PostedPublicerad för 25 dagar sedan,,,https://www.indeed.com/rc/clk?jk=1736e6220cab73db&fccid=0f63e537c80f169b&vjs=3
