job_title,company,location,job_summary,post_date,more_info,salary,job_url
Intern - Data Science,Micron,台中市,"Intern 
Data
Scientist at Micron... experienced 
Data
Scientists, 
Data Engineers, Business Areas...",Posted今天,工讀/實習,,https://www.indeed.com/rc/clk?jk=bc697ada8197edfe&fccid=be240c643a8631c5&vjs=3
Data Scientist-Advanced Analytics,IBM,台北市,"Data
Scientist at IBM, you will help transform our clients’ 
data... 
Data
Scientists uncover...",Posted剛才發佈,,,https://www.indeed.com/rc/clk?jk=948cd2831adacecd&fccid=de71a49b535e21cb&vjs=3
DigitalBCG | GAMMA Data Scientist,Boston Consulting Group,Hong Kong,"BCG GAMMA combines innovative skills in computer science, artificial intelligence, statistics, and…",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=3f83eb5a1e8f28b5&fccid=b95f9eb47968fa13&vjs=3
Data Scientist,奧義智慧科技 CyCraft,新北市,"more value from 
data 2. Survey... Statistics (having experience in 
data structure and algorithms) 2...",Posted刊登於 9 天前,"月薪40,000元","月薪40,000元",https://www.indeed.com/rc/clk?jk=5088e4ccd0e3c52f&fccid=9ca0301cb7b8a8cf&vjs=3
SR. DATA SCIENTIST,Micron,台中市,"JR27423 SR. 
DATA
SCIENTIST... 
databases via SQL and other query languages and applying 
data...",Posted刊登於 26 天前,,,https://www.indeed.com/rc/clk?jk=b09112ea14007cfd&fccid=be240c643a8631c5&vjs=3
Product Data Scientist,Houzz,台北市,"operational 
data science... 
data infrastructure / product engineering teams to define the 
data...",Posted刊登超過 30 天以上,全職,,https://www.indeed.com/rc/clk?jk=445d3ef287e6156c&fccid=cd808c272e6d956a&vjs=3
Research Scientist,Corning,台灣,"data (ETL functions of cleaning, consolidating, transforming 
data... Big 
Data systems and 
data...",Posted刊登於 16 天前,,,https://www.indeed.com/rc/clk?jk=bcba817532ff1f4a&fccid=fb75933edd65f432&vjs=3
Data Scientist,Binance,台北市,"Engineers and 
Data
Scientists across the company use the 
data... innovations... 
data
scientist...",Posted刊登於 3 天前,,,https://www.indeed.com/rc/clk?jk=cc55171914f7d882&fccid=ac2ee5578fa99fc9&vjs=3
(2022 Campus Hire) Associate Data Scientist,IBM,台北市,"Data
Scientist at IBM, you will help transform our clients’ 
data... 
Data
Scientist will work...",Posted刊登於 3 天前,,,https://www.indeed.com/rc/clk?jk=dcaffa958799c9b0&fccid=de71a49b535e21cb&vjs=3
Systems and Data Engineer,Micron,新竹縣,"data analyst /
data
scientist... diverse 
datasets. Ability to extract 
data from different 
databases...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=f9726a778fe11d5e&fccid=be240c643a8631c5&vjs=3
Data Scientist( 工作地點: 內湖瑞光路),Advantech,台北市,"data
scientist, you'll join... from 
data insights. We are seeking 
data
scientist... passion...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=fcefa16085263deb&fccid=85c7a20807dd4c3b&vjs=3
Data Scientist,WorldQuant,台北市,"talented 
data
scientist... 
data and turn 
data into valuable insights Develop and create 
data...",Posted刊登於 4 天前,,,https://www.indeed.com/rc/clk?jk=6465232ca14078bb&fccid=08487f979320ebae&vjs=3
"Data Scientist(IT, 內湖瑞光路)",Advantech,台北市,"Ability to perform Exploratory 
Data Analysis and working knowledge... external 
data in order to feed...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=0c7aca58a3ce6d7f&fccid=85c7a20807dd4c3b&vjs=3
Lead Data Scientist,Micron,台中市,"ID: JR31338 Lead 
Data
Scientist... lead 
data science engineer... experience as a 
data
scientist...",Posted刊登於 22 天前,,,https://www.indeed.com/rc/clk?jk=a4a56a3136431ffd&fccid=be240c643a8631c5&vjs=3
【採線上面談】Senior Data Scientist 資深資料科學家 - Annual salary 2M,Titansoft Singapore,台北市,"【What a 
Data
Scientist does... Mine, analyze and visualize 
data from company 
databases to drive...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=27f711fdb274baea&fccid=f1f38920739951b9&vjs=3
Data Scientist,Snapask (Holdings) Inc,台北市,"Experience in Big
Data infra build up, warehouse, 
data processing system. ・ Experience in 
Data...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=4bde56f66791f143&fccid=f171597deccb2722&vjs=3
"Data Scientist, Technology and Products Group",Micron,台中市,"Data
Scientists, 
Data Engineers... Engineering 
Data
Scientist, you will work on applying 
Data Science...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=91af8c559164d08d&fccid=be240c643a8631c5&vjs=3
"Applied Scientist, Lab126",Ring of Security Asia Ltd TWN,台北市,"Applied 
Scientist to work... processes for large-scale 
data analysis, machine-learning model...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=d5a9ce9abddb0e34&fccid=fe2d21eef233e94a&vjs=3
"Data Scientist, Professional Services",Amazon Web Services Taiwan Ltd,台北市,"data science and analysis Previous experience in a ML or 
data... 
data, exploring 
data, building...",Posted刊登於 9 天前,,,https://www.indeed.com/rc/clk?jk=6a58868d234d185e&fccid=fe2d21eef233e94a&vjs=3
Data Scientist 資料科學家,MoBagel 行動貝果,台北市,"outcome：開放與追求成長的氛圍，期待加入的你也樂於學習，並一次次突破且產出最佳成果 • 
Data First：善用團隊力量突破各種困難，並有效利用數據優化與迭代 【你將參與和負責項目...",Posted刊登於 23 天前,"年薪1,200,000 - 1,400,000元","年薪1,200,000 - 1,400,000元",https://www.indeed.com/rc/clk?jk=d7ba34b78fd56f78&fccid=f552ef4ed5ee5aa3&vjs=3
Data Analyst & Data Scientist,台灣積體電路製造,新竹科學工業園區,"unstructured 
data and summarize... 
data analytics (applied statistics, operation research, 
data...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=a04b23cd0744456a&fccid=76fa33c24b5bd693&vjs=3
Data Engineer - LINE TODAY,LINE Plus corporation,台北市,"data pipeline architecture. You will also work closely with 
data... Partner with 
data
scientist...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=61fd978e84e8a239&fccid=e90e80bc9ed9a53f&vjs=3
Data Scientist,Dupont,新竹市,"com The 
data
scientist/engineer... Excellent team player. 
Data
Scientist Specific Requirement...",Posted刊登於 19 天前,,,https://www.indeed.com/rc/clk?jk=10d65ab0b0334be4&fccid=76bce720eab9a7b0&vjs=3
Data Scientist Engineer,台灣積體電路製造,新竹科學工業園區,"experience with 
data wrangling, 
data pre-processing (e.g., de-duplication, imputation... 
data...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=8f88fcb0569711c6&fccid=76fa33c24b5bd693&vjs=3
"Foundational Cell Therapy Biology, Scientist / Senior Scient...",BeiGene,台北市 內湖區,"colleagues in scientific discussion, present scientific 
data to internal and external audiences.",Posted刊登超過 30 天以上,全職,,https://www.indeed.com/rc/clk?jk=6378e61696085c8d&fccid=2394c9d5d73fdfc5&vjs=3
Scientist,Dupont,桃園市 桃園區,"desirable). Be familiar with analytical equipment and 
data analysis (SEM/SAT/X-Ray, Thermal Analysis...",Posted刊登於 3 天前,,,https://www.indeed.com/rc/clk?jk=e25165a50be8b47f&fccid=76bce720eab9a7b0&vjs=3
"Research Scientist /Principal Investigator, iPSC",BeiGene,台北市 內湖區,"motivated and passionate Senior 
Scientist / Principal Investigator... Presentation of 
data...",Posted刊登超過 30 天以上,全職,,https://www.indeed.com/rc/clk?jk=2ba2d4a02e60699a&fccid=2394c9d5d73fdfc5&vjs=3
Data Scientist-遊戲直播平台,1111獵頭,台北市,"data efficiently. - Analyze and understand business 
data. Translate 
data insights into concrete...",Posted刊登超過 30 天以上,全職,,https://www.indeed.com/rc/clk?jk=6820486bfed47de9&fccid=40f204f59a48435f&vjs=3
MAG Applications Scientist,Oxford Instruments Plc,台灣,"data at worldwide conferences... accurate and up to date contact 
database using Infor CRM. Manage...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=65480472b637c22c&fccid=a6a6cb08ca92cc4b&vjs=3
亞太領航數據公司 Chief Data Scientist,JobMenta by Yourator 中高階獵才,台北市,工作內容 規劃測試計畫和測試案例 Perform Tests：測試與驗證系統功能、相容性、效能、壓力承載、可靠度等。 SW QA engineers perform a variety...,Posted刊登超過 30 天以上,全職,,https://www.indeed.com/rc/clk?jk=a204068fe4244112&fccid=15f377f0c39c8134&vjs=3
Quantitative Researcher,WorldQuant,台北市,"thinking about how to apply 
data... financial markets, our... research 
scientist mind-set...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=4713b5706b2dbd2c&fccid=08487f979320ebae&vjs=3
[Data Sci] Chief Data Scientist,Vpon,台北市,"data analysis in theory and applications * Strong collaboration skills with 
data analysts, 
data...",Posted刊登超過 30 天以上,"月薪40,000元","月薪40,000元",https://www.indeed.com/rc/clk?jk=6e87fd478700c15f&fccid=55c18b56f3c8b8b9&vjs=3
SVC_Data Planner,LINE Plus corporation,台北市,"stage, 
data planner shall define 
data tracking dimensions and 
data... 
data project management and 
data...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=081c0a9b1e616583&fccid=e90e80bc9ed9a53f&vjs=3
Data Scientist (Ph.D.),Fyte,台北市,"datasets Analysis of 
datasets... years of experience as a 
Data
Scientist, quantitative researcher...",Posted刊登超過 30 天以上,全職,,https://www.indeed.com/rc/clk?jk=78590dddbce9c2d0&fccid=61c5c3ec18cb2bf6&vjs=3
Senior Researcher(Data Scientist),1111獵頭,台北市,"data engineer to design 
data... 
database mechanism - Solid statistical knowledge - 7年以上
Data相關工作經驗",Posted刊登於 11 天前,全職,,https://www.indeed.com/rc/clk?jk=8c9b65241942201b&fccid=40f204f59a48435f&vjs=3
Senior Data Engineer - EC,LINE Plus corporation,台北市,"data
scientist for 
data cleansing... managers and 
data
scientists to understand 
data needs. Design...",Posted刊登超過 30 天以上,,,https://www.indeed.com/rc/clk?jk=8a94c440dcb7bf0f&fccid=e90e80bc9ed9a53f&vjs=3
Data Scientist - Analytics (Product) / 資料科學家 - 產品數據分析師,Pinkoi,新北市,工作內容 【工作內容】 驗收物流貨物、清點盤存作業。 從事物流貨物、重整、包裝作業。 執行作業區環境整理、清潔維護作業。 進行商品入倉、交期、送貨、調度安排等相關工作。 條件要求 【應徵條件...,Posted刊登超過 30 天以上,"月薪33,000 - 50,000元","月薪33,000 - 50,000元",https://www.indeed.com/rc/clk?jk=f3bfe4d77a00ccf1&fccid=1815ea02a7950dbc&vjs=3
"Data Scientist, Amazon Sidewalk Network Services",Ring of Security Asia Ltd TWN,新竹市+1地區,"analytics, 
data science, 
data... team. About the Role As a 
Data
Scientist, you will work closely...",Posted刊登於 29 天前,,,https://www.indeed.com/rc/clk?jk=1a35f2fa10d7cf0c&fccid=fe2d21eef233e94a&vjs=3
Sr. Data Scientist,1111獵頭,台北市+1地區,"EDA or other 
data science analysis to scope unstructured problems or messy 
data for tractable...",Posted刊登超過 30 天以上,全職,,https://www.indeed.com/rc/clk?jk=cd06bd7d6eac2a33&fccid=40f204f59a48435f&vjs=3
【AI Team】數據工程師 Data Engineer,iKala 愛卡拉,台北市,"data from a wide variety of 
data... 4. Create 
data tools for analytics and 
data
scientist team members...",Posted刊登於 2 天前,全職,,https://www.indeed.com/rc/clk?jk=d38758b03345017c&fccid=717ea9873213d01a&vjs=3
