job_title,company,location,job_summary,post_date,more_info,salary,job_url
Consultant - Data Scientist - TH,Deloitte,กรุงเทพมหานคร,"Designing and developing data integration (including batch/real-time, ETL/ELT) processes with a variety of structured and unstructured data with tools such as…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=30c7339850dc950e&fccid=9e215d88a6b33622&vjs=3
Data Scientist,CPF IT Center,Thailand,"Experience working with big data systems and big data concepts.
Visualize data to tell compelling stories.
Perform elements of data cleaning, feature selection…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=3f94845953e37b17&fccid=6161377d923dc529&vjs=3
Data Scientist,SiPH Hospital,"บางพลัด, กรุงเทพมหานคร",2 years+ relevant experience in healthcare industry and/or more than 5 years of experience as data scientist from healthcare or other industries.,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=fbac50d8c61432ad&fccid=72d75a27f9912bb6&vjs=3
Data Analyst,บริษัท อีซี่บาย จำกัด (มหาชน),"ราชเทวี, กรุงเทพมหานคร","Acquire data from primary or secondary data sources and maintain databases/data systems.
Develop and implement data collection systems and other strategies that…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=72b6c822053a4333&fccid=4371818e7027a7b2&vjs=3
Machine Operator,Cargill,สระบุรี,The Senior Engineer Technician will provide technical support to our engineers and scientists on a variety of technical tasks.,PostedToday,,,https://www.indeed.com/rc/clk?jk=53260e0211e69716&fccid=d7d9a8241ba2f3ec&vjs=3
Data Scientist,บริษัท เนาวรัตน์พัฒนาการ จำกัด (มหาชน),"บางพลี, สมุทรปราการ",เงินเดือน : ตามประสบการณ์ คุณสมบัติผู้สมัคร : เพศชาย-หญิง อายุ 23 ปีขึ้นไป วุฒิการศึกษาระดับ ปริญญาตรี สาขา คณิตศาสตร์วิทยาการเชิงคอมพิวเตอร์ และสาขาอื่นที…,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=b52f1c9096a6634f&fccid=b89ae7b7625ab7cf&vjs=3
Data Scientist,บริษัท ธนาคารกรุงเทพ จำกัด (มหาชน),"สาทร, กรุงเทพมหานคร","Identifies what data is available and relevant, including internal and external data sources, leveraging new data collection processes such as sensor data, geo…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=ffd00ab5b50348bc&fccid=ab72e4d36bdc5e44&vjs=3
Data Scientist,กลุ่มบริษัทซีดีจี,กรุงเทพมหานคร,"2-3 years’ experience in implementing Big Data solutions for enterprise data analysis.
Serves as a virtual team for customers on data analysis, presenting,…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=f6f65520aaaa5148&fccid=6dd41f6e749f69e2&vjs=3
Data Scientist,ExxonMobil,กรุงเทพมหานคร,Collaborate with stakeholders to determine data collection needs and appropriate data resources for specific projects or initiatives.,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=4d24f9e4a984b029&fccid=1ddb91d85c72e885&vjs=3
Senior Data Scientist,LSEG (London Stock Exchange Group),กรุงเทพมหานคร,"This application involves real-time high frequency and time series data including static referenced and fundamental data.
Fluent in spoken and written English.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=7e6ea3395fc9d071&fccid=2d181105260f6454&vjs=3
Data Scientist,บริษัท อยุธยา แคปปิตอล ออโต้ ลีส จำกัด (มหาชน),กรุงเทพมหานคร,"Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=0e1d806f8f4222cb&fccid=0aba939eba1dff41&vjs=3
Data Scientist,SKY ICT PCL,กรุงเทพมหานคร,"Studying Computer Engineering, AI, or Computer Science.
Basic knowledge of Statistics and Microsoft Excel (Visualization).",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=8426645fb9eff1d2&fccid=4948476bdcced0d9&vjs=3
Data Scientist,Coda Payments,กรุงเทพมหานคร,"At Coda, remote and flexible working arrangements take centre stage for Codans to work smartly and have autonomy in how they work.
Hands on experience with SQL.",Posted16 days ago,,,https://www.indeed.com/rc/clk?jk=543127d0de074e4b&fccid=734ef7de91560d87&vjs=3
Data Scientist / Data Analyst,Textile Prestige PCL,กรุงเทพมหานคร,"Manage and ensure the reliability of data in Corporate database.
Specials experience with SQL, BI tools and working with large data sets.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=ba21374373ac786e&fccid=b3ec0515112230bb&vjs=3
Graduate Electrical Engineer,Worley,Thailand,"Assist with the preparation of detailed designs and drawings, specifications, data, calculations and reports.
As part of the Worley Graduate Community and under…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=42ca2f4f29d9f7b5&fccid=d9805af20a6c196e&vjs=3
Data Scientist - Hatch,Ascend Group,กรุงเทพมหานคร,Explore and understand large enterprise data sets (‘big data’) with varying complicity to lead effective analysis delivery.,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=9f0fd1eaed407c50&fccid=e86c0d8bfd3a4b00&vjs=3
Data Scientist - CGS Business,The Siam Cement PLC (SCG),กรุงเทพมหานคร,"Experience with data analytics platform like Data bricks, Snowflake is preferred.
Experience with business intelligence and data visualization tools like MS…",Posted1 day ago,,,https://www.indeed.com/rc/clk?jk=ea7a41a6c1bd65cc&fccid=5d2feb62178ae3cb&vjs=3
Data Scientist,LINE Plus corporation,กรุงเทพมหานคร,"Lead analytical initiatives that leverage our data assets to generate insights through hands-on data science techniques.
Another model such as income model.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=120066b1ead84fee&fccid=e90e80bc9ed9a53f&vjs=3
"Data Science, Specialist",AIA,กรุงเทพมหานคร,"Responsible for creating data modelling tools to identify opportunities through insight from data.
Prepare data from different data sets for building predictive…",Posted18 days ago,,,https://www.indeed.com/rc/clk?jk=93f1ef04ed23fe91&fccid=004041685e219574&vjs=3
Data Scientist,เบทาโกร,"หลักสี่, กรุงเทพมหานคร","Prepare report or visualization of data for excusive and project team.
Collect and organize structure and un-structure data into usable format.",Posted13 days ago,,,https://www.indeed.com/rc/clk?jk=3ed722f714850b70&fccid=8e4c9e79d871cc42&vjs=3
Data Engineer,Tisco Bank PCL,"บางรัก, กรุงเทพมหานคร","With data-related technical issues and support their data infrastructure needs.
Building data pipeline for data preparation and transformation for analytics and…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=bd3808c504e07c53&fccid=d36967836b168b3c&vjs=3
Structural Engineer,AECOM,Thailand,"Gathers and correlates basic engineering data using established and well-defined procedures.
Works on detailed or routine engineering assignments involving…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=b55e85d65ec381ea&fccid=bafa4b35e9cd20ce&vjs=3
Data Analyst / Data Scientist (Senior),Business Online PCL (BOL),กรุงเทพมหานคร,"Business Intelligence tools for data democratisation.
Research for better improvements in data analytics area.
Evaluate performance for product experimentation.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=f57bc1cf02f00775&fccid=69efe79dba13f942&vjs=3
Data scientist,บริษัท รู้ใจ จำกัด,ชลบุรี,"As a member of the data analytics team, the data scientist is responsible to develop, improve, and maintain our data-driven projects.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=0ab1043f0ac40482&fccid=9c8c04f40e5fdb63&vjs=3
Data Scientist,Accenture,กรุงเทพมหานคร,"Prepare, optimize and deploy data preparation process.
Provide data delivery pipeline based on Company’s Azure cloud environment.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=27fb0a9d4d1c8d8e&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist - Ascend Commerce,Ascend Group,กรุงเทพมหานคร,Explore and understand large enterprise data sets (‘big data’) with varying complicity to lead effective analysis delivery.,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=7ba200a61f48aced&fccid=e86c0d8bfd3a4b00&vjs=3
Electrical Associate,AECOM,กรุงเทพมหานคร,"AECOM Thailand is seeking to hire an Electrical Associate for our Thai Office.
The vacancy is for the position in the area of Electrical Engineering with a…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=1f83eecebb326a0d&fccid=bafa4b35e9cd20ce&vjs=3
AI Data Scientist,PERSOLKELLY HR Services Recruitment (Thailand)...,"สาทร, กรุงเทพมหานคร","Help to analyze the data and make statistical test, reports.
To support customers for transforming their busienss to AI modeling.",Posted30+ days ago,"50,000 - 70,000 บาทต่อเดือน","50,000 - 70,000 บาทต่อเดือน",https://www.indeed.com/rc/clk?jk=90751c65ed7bf489&fccid=8ec5dcef1e43798c&vjs=3
Data Engineer / Big Data Engineer (SQL skill is a must),Muang Thai Life Assurance,"ห้วยขวาง, กรุงเทพมหานคร","Prepare data & tools for data analyst and data scientist team.
Experience in data warehouse design.
Design optimal data models that suits with either structured…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=597349892aad6cfa&fccid=7c9a41971392de77&vjs=3
Junior Data Scientist,dFusion,กรุงเทพมหานคร,"Knowledge of R, python and other data science software are plus.
Utilize machine learning techniques on complex data, and convert the results into business…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=8fcae2979782b199&fccid=f9dd087416080f51&vjs=3
Data Scient,บริษัท วินเกม เทค คอร์ปอเรชั่น จำกัด,"บึงกุ่ม, กรุงเทพมหานคร",พัฒนาโครงการด้วยเทคโนโลยี Internet of Things เพื่อพัฒนางานเก็บและบันทึกข้อมูลต่างๆ จากพื้นที่ทำงานอย่างมีประสิทธิภาพ.,Posted30+ days ago,"25,000 - 60,000 บาทต่อเดือน","25,000 - 60,000 บาทต่อเดือน",https://www.indeed.com/rc/clk?jk=8d56c36571b8f5b5&fccid=709fa8a9034b366f&vjs=3
GroupM | Data Analytics and Reporting Development,GroupM Services,กรุงเทพมหานคร,"Become an active collaborator on the wider data technology, data scientist, analytics, biddable and strategy teams by attending team trainings and activities.",Posted3 days ago,,,https://www.indeed.com/rc/clk?jk=84b8945d753a82ba&fccid=feb484a8aef310be&vjs=3
Data Scientist,Grandline Innovation,"สาทร, กรุงเทพมหานคร","Analyze data using statistical methods.
Document structures and types of business data.
Collaborate with leaders and managers to determine and address data and…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=9d14e34d0a856e8b&fccid=f04356d3be248295&vjs=3
Machine Learning / Data Scientist Credit Scoring & Model (As...,Ascend Group,กรุงเทพมหานคร,"Familiar with data transformation process.
Can leverage data usage in order to enhance score’s predictive power.
Be able to suggest how to use developed scores.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=f824accc4a5aa13a&fccid=e86c0d8bfd3a4b00&vjs=3
Data Engineer,ไทยรัฐออนไลน์,"จตุจักร, กรุงเทพมหานคร","Collaborate with data scientists, data analyst, or stakeholders on several projects.
Knowledge of data processing supporting data transformation, data…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=4057d4bbcc562119&fccid=4d60ad771c97cf37&vjs=3
Data Scientist - CGS Business,SCG,กรุงเทพมหานคร,"Experience with data analytics platform like Data bricks , Snowflake is preferred.
Experience with business intelligence and data visualization tools like MS…",Posted29 days ago,,,https://www.indeed.com/rc/clk?jk=22fe82f38971ec91&fccid=132b3056152ea260&vjs=3
"Data Scientist, Advanced Analytics",Pandora Jewelry,"ประเวศ, กรุงเทพมหานคร","3+ years industry experience in particular within big data application scenarios,.
Partner with our stakeholders to identify valuable insights and in depth…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=69af5daf67457dbe&fccid=d52b9b25e32242d5&vjs=3
Office Administrator,Wunderman,กรุงเทพมหานคร,"Providing administrative and clerical support to Global Marketing Operations team.
Acting as a liaison with the HR teams in Bangkok and our other global offices…",Posted8 days ago,,,https://www.indeed.com/rc/clk?jk=d45b7688d2e910f4&fccid=bfef2b2da6904e2a&vjs=3
Welder Technician,Cargill,สระบุรี,The Senior Engineer Technician will provide technical support to our engineers and scientists on a variety of technical tasks.,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=52f3aedd085aedc5&fccid=d7d9a8241ba2f3ec&vjs=3
Consulting Analyst,McKinsey & Company,กรุงเทพมหานคร,"You’ll work in teams of typically 3 - 5 consultants, playing an active role in all aspects of the client engagement.
Outstanding record of academic achievement.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=a5d72ef36e7d6ade&fccid=6576e7250aa78c3c&vjs=3
Data scientist/Data PMO,KBANK,กรุงเทพมหานคร,"Data scientist - At least 3 years experience in using Data scientist.
Manage to have all necessary data available timely.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=76bc11a781e3aee0&fccid=944d84bae93a0556&vjs=3
