job_title,company,location,job_summary,post_date,more_info,salary,job_url
Junior Data Scientist,Organon Analitik,İstanbul,"Experience in extracting, cleaning and preparing data for modeling.
Intellectual curiosity and a passion for data and analytics.
Power-user of Microsoft Excel.",Posted30+ gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=0fac3cca3c83d1e7&fccid=8d2c805ffbae860a&vjs=3
Data Scientist,VeloxPartners,İstanbul,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality big data analytics solutions integrated…",Posted30+ gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=6d49aeafe92004a0&fccid=a3fa195960c170cf&vjs=3
Data Scientist,Vodafone,İstanbul,"Identifying new data sources and evaluate emerging technologies for data discovery usage.
As a data scientist, you will be responsible to provide actionable…",Posted3 gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=15ed8a25126b4193&fccid=374d720d3973ca1c&vjs=3
Senior Data Scientist,Organon Analitik,İstanbul,"Exposure to big data systems and methodologies.
Design scalable and efficient methods for big data.
Experience in extracting, cleaning and preparing data for…",Posted30+ gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=b1ad1403e5d49eba&fccid=8d2c805ffbae860a&vjs=3
Data Analytics Tribe - Data Scientist,Unilever,İstanbul,"You are a data scientist with a passion for data, data science, AI and ML, demonstrating understanding of advanced data science models and their application…",Posted30+ gün önce yayınlandı,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=371eb0933a4e50d7&fccid=37e886222e0cbb3a&vjs=3
Senior Data Scientist (Remote),Sensor Tower,Türkiye,"Substantial experience with databases, querying data, and data structure manipulation.
Present results of various data analysis.",Posted30+ gün önce yayınlandı,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=a2ee48390b3980eb&fccid=c659788ec6cc356e&vjs=3
Data Scientist,Profil International,İstanbul,"Having experience in data analysis, DWH, data goverance and business intelligence.
Reports to: Directly to Infrastructure & Security Division Head.",Posted30+ gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=efd826e9eb2607a5&fccid=27751cb85fd86323&vjs=3
Sr Data Scientist (Computer Vision) - Remote,GE Gas Power,Gebze,"Flexible working is available for data scientist position.
Interest in latest technology trends/staying up to date with technology news.
In this role, you will:",Posted9 gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=c5738e0c0eca7527&fccid=38e057261a434f79&vjs=3
"Bilgi Bilimci, Data Scientist",Country Inns & Suites by Radisson,İstanbul,"Bilgi bilimci / Data Scientist, haftada 20 saat fakat ilerde bu arta bilir.
Uzaktan calisma firsati ve esnek saatler.
Yarı zamanlı çalışma saatleri: haftada 20.",Posted13 gün önce yayınlandı,Ayda 4.000 TL - 10.000 TL,Ayda 4.000 TL - 10.000 TL,https://www.indeed.com/company/Country-Inns-&-Suites-by-radisson/jobs/Bilgi-Bilimci-3826adc55b75edf2?fccid=57bd8c2ef9e616f9&vjs=3
Data Engineer,REEF,İstanbul,"Experience building and optimizing 'big data' data pipelines, architectures and data sets.
Create data tools for analytics and data scientist team members that…",Posted1 gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=926028c232d60591&fccid=7aceedc6cd872b57&vjs=3
Data Scientist,HERA İNSAN KAYNAKLARI EĞİTİM VE DANIŞMANLIK...,Türkiye,"HERA İnsan Kaynakları; Türkiye genelinde Seçme & Yerleştirme başta olmak üzere, İnsan Kaynakları süreç ve fonksiyonlarında kurumsal müşterilerine çözüm ve…",Posted30+ gün önce yayınlandı,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=ec41d19ebfcee5a2&fccid=67cd5a9159a0eb93&vjs=3
Research Scientist/ Senior Research Scientist – Sensor Techn...,Quantag,İstanbul,"Analyze sensor data and build models.
Proficiency in signal processing, data analysis, machine learning/AI.
As a key member of the Sensor Technologies team, you…",Posted30+ gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=6bcfd47f0441015b&fccid=56f4a34da18a28fa&vjs=3
Scientists / Senior Scientist,Quantag,İstanbul,"Perform/organize product technical and safety data sheet preparations.
We are strengthening our team with Research Scientist (one Senior Scientist with PhD, one…",Posted30+ gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=cdc19a57a537a297&fccid=56f4a34da18a28fa&vjs=3
S&SE Area Field Expert,Syngenta,Türkiye,Analyze data in relation to trial targets and share results & insights locally and regionally via agreed tools or in the required templates.,Posted30+ gün önce yayınlandı,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=079d04e997055384&fccid=212d266bb52619f8&vjs=3
Data Scientist,NBS İnsan Kaynakları,İstanbul,"Identifying new data sources and evaluate emerging technologies for data discovery usage.
Partaking in a community of Vodafone data scientists working in…",Posted30+ gün önce yayınlandı,,,https://www.indeed.com/rc/clk?jk=64458394fec1cb1f&fccid=2d218087b2be5480&vjs=3
Data Analysis / Data Engineering / Data Science (m/f/d),Qimia,İstanbul,"Attractive and individual training opportunities for our employees in the areas of data science, data engineering software development and project management.",Posted30+ gün önce,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=a783ec0c3c3e7d5f&fccid=01b00201aceb49c4&vjs=3
Data Scientist Team Lead,Borda Technology,İstanbul,"Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.",Posted23 gün önce,,,https://www.indeed.com/rc/clk?jk=db963442760deeed&fccid=a847f56f70055f8a&vjs=3
Customer Success Account Manager,Microsoft,İstanbul,"As our Customer Success Account Manager (CSAM), you are the primary customer facing role responsible for customer success through delivery management of cross…",Posted3 gün önce,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=93904ce542bb2cfd&fccid=734cb5a01ee60f80&vjs=3
"Growth, Data Scientist Referral Week",Trendyol,Maslak,"Extensive background in data mining and statistical analysis expressing data driven thinking skill.
Develop custom data models and algorithms to apply to data…",Posted18 gün önce,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=a3b5f7791e230cbb&fccid=46c2846b6a43fc28&vjs=3
Pharmaceutical Scientist,Ashland,İstanbul,"Demonstrated ability to write scientific reports, analyze and process data, make conclusions.
Prepare technical reports and other communications with…",Posted30+ gün önce,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=bbe20e82f162a450&fccid=7ef400c2ff148650&vjs=3
Services Data Scientist,Trendyol,Maslak,"Develop custom data models and algorithms to apply to data sets.
Extensive background in data mining, statistical analysis and predictive modelling skills.",Posted2 gün önce,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=ffb93ace4d0c5163&fccid=46c2846b6a43fc28&vjs=3
Senior Data Scientist,Gram Games,İstanbul,"…..5+ years of experience in data analytics, especially in big data environments.
Has at least 3+ years experience with transforming large amounts of raw data…",Posted30+ gün önce,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=da84bf9522180a3e&fccid=ba0ea8fdb08a0614&vjs=3
Controller/-in / Data-Scientist 80%-100%,professional.ch,Sorgun,"Controller/-in / Data-Scientist 80 - 100%.
Das Hochbauamt des Kantons Zürich entwickelt, steuert und realisiert rund 600 Bauprojekte mit einer jährlichen…",Posted19 gün önce,,,https://www.indeed.com/rc/clk?jk=b8e5eff62d5bd960&fccid=742652cd1e616179&vjs=3
Medical Advisor,Johnson & Johnson,İstanbul,"They take an active role in dissemination of up-to-date scientific data on disease and products.
Medical Advisor (MA) is a field-based physician and scientist…",Posted30+ gün önce,,,https://www.indeed.com/rc/clk?jk=19d1ff95e664326d&fccid=0bed8e17bc113980&vjs=3
Technical Business Analyst (Fluent English) (Hybrid),KOBIL GmbH,İstanbul,"Experience in an analytics or data scientist role.
Ability to synthesize data into useful formats and bring actionable insights through effective communication.",Posted26 gün önce,,,https://www.indeed.com/rc/clk?jk=56e69412e0d8ede0&fccid=b33199a1de716b8c&vjs=3
Digital Product Lead - Predictive Care,Vodafone,İstanbul,"Good at data analysing and data driven decision making ability.
Develop customer insights by implementing and using a full range of data sources such as…",Posted18 gün önce,,,https://www.indeed.com/rc/clk?jk=ec27456a2dbe4b5d&fccid=374d720d3973ca1c&vjs=3
Digital Supply Chain – Digital Factory Lead - TUII,Unilever,İstanbul,You will transform the factories starting from data collection to Azure UDL data ingestion then build Advance analytics and AI solutions based on the real time…,Posted11 gün önce,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=77900c83d752be0d&fccid=37e886222e0cbb3a&vjs=3
Validation Expert,Novartis,İzmit,"Validation Expert Executing and managing process, primary packaging, and cleaning validation activities and change management activities to meet cGMP…",Posted30+ gün önce,Tam zamanlı,,https://www.indeed.com/rc/clk?jk=3bdd181f5a87f7bb&fccid=c35194d01a9e2595&vjs=3
