job_title,company,location,job_summary,post_date,more_info,salary,job_url
INTERN DATA ENGINEER,Svitla Systems,Дистанційно,"Svitla Systems Inc. is looking for an Intern Data Engineer for a full-time position (40 hours per week) in Ukraine.
Basic understanding of how BI works.",PostedСьогодні,Стажування,,https://www.indeed.com/rc/clk?jk=92aed517acdd6ac2&fccid=2f27a82023b4a64f&vjs=3
Data Scientist,MagneticOne,Дистанційно,"Володіння Google Docs на технічному рівні (в тому числі, Google Spreadsheets – знання формул Excel).
Знання та досвід роботи з базовими інструментами веб…",Posted30+ днів тому,,,https://www.indeed.com/rc/clk?jk=ade5538465d8521f&fccid=b5181a2869e3687b&vjs=3
Data Scientist,Computools,Київ,"Able to understand various data structures and common methods in data transformation.
Continuously developing knowledge base within the data scientist team,…",Posted30+ днів тому,Повна зайнятість,,https://www.indeed.com/rc/clk?jk=71183cbe0e9b4948&fccid=c887689baf926b61&vjs=3
Senior Data Scientist,Visa,Київ,"Providing subject matter expertise and quality assurance of complex data driven analytic projects.
Conducting transaction data analysis with Hadoop/Cloud and…",Posted25 днів тому,Повна зайнятість,,https://www.indeed.com/rc/clk?jk=e9c23236bf91adbc&fccid=a3f737e511d9fc8c&vjs=3
Data Scientist,Seven-Pro,Харків,"Researching and designing innovative ways to harness linguistics structures for NLP algorithms;
Implementing novel solutions based on state-of-the-art Deep…",Posted30+ днів тому,Повна зайнятість,,https://www.indeed.com/rc/clk?jk=8b771b3b6395264e&fccid=650cbb491731089d&vjs=3
"Machine learning, data scientist",WeFuture,Київ,"Understanding of data structures, data modeling and software architecture.
Working with large, complex data sets (collect, store, manage data).",Posted30+ днів тому,,,https://www.indeed.com/rc/clk?jk=c93a611259f2ef2f&fccid=599b9b1548baf4a6&vjs=3
Middle Data Scientist,Sombra,Львів+2 розташування,"Strong quantitative, research, and data analytic skills Strong interpersonal and communication abilities Ability to understand and apply statistical techniques,…",Posted11 днів тому,,,https://www.indeed.com/rc/clk?jk=e790d25226752d9b&fccid=dc6c6a0ba74dc553&vjs=3
Data Scientist,CNA International Ukraine,Дистанційно,"Experience with cloud data environments and big data ETL procedures, cloud architecture (AWS/GCP/Azure).
Work hands-on with the data using SQL, PySpark, and…",Posted3 дні тому,Повна зайнятість,,https://www.indeed.com/rc/clk?jk=31a8272051519d30&fccid=b9dbb92d7ec83f12&vjs=3
Senior Data Scientist IRC163032,GlobalLogic,Київ,"Tracking personal sleep data during the night.
Manage data, code, and documentation related to the development stage.
Skills: Matlab, Python, R, SQL.",Posted2 дні тому,,,https://www.indeed.com/rc/clk?jk=c9f0e2852ec26875&fccid=2fc4897d673d53b9&vjs=3
Data Scientist,MixDigital by Admixer,Київ,"Одна з найбільших українських агенцій, яка спеціалізується на Media та Performance рекламних кампаніях у digital.",Posted30+ днів тому,,,https://www.indeed.com/rc/clk?jk=423962a87535dce4&fccid=e17b52d8f23b3b8e&vjs=3
Data Scientist (NLP Team),Simporter,Київ,"Exploration and preprocessing of data gathered from different sources.
We analyze social media, search, reviews, and sales data to recommend new product…",Posted30+ днів тому,,,https://www.indeed.com/rc/clk?jk=5e68267875c51b10&fccid=9136a9a721f4a5ac&vjs=3
Data Scientist,HotelFriend AG,Київ,"— mindestens 2 Jahre relevante Berufserfahrung im Bereich Data Engineering oder Data Science;
— mindestens 2 Jahre Umgang mit den Big Data Technologien wie…",Posted30+ днів тому,,,https://www.indeed.com/rc/clk?jk=6d6f86f8a3a4e68b&fccid=149a1897991c3a5d&vjs=3
Data Scientist IRC157504,GlobalLogic,Украина,"As a Software Engineer in the WiFi Mesh team, you will be responsible for characterizing various constraints that could impact the quality of the WiFi network,…",Posted30+ днів тому,,,https://www.indeed.com/rc/clk?jk=85f8a31d041c2663&fccid=2fc4897d673d53b9&vjs=3
Machine Learning / Data Scientist engineer,Business Automatics,Харків,"Good knowledge algorithms, data structures and math;
Experience with Python from 1 year;
Good knowledge and experience with Keras / TensorFlow ML frameworks;",Posted30+ днів тому,,,https://www.indeed.com/rc/clk?jk=d97e178801c3320b&fccid=d3561fd51ee4c6fe&vjs=3
Senior Data Scientist,BlackSwan Technologies.,Украина,"Knowledge of classical data structures and algorithms.
We will give you the opportunity to work on the full data science pipeline, bringing solutions from basic…",Posted30+ днів тому,,,https://www.indeed.com/rc/clk?jk=1cac6e628937564b&fccid=d8a1a1b7fa3985f6&vjs=3
Senior Data Scientist,PROBEGIN,Львів,"The Data Scientist will work closely with clients, data stewards, project managers, and other IT teams to turn data into critical information and knowledge that…",PostedРозміщено більш ніж 30 днів тому,,,https://www.indeed.com/rc/clk?jk=99a1cc1ea984ec0c&fccid=e22dacbff205f7cd&vjs=3
Senior Data Scientist,Seven-Pro,Харків,"The project will involve creating forms that take user data, combine said data with data from a NoSQL database, and provide reports for the users.",PostedРозміщено більш ніж 30 днів тому,Повна зайнятість,,https://www.indeed.com/rc/clk?jk=038df68f39756a3a&fccid=650cbb491731089d&vjs=3
Data Scientist,Capital Recruiters,Дистанційно,"—Experіence іn data vіsualіzatіon and BI tools;
—Great at tellіng a story through factual data;
—5+ years of relevant experіence wіth data modellіng, applyіng…",PostedРозміщено більш ніж 30 днів тому,,,https://www.indeed.com/rc/clk?jk=3046f16366dce655&fccid=668410c7ca4e60b9&vjs=3
