companyName,company_starRating,company_offeredRole,company_roleLocation,listing_jobDesc,requested_url
Shopee,3.8,Software Engineer Intern,Singapore,"
Gain first-hand experience working on Shopee’s leading platform to enhance the user experience 
Have the opportunity to work alongside top engineers to gain invaluable insights on how to build a scalable and high performance software platform 
A highly rewarding role as your contributions will directly impact the lives of millions of people in the region 
Gain insights into the Southeast Asian market and the internet industry 
Enhance coding skills and get exposed to new tools and programming languages 
Hands-on experience to apply computer science studies in a professional environment 
Improve presentation and communication (both oral and written) skills 
Interns with outstanding performance will be invited for a full-time position at Shopee 
Internship Openings: 
Backend 
Web Frontend 
Frontend (Mobile App) 
Mobile Apps (iOS) 
Mobile Apps (Android) 
Cloud Product Development 
TechOps 
Students who are currently pursuing a Bachelor’s degree in Computer Science or a related technical field 
Students in their second, third or final year of studies 
Please state your availability clearly in the comments section (Start date, End date, part-time min 3 days/week, or full-time) 
Please also state the openings (Backend, Web Frontend etc) that you would like to be considered for in the comments section 
Able to commit for at least 12 weeks (can start all year round) 
Please note that a copy of the most recent transcript must be submitted as part of the application",https://www.glassdoor.com/partner/jobListing.htm?pos=103&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&cs=1_5080b6ce&cb=1658514934728&jobListingId=1007550884344&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-b153d09fede07c06-
Adstify Search Pte Ltd,NA,Software Engineer,Singapore,"Develop and deploy software systems that iteratively deliver business value across both back-end and front-end Derive and implement non-functional requirements based on interactions with the product and business elements Establish best practices for developing processes, technologies, coding practices and architectures Maintain a DevOps culture and an Agile product development mindset in the technical team Write and maintain unit tests to ensure robustness of the product Debug and fix code based on customer incident reports and on errors found through internal testing Assist in maintaining software infrastructure and ensure optimal availability of products / services Assist in maintaining and upgrading the software architecture as new services are added to ensure ease of long-term development 2-6 years of experience in frontend and backend programming development Experienced in using an Agile methodology / operating with a DevOps culture Strong analytical mindset, attention to details, and critical thinking; entrepreneurial and solution-oriented Strong team player with good communication and leadership skills Experience in software architecture design and software infrastructure is a plus Experience with high scalability SaaS systems built with microservices is a plus Monday to Friday",https://www.glassdoor.com/partner/jobListing.htm?pos=104&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c9ad8cef&cb=1658514934728&jobListingId=1007981908793&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-5b470ba1d621e2bb-
Titansoft Pte Ltd,4.2,Software Developer,Singapore,"Apply your expertise on our web applications using C#, ASP.NET and SQL Integrate awesome web applications with database or API-driven back-ends Design incredible templates for users' ease of use Enjoy solving problems with your team before they even turn into one Challenge ideas and spawn something revolutionary Work in a dynamic, collaborative and non-hierarchical team to break new grounds 0 - 2 years of technical expertise in the software industry (fresh graduates definitely welcome! Knowledge and experience on industry best practices, such as Test-Driven Development and Clean Code Passionate about life and how to make it better through technology Continuously seek improvements in our products, processes and people Constantly honing programming techniques and developing new skills 18 days of rest and relaxation for each year (P.S. It gets even better over the years!) Competitive salaries and bonuses bench-marked against big players in the industry (Yeap, those companies!) Flexible working hours (Sleep in a little longer after fixing that pesky bug from last night) Comprehensive insurance coverage Very well-stocked pantry (We've never heard of the term 'Hunger Games', nope) Communities of Practice and Workshops catered for your growth and learning Substantial subsidies and programs to keep that creative flow while having fun (Health promotion program, annual overseas company outing, an annual dinner that nobody will ever forget, etc.) Hardcore work and hardcore fun! Cell phone reimbursement Flexible schedule Health insurance Parental leave Professional development Work from home Flexible hours Monday to Friday 13th month salary Performance bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=126&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_95689768&cb=1658514934733&jobListingId=1007839709621&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-cc714a31954238ee-
"JPMorgan Chase Bank, N.A.",3.7,Software Engineer- Analyst,Singapore,"Bachelor's degree in Engineering, Computer Science or related disciplines. Minimum 1 year of software engineering experience, preferably within the Financial Services sector Enthusiastic, self-motivated, strong interest in learning, resilient Strong analytical and problem solving skills, bring innovative and new ideas to the table Comfortable multi-tasking with minimal supervision
 Ability to work in large, collaborative teams across geographical boundaries to achieve organizational goals Eagerness to take accountability/ownership of work, have real business impact, collaborate with a global community of developers sharing the technology and code base. Proficiency in one or more modern programming languages and willingness to pick up skill on new and legacy technology Understanding of Foreign exchange & Fixed Income products will be considered favorably",https://www.glassdoor.com/partner/jobListing.htm?pos=101&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&cs=1_79096962&cb=1658514934728&jobListingId=1008013614982&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-45f7cd136102f7cc-
Cynopsis Solutions Pte Ltd,NA,Software Engineer,Singapore,"To design, develop, test and deploy a suite of dynamic cloud-based RegTech solutions. Responsible for team project implementation and delivery using Agile methodology with exposure to full cycle scrum product development. Responsible for team provisioning of BAU maintenance, optimisation and enhancements based on product development needs and any client feedback. Possess hands-on programming, and solution architecture design skills with demonstrated willingness and capability to on-board new technologies quickly. Believe in good programming habits. Work with the team in writing elegant code, perform code review, and suggest changes to tools, policies and processes. Work closely with QAs to ensure quality delivery that meets key metrics. Work closely with DevOps to build frameworks and tools pipeline, define standards (e.g. REST API), improve overall efficiency of the development (e.g. CI/CD toolchain), hygiene of the code repository (e.g. GitHub), and manage the change & release process of deployments, upgrades and migrations. Preferably 2 to 3 years of professional software development experience with several full AGILE implementations. Less experienced and/or fresh graduates with a flair and passion in backend software engineering will be considered for the junior role. Good knowledge of software engineering and best practices including coding standards, code reviews, source control management, build processes, testing, and operations for scalable, multi-tenancy and high-volume solutions. High proficiency with using Java, Python, Django, Node.js, and comfortable with bash scripts on Linux-based systems, and using AWS (EC2, CloudFormation, CloudWatch, RDS, ECS etc.) is necessary. Extensive experience with Docker, container management, SQL databases and REST API service integration. Good understanding of OWASP security practices is a plus. An ability to perform in a fast-paced, multi-time zone environment. Additional leave Dental insurance Health insurance Professional development Promotion to permanent employee Monday to Friday Performance bonus",https://www.glassdoor.com/partner/jobListing.htm?pos=109&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3229104d&cb=1658514934730&jobListingId=1008007451330&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-e456afb4f3f5ec02-
Pixium Digital Pte Ltd,5.0,Software Engineer,Singapore,"Build simple solutions that are efficient for the end user Be a valuable player in a team of IT professionals. We are looking for individuals who understand the importance of listening first before speaking (If you ever wondered why we have two ears and only one mouth, this is your clue) Own the client’s vision. Victory is only achieved if the solution fits the needs of the client and the end users are happy using it. Strive to meet project deadlines while reacting to last minute changes. Abide by our software development guidelines. Ideally you should already be practising them. We’ll be asking you about them in the job interview. Be motivated! if you need us to motivate you, please do not apply for this job as you won’t fit into our culture Be a problem solver, own the solution and be able to debate it with the team Have a degree in computer science, computer engineering, or related field. You should minimally possess a sound comprehension of basic algorithmics Understand what a web application is and how it works: responsiveness should translate to CSS in your mind. Understand relational databases and the beauty of joints. have developed mobile applications or might even have refactored one using Flutter have a flair for UX/UI considerations have experience with testing can survive scripting with a terminal connected via ssh to a unix-flavoured server have an opinion on OOP vs. Functional Programming Adept at using Javascript, Php, HTML/CSS and at least one CMS or framework (Wordpress, Symphony, Yii2, React, Vue.js) Demonstrate some level of python or bash scripting skills Have experience with AWS Cloud deployment and tools Be part of a Great Team Many opportunities to learn and improve oneself Workplace Flexibility Performance Bonus 20 Days Annual Leave Negotiable salary based on experience Monday to Friday Performance bonus Bachelor's or equivalent (Required) Software engineering: 2 years (Preferred)",https://www.glassdoor.com/partner/jobListing.htm?pos=102&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3a2bcfe6&cb=1658514934728&jobListingId=1008015784674&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-7ece3cd8f23c46bc-
D4L data4life gGmbH,3.9,Software Engineer (Front end) (f/m/d) - Singapore,Singapore,"Develop and improve our web applications and contribute to existing open source software Work on applications, which support researchers in improving the treatment of patients Get in touch with the latest technologies/concepts like Kubernetes and GraphQL Help to shape the product by bringing in new ideas for features and usage of technologies Excellent programming skills in JavaScript/TypeScript You are a team player who loves to share knowledge and ideas with your colleagues Experience in React or a similar UI framework Previous experience in contributing to open source software projects would also be a plus At least 2 years of relevant experience, however fresh Computer Science graduates will also be considered Strong analytical skills Fluency in English Currently based in Singapore Actively contribute to developing digital health solutions with a direct impact on the health and quality of life of others Nonprofit work with a purpose: With us, you will find a fulfilling and meaningful task in a nonprofit environment that will advance our society A diverse team of professionals from over 30 countries working together from 3 locations (Potsdam, Berlin and Singapore) Subsidized gym membership to encourage a healthy lifestyle A generous education budget of up to S$3000 and 2 education days per year (pro rata depending on your working hours) for courses, books, conferences, and your professional development Real Work-Life-Balance with flexible working hours and various remote work models (100% remote, hybrid, 100% office) Subsidized home broadband to support home and remote work locations Support for your mental health: Weekly digital meditation sessions, one-on-one psychological sessions or peer group sessions with Likeminded A first-class corporate health insurance that includes dental and maternity coverage Subsidized annual check-up, to encourage regular health screening Regular knowledge transfer through “all hands”, “town halls” and “Knowledge4Life” events Several employee driven initiatives, every new colleague is welcome to participate in (for example the “Climate initiative” or “Diversity, Equality & Inclusion”) An extensive and detailed on-boarding program to make your start at Data4Life as efficient and smooth as possible We especially welcome applicants from the LGBTQI+ community, people with a migration background, people of color, and individuals with disabilities or chronic illnesses to the team. If you need support or special assistance during the application or interview process due to a disability, please feel free to let us know and we are happy to accommodate you as much as possible.",https://www.glassdoor.com/partner/jobListing.htm?pos=129&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_f8a96180&cb=1658514934733&jobListingId=1008001467246&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-bc82f63fa1179134-
Prudential,3.8,Software Engineer,Singapore,"Analyse business needs in order to design, develop and deliver applications to meet business objectives Provide application maintenance and support in accordance to Service Level Agreement Deliver applications in accordance to relevant IT policies and procedures Provide and share technical knowledge to other team members Independent and works well across different functions Excellent problem analysis skill. Innovative and creative in developing solutions Strong sense of drive and commitment to deliver on responsibilities Strong verbal and written communication skills Works well in a dynamic environment Ability and willingness to be hands-on Experience in 1 or more of the following technology 4-8 years in designing and developing and support applications. Experience in Agile software development Bachelor in Computer Science, Computer Engineering or equivalent Fluent written and spoken English",https://www.glassdoor.com/partner/jobListing.htm?pos=119&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&cs=1_7bed002a&cb=1658514934732&jobListingId=1007966172286&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-4eb7b79c55bc58b4-
Shopee,3.8,Frontend Software Engineer - Data Engineering,Singapore,"
Design, architect and implement a big data computing platform for efficient data exploration and processing, etc. Focus on the user experience and continuously improve the ease of use of the product. 
Build visualised data products that will help our business team, senior executives, sellers gain deep insight into their business and make decisions, explore the beauty of data visualisation. 
Participate in designing and implementing data tracking system, building tracking libraries for Shopee products including PC web and mobile web 
Minimum B.S. degree in Computer Science or a related technical field 
2~10+ years of working experience in frontend development 
Strong knowledge in JavaScript and CSS fundamentals 
Good sense in user experience 
Well versed in various browser technologies 
Hands-on experience in at least one frontend framework, understanding how it works 
Love technologies and embrace changes 
Enjoy teamwork 
Experience in data visualisation preferred 
Experience in event tracking and web analytics preferred",https://www.glassdoor.com/partner/jobListing.htm?pos=105&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&cs=1_51cff677&cb=1658514934729&jobListingId=1008019115140&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-d9f13e89d4649e9c-
A2000 Solutions Pte Ltd,3.5,Software Engineer,Singapore,"Design, develop and deploy business software applications (ASP.NET/C#) Systems analysis and integration of multi-solutions with our ERP suite Developing systems; complying with specifications and quality Develop, optimize and enhance in-house ERP system Degree in Computer-related field and/or 4 years equivalent work experience Experience in software application design and development Good knowledge in ERP/Business applications will be advantageous Good knowledge in architecture and system designs Good object-oriented system design skills; knowledge in UML tool Good presentation/communication skills in English Strong customer service orientation with attention to details",https://www.glassdoor.com/partner/jobListing.htm?pos=106&ao=1136043&s=58&guid=0000018227318a47878a70b28c4c539a&src=GD_JOB_AD&t=SR&vt=w&cs=1_ba51f99c&cb=1658514934729&jobListingId=1008022765447&jrtk=3-0-1g8jj32kkkf2c801-1g8jj32l3jii2800-38c85627d51fd8ec-
