job_title,company,location,job_summary,post_date,more_info,salary,job_url
Clinical Scientist,IQVIA,Desde casa,"Perform literature searches and summarize data/information including:
Medical/clinical knowledge to independently review adverse event data.",Postedhace 1 día,Tiempo completo,,https://www.indeed.com/rc/clk?jk=fd3219be3523ca60&fccid=6b7a1dfe07e7f037&vjs=3
Fellow - Consultant,McKinsey & Company,"Buenos Aires, Buenos Aires","You’ll work in teams of typically 3 – 5 consultants, playing an active role in all aspects of client engagement.",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=f3a23ba3ad74bf5c&fccid=6576e7250aa78c3c&vjs=3
Data Engineer/Scientist JR.,OZ DIGITAL CONSULTING WIZARDS,"Rosario, Santa Fe","Logical diagram, algorithms and data structure knowledge.
Design and development of programs.
Interpretation of requirements of software.",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=ddf09375c5aebae9&fccid=e1c3a0e123211052&vjs=3
P&A - Data Scientist - Specialist,Accenture,"Buenos Aires, Buenos Aires","Perform data processing, data analysis, visualization, and reporting.
Data fluent, well versed in data modeling, data wrangling, feature engineering, etc.",Postedhace 2 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=5276081a870d3768&fccid=a4e4e2eaf26690c9&vjs=3
User Experience Researcher,Wonolo,Desde casa,"Design and execute research using the right methodologies for the right questions in a highly collaborative environment, working with business stakeholders,…",Postedhace 8 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=2925d374cbfe20b0&fccid=ebac2914999a8580&vjs=3
Data Scientist - Argentina,Equifax,"Buenos Aires, Buenos Aires","Excellent problem solving skills which may include data delivery, design of data structures, data cleaning, data mining, data clustering, modeling, and pattern…",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=e23b6e1727b3c434&fccid=34c446722f3cf576&vjs=3
Data Analyst / Data Scientist,CIDER S.A.,"Paternal, Buenos Aires+1 ubicación",Nos encontramos en búsqueda de Data Analyst - Data Scientist para importante empresa multinacional de telecomunicaciones.,Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=32c9014fc0dce902&fccid=ca1184545e19f24b&vjs=3
Data Scientist,Directa24,"Capital Federal, Buenos Aires","Mine data and extract information in Directa´s data environment.
3+ years of hands-on data science in applied machine learning and statistics.",Postedhace 29 días,,,https://www.indeed.com/rc/clk?jk=612a863113df9da2&fccid=dd616958bd9ddc12&vjs=3
Data Annotation Analyst,"JPMorgan Chase Bank, N.A.","Buenos Aires, Buenos Aires","Experience with data annotation, labeling, entity disambiguation and data enrichment.
Work on data labeling tool(s) and annotate data for machine learning…",Postedhace 12 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=bfa0580e054e8813&fccid=aaf3b433897ea465&vjs=3
Data Scientist - Marketing,Amex,"Capital Federal, Buenos Aires","Develop new dashboards, perform testing, data validation, create required documentation.
This position will be part of American Express Consumer Strategic…",Postedhace 30+ días,,,https://www.indeed.com/rc/clk?jk=edb5a9927a3ff048&fccid=f057e04c37cca134&vjs=3
Senior Data Scientist,Cognite AS,"Buenos Aires, Buenos Aires","Proficient with Python and its data ecosystem (pandas, numpy), ML libraries (scikit-learn, keras, etc) Experience in data visualization using PowerBI, Grafana,…",Postedhace 30+ días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=00930049d183c26e&fccid=1879b2974e0c1e47&vjs=3
