job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data scientist,Findex,Remote in Australia,"Understanding of data structures, data modelling and software architecture.
Identify data patterns, trends and develop predictive models and machine-learning…",PostedPosted 1 day ago,,,https://www.indeed.com/rc/clk?jk=357d5cf187b4c52c&fccid=1a5433453513d063&vjs=3
Data Scientist,Bupa,Remote in Victoria,"1 – 5+ years of business experience in customer analytics / data science / data engineering or similar field.
Qualified in a quantitative discipline (Statistics…",PostedPosted 11 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=67d0f32f9d94c599&fccid=18a7374fde10337f&vjs=3
Data Scientist,Discovery Parks,Australia,"Use software such as SQL, R, Python etc. to access, transform, integrate, and analyse data from various data sources.
This role will require you to;",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=b07491df11f41306&fccid=fdc9e9ea3a655afd&vjs=3
Data Scientist (Optimization Focused),Catch,Melbourne VIC,"Selecting appropriate data sets and designing, and developing data pipelines.
Working closely with the business to understand which business problems can be…",PostedPosted 2 days ago,Full-time,,https://www.indeed.com/company/CATCH/jobs/Data-Scientist-a05787d78f1f48ab?fccid=a4c43225eaeadd94&vjs=3
Data Scientist,"Systems Planning and Analysis, Inc.",Canberra ACT,"Bachelor’s degree in data science, data analytics, software engineering, or related STEM field.
Experience conducting data analysis and assessments and…",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=b7660ab8bb85c0d1&fccid=ccfce62820936877&vjs=3
Data Scientist,Department of Transport,Melbourne City Centre VIC+1 location,You will be working with large data and complex data products to deliver data science techniques that inform key business priorities.,PostedPosted 15 days ago,"$90,067 - $102,192 a year","$90,067 - $102,192 a year",https://www.indeed.com/rc/clk?jk=d15d8a5934bcb962&fccid=2bda3e53a1cd95a8&vjs=3
Data Scientist,Harding & Drougas,Australia,This role will report to a global head and as part of the team be working towards the creation of programmes to enable my client to be able to leverage the…,PostedPosted 18 days ago,"$1,000 a day","$1,000 a day",https://www.indeed.com/rc/clk?jk=e28fc2a5a7a4af8f&fccid=ee7ad41d24386e9a&vjs=3
Data Scientist,Nissan,Paddington NSW,"Proven experience in data wrangling, data cleansing, data mining.
Present information using data visualization techniques.",PostedPosted 11 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=dec6d4804098a2a8&fccid=154ba50a8fca4d5c&vjs=3
Data Scientist,Novecom,Newcastle NSW,"Utilising various analytic and statistical methodologies to evaluate and interpret data.
Qualifications and experience in data science, applied mathematics,…",PostedPosted 8 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=60f0bae6b6e15aab&fccid=65579de3575fffa6&vjs=3
Data Scientist,Australian Prudential Regulation Authority (APRA),Sydney NSW,"Enhancing APRA’s data science capabilities and facilitating exploration of data and business problems.
Knowledge of Sql and sourcing structured data.",PostedPosted 3 days ago,,,https://www.indeed.com/rc/clk?jk=ff22c21e24084c6c&fccid=32a55ee048aca817&vjs=3
Analyst/Senior Analyst - Climate Data Scientist,Deloitte,Sydney NSW 2000,"This role will require you to be the custodian of the data driving the Decarbonisation Solutions, operate in a client facing role and manage the data team.",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=4cb8a908ce38da8a&fccid=9e215d88a6b33622&vjs=3
Data Scientist (x2),PLAYGROUND XYZ,Remote in Sydney NSW,"Analyzing eye tracking data to curate training sets.
You have 5+ years experience in a data science development role.",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=3ddb9d47ae4b0a97&fccid=ea5ea341f70a18f3&vjs=3
Data Scientist,Deloitte,Melbourne VIC 3000,"Data Engineering and Analysis activities involving data structure/database design, data wrangling, cleaning, and data pipeline development, ELT including…",PostedPosted 18 days ago,,,https://www.indeed.com/rc/clk?jk=61f089c40bd01faa&fccid=9e215d88a6b33622&vjs=3
Data Scientist - Life and Investments,Zurich Gruppe Deutschland,North Sydney NSW,You will take ownership and be able to drive solutions with stakeholders to ensure each data product delivers intended business value and be expected to look…,PostedPosted 4 days ago,,,https://www.indeed.com/rc/clk?jk=346d6d8faa0a27fa&fccid=40f6e1ba1aac8472&vjs=3
Data Scientist,Rio Tinto,Brisbane QLD,"Help shape the Exploration data science team, while inspiring and supporting a growing community of citizen data scientists across Rio Tinto Exploration.",PostedPosted 23 days ago,,,https://www.indeed.com/rc/clk?jk=304848bbea82edc8&fccid=b1e4a7661b111d01&vjs=3
"Marketing Data Scientist, gTech",Google,Sydney NSW,"Engage various stakeholders, assess data readiness.
5 years of relevant work experience in data science and marketing analytics, statistical modeling, machine…",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=c2d292ffaae6f514&fccid=a5b4499d9e91a5c6&vjs=3
Data Scientist - Natural Language Processing Developer,University of Melbourne,Parkville VIC,"MCDS facilitates cross-disciplinary and interdisciplinary research, research training and education in data science.",PostedPosted 9 days ago,"$70,461 - $77,171 a year","$70,461 - $77,171 a year",https://www.indeed.com/rc/clk?jk=8bb3bf480bad511c&fccid=4cddfb241cb472e6&vjs=3
