job_title,company,location,job_summary,post_date,more_info,salary,job_url
(Junior) Data Scientist,Red Bull,"Elsbethen, S","Experience with data base languages (e.g., SQL).
In a team of data scientists, you will define the success of a state-of-the-art analytics product collaborating…",Postedvor 30+ Tagen,,,https://www.indeed.com/rc/clk?jk=3fcca7d0f0723eed&fccid=8ea54e852901f8b5&vjs=3
Data Scientist (m/f/d) - Healthcare (BK320133),Siemens,"Wien, W","Work with data engineers and development teams to deploy models.
Strong data analysis experience, ideally in a healthcare context.",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=8733b6c0544e80d9&fccid=ea6bb53f0b18b8f2&vjs=3
Data Scientist (f/m/d),MeisterLabs,"Homeoffice in Wien, W","Your projects will range from developing a reliable system for customer health scores, to user segmentation and data anomaly detection.",Postedvor 25 Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=c4ec8e470ecc29f8&fccid=47345e94f1c31faf&vjs=3
Senior Data Scientist,Red Bull,"Elsbethen, S","Advanced experience with data base languages (e.g., SQL).
Experience in handling big data projects (e.g., Google Cloud Platform).",Postedvor 30+ Tagen,,,https://www.indeed.com/rc/clk?jk=ee3c25d402fb475b&fccid=8ea54e852901f8b5&vjs=3
Data Scientist (f/m/d),Boehringer Ingelheim,"Wien, W","Close collaboration with data scientists and statisticians across the organization.
In your new role you are responsible for statistical questions in the area…",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=a013c99f987b8cb2&fccid=6902b1131240791f&vjs=3
Data Scientist,Red Bull,"Elsbethen, S","Foster conscientious handling of data and an excellent ability to absorb new skills and techniques quickly.
Supporting data science projects at Red Bull, you'll…",Postedvor 30+ Tagen,,,https://www.indeed.com/rc/clk?jk=8a54762ed1e8260f&fccid=8ea54e852901f8b5&vjs=3
Data Scientist (m/f/d),Machine Learning Reply,"Wien, W",We offer tailor-made end-to-end solutions in the Data Science area that cover the entire project life cycle - from initial strategy consulting to data…,Postedvor 3 Tagen,,,https://www.indeed.com/rc/clk?jk=7cdbdcd6f87dccc9&fccid=963f2edbf71c4b4d&vjs=3
Junior Scientist Sensor Data Analytics,Materials Center Leoben Forschung GmbH,"Leoben, ST","Extend automated data collection, cleaning.
Experience with sensor data processing and/or.
Production sector developing high-performance materials,.",Postedvor 30+ Tagen,,,https://www.indeed.com/rc/clk?jk=924c97c8222bc416&fccid=2850015a2206eca8&vjs=3
Senior Data Scientist,Monkee GmbH,"Homeoffice in Rum, T",Develop and improve the core data engine of the company that focuses on matching customers with retail partners to optimize their household expenses.,Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=8bd6f6377fd80d86&fccid=097a78a1b1bcd635&vjs=3
Bioinformatician/ Data Scientist,Solgate GmbH,"Klosterneuburg, NÖ","Maximize target discovery efforts to incorporate additional data types and novel analysis methods.
Organize, summarize and deliver data, in written and oral…",Postedvor 25 Tagen,,,https://www.indeed.com/rc/clk?jk=31e0c98fd5bee0c1&fccid=2d9d1916744ff99d&vjs=3
Senior Data Scientist (m/f/d) - Digital Services,Siemens,"Wien, W","Clean and analyze data from a wide range of sources.
3+ years of hands-on experience in the application of machine learning using ‘real world’ data.",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=54cfa418822446bb&fccid=ea6bb53f0b18b8f2&vjs=3
Data Scientist ( Senior ),paiqo GmbH,"Homeoffice in Wien, W","Ability to handle the full data science lifecycle from conception to deployment.
Analyzing and understanding the provided data and connecting it to the business…",Postedvor 30+ Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=fc3e080d06b81d2c&fccid=efc61a08e7feb6db&vjs=3
Software Developer (Python) / Data Scientist / Data Analyst,Pregenerate GmbH,"Homeoffice in Wien, W","Building tools to automate data collection.
Correlating similar data to find actionable results.
Their duties include sifting through data points to create…",EmployerVor 19 Tagen aktiv,Vollzeit,,https://www.indeed.com/company/Pregenerate-GmbH/jobs/Software-Developer-db107bc2be8050ea?fccid=04cb819e891513d9&vjs=3
Medical Affairs Scientist (m/f/d) - Rare Disease,Pfizer,"Wien, W","Local data projects in collaboration with MAS RWE & Data Specialist.
The Medical Affairs Scientist (MAS) is the medical scientific companies’ Point of Contact…",Postedvor 11 Tagen,Vollzeit +1,,https://www.indeed.com/rc/clk?jk=5d5ba2dd2c774984&fccid=7ff126af0cd3d93b&vjs=3
ACADEMY SCIENTIST (F*M),Österreichische Akademie der Wissenschaften,"Wien, W","Development of data acquisition and power supply solutions for detector systems and test setups.
University institution for science and research, performs a…",Postedvor 22 Tagen,Vollzeit,,https://www.indeed.com/rc/clk?jk=faba4724028ececb&fccid=9bc4bec6cacbb430&vjs=3
