job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,Mutualité Chrétienne,Belgium,"C’est pourquoi nous avons lancé une nouvelle direction.
Vous recherchez des données en dehors du groupe et vous les exploitez.",Posted30+ days ago,Full-time,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BL8sDCJ9wRXQ4YGv6wAgyGFz2viFllsfnmJN-SiKD4snqSfG4UFB9wGcD6wRAqqHKgxs17oUgHmJR48hk9xhCRuNqUhRkFCZGEnbHHOwgOF0QBkVyIcCIhLpicY0HjHEYgBnGuI74FmL8rghJoFpN14ETyQ0a6gFCULhXjQHwGPw2tWdiTl6uYqIP-uPf1zhdNlU0TOExOQHmUtkjQ7sr1uUZKJYCQJ6No1bxxG2FNtmfw4aZnvcjSbeMlNf2P1ZRzqCEOs6Rcm2ao5d26UMsgX5YF23XEVRsuQ5XXnz1c609aIM9oGr-fuW2VbA-JkxszvLBEL-H38m2rYJe3qKqd5vj6R-uHuuNqU4_XAsBwcGADAlLbVeuYYdMGCczw56ko4l-mWGnJ2wIGpZRyemRo4SCxmuiE1sQjK4_gAhkQHgtJnpn_VFFGx-5UYQ_qWwE9muF5T9rYmafUngCe59gi4DwUZ4wl8rkJ4m2J_hkQ9lAXPtqHnbGTuV2o0NNPuMpOoAnKJNK0Ol8wDahCUYh5QW8qEIjM_Rz0SyDN2aQVBIVb9kSOW3DlwBreq8OtlltIno0c3K4EIa9y8ID9Od9dSUX0jhqmlA9I6symB1MwaZQuzacbaWQHl-znIf1em609x7cMXJaigMNtUF2Hq7H40wT16j6oaYYHicQs7vg0bSf_aW2AeJYbo7UM6hVDrtk=&xkcb=SoBV-_M3b6sGAlRr7Z0LbzkdCdPP&p=0&fvj=0&vjs=3
Data Analyst,Eyetech Solutions,Ghent+2 locations,"Luisteren naar de noden van de business en deze inzichten verzamelen en omzetten in duidelijke informatie.
Vlot Engels (Frans en/of Nederlands is een grote plus…",Posted17 days ago,€500 - €600 per dag,€500 - €600 per dag,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BNsY5jqEQHhr5HFclUrvxEZFxelvli_gHqGzUolVTgpGiOy1vuZhlwti-T0Y3EyH1uSwYE8HcxY-dhTwRfznGbicNPne5fmg4coU1hEzFGNtVDRdkGLxFASfQtEXcM9_wAySKxUESPYYQCYgl-8bYBibCMuh9f8GOzsevJEG07KLvLhzv5TPgTDGjSRIJImrupGyvwbfl1DVQ2fkhtfEIGF9ClpOrPVQv0qBqL2DDSKSPnV3SZv5tTBr_s7H5skAPWBhM95mqkwCoiNGXk_4-A9mMAslRs2fMEP0bzURLearD7X4eAO1xLAbuxO6PMihm5dZ4TjURqjjPFjQ8cHqsKjVmkYOt3q9hQTzdhwk2luv9C7rFOtBvwZ7adHwGFDfXBoRz3E4DxGTrXiQ_swD8_Ta6_7M8ZLBZ4zVEJKOUD0_8Td-cd58eW7wCjJcBDPNFhR8PtKfys8PyP06ldcj-0-U2SYpOKirJcm7OVY0Ux8wLa3SAFgDgQuj9hnEjeqHLLJYIz0_axIIhuRD8bzIfHlAVNB87pquN9EFSg6GSVyrWnw1HpDbuk4kKxfEGxRfscU0aUspLITXDAeiBzHHHHJZq0_XKfyDZ5qRyRHlC_t64RpVeB0BoS8ioUUes0zPmEHQEvG_k4fpY0FoqBAjSF4ZGyxVWRnR7K-mKNw5HVppRRapQ8TR2mhzZJVOnMtlVv9QDXbGEBORtV497SVHzG&xkcb=SoDh-_M3b6sGAlRr7Z0KbzkdCdPP&p=1&fvj=0&vjs=3
Data Scientist,KPMG,Hybrid remote in Zaventem,"Knowledge of common data science software.
A master degree with strong elements of modern data science techniques: Machine Learning algorithms, coding,…",Posted30+ days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=5488ed02833ea562&fccid=2dd390c3a48a7ed0&vjs=3
Data Scientist,AKKA TECHNOLOGIES,Belgium,"Relevant experience in the field of data science: processing of big data, exploratory & explanatory data analysis, data cleaning, feature engineering,…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=a9a21d7aea12fbc4&fccid=865214cc5e8fd92a&vjs=3
Data Scientist - CommodityFX Analytics,McKinsey & Company,Brussels,"ACRE is a team of ~45 expert consultants, data scientists, and engineers focused on bringing cutting-edge analytics to our clients.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=9a3de8a0ecd05764&fccid=6576e7250aa78c3c&vjs=3
Data Scientist,Solvay,Remote in Belgium,"Support data analysts in industrializing their advanced analytics projects.
Join a team of experienced datascientists in a mature data analytics organisation…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=a9f48631d627769c&fccid=73570cc12fe0cc87&vjs=3
Data Scientist,REPLY,Belgium,"You a have a solid knowledge of data manipulation, data analysis procedures, data cleansing, data extraction, data transformation, data loading, data…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=10949eb79eb18e2e&fccid=963f2edbf71c4b4d&vjs=3
Data Scientist - Fraud,Corsearch,Remote,"As fraud data scientist you’ll be responsible to create end to end pipeline of data collection, signature extraction, feature creation and modelling.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=3dd51bd910069585&fccid=ba2a929a5b4d47c6&vjs=3
Data Scientist,Fujitsu,Brussels,"Create, manage and optimize data flows and data analytics algorithms.
Researching and developing opportunities in the data arena.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=f81fc3c62e4b6a9f&fccid=0d771a787e6e10bd&vjs=3
Data Scientist,Solita,Belgium,"You can extract and manipulate data from DWH, big data and other systems including knowledge and understanding of SQL.
Fluent in Dutch or French, and English.",Posted22 days ago,,,https://www.indeed.com/rc/clk?jk=ac08ea329e0bb03c&fccid=d5c23616f41896f5&vjs=3
