job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist – Aftermarket Data Analytics,Caterpillar,"Piracicaba, SP","Understanding of supply chain data and reporting/ Materials Planning Skills.
Experience: Experience with data modelling in Power BI (relationships, bi…",PostedHoje,Tempo integral,,https://www.indeed.com/rc/clk?jk=969e28c067df1038&fccid=d723225da214c842&vjs=3
RWI Data Scientist,IQVIA,Home office,"Delivers data analysis products such as data tabulations, analysis datasets, statistical tables/listings/figures, and interactive applications related to…",Postedhá 10 dias,Tempo integral,,https://www.indeed.com/rc/clk?jk=7a0c957954531f79&fccid=6b7a1dfe07e7f037&vjs=3
Staff Data Scientist,PIER.,Home office,"Prazer, nós somos a Pier, a primeira seguradora digital do Brasil!
Somos uma empresa de tecnologia fundada em 2018, nascemos para mudar a relação das pessoas…",Postedhá 24 dias,,,https://www.indeed.com/rc/clk?jk=b76c85ce00fdd20e&fccid=be2ef265d969b4b9&vjs=3
Data Scientist,Big Data,Home office,"Na Big Data, ciência e dados ocupam o espaço central na geração de previsões e intervenções que permitem a otimização dos negócios dos nossos clientes.",Postedhá 30+ dias,,,https://www.indeed.com/rc/clk?jk=9c0a146521141e75&fccid=1cd40d642f183854&vjs=3
"Data Scientist, Brazil (Remote)",Andela - Third Party Job Board Only Postings,"Home office in Brás, SP","Flexibility in working with a variety of data science approaches.
Deploy the solution in production in collaboration with the data, engineering and product…",Postedhá 24 dias,,,https://www.indeed.com/rc/clk?jk=a4e7dcc12a423beb&fccid=f783f8fbbe72c927&vjs=3
Data Scientist,Digio,Home office,"O objetivo da célula de Data Science do Digio é liderar projetos que gerem valor para companhia pelo uso inteligente dos dados, alavancando a receita ou…",Postedhá 16 dias,,,https://www.indeed.com/rc/clk?jk=4ae481987528cf5e&fccid=dec45784a5e2d28c&vjs=3
Senior Data Scientist – QuantumBlack,McKinsey & Company,"Rio de Janeiro, RJ","Mentor other data scientists and help them grow their knowledge and skills.
Work with the recruiting team to build a team of data scientists in Spanish Latam.",Postedhá 30+ dias,,,https://www.indeed.com/rc/clk?jk=ebc7c5c06efb4d3b&fccid=6576e7250aa78c3c&vjs=3
Machine Learning Data Scientist,HP,"Porto Alegre, RS","Invalid data set during execution.
Knowledge of data processing techniques and data pre-processing requirements for the common machine learning approaches.",Postedhá 7 dias,Tempo integral,,https://www.indeed.com/rc/clk?jk=af7fcb4e9d5f74d4&fccid=c8eabfdb4fcf2d28&vjs=3
LiveOps Data Science - QuantumBlack Labs,McKinsey & Company,"São Paulo, SP","Multidisciplinary Teamwork- Our teams include data scientists, engineers, project managers, UX and visual designers who work collaboratively to enhance…",PostedHoje,,,https://www.indeed.com/rc/clk?jk=f84e6096de42f9f3&fccid=6576e7250aa78c3c&vjs=3
Data Scientist Pleno - Databricks,T10,Home office,"Esta é uma oportunidade para fazer parte da equipe de Dados da T10, compartilhar conhecimentos (e ideias) & colaborar em projetos desafiadores e que fazem a…",Postedhá 24 dias,,,https://www.indeed.com/rc/clk?jk=d228b656ca2640be&fccid=b5f8d65fd6206d17&vjs=3
