job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist I,SIMMACHINES,Costa Rica,"General knowledge of machine learning algorithms, linear algebra, and statistical metrics used regularly in data science.",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=9d3939f4471136d5&fccid=e756874593fcbf99&vjs=3
Associate Data Scientist I,UST Global,"San José, Provincia de San José","Mathematical Skills to estimate numerical data.
Extensive background in data mining and statistical analysis.
Visualize and present data for stakeholders using:…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=06839553f4ca4843&fccid=810178099fb1fcbc&vjs=3
DATA SCIENTIST,Growth Acceleration Partners,Costa Rica,"Knowing how to deal with imperfections in data using data cleaning and data wrangling.
You will validate data on entry and perform exploratory data analysis to…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=3da9d23db4a99abb&fccid=7de416dc8bf10354&vjs=3
Data Scientist,Western Union,"Santa Ana, Provincia de San José","You will combine your education with at least 2 years of experience in similar roles managing data analytics, data modeling and interpretation, and delivering…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=a4eda82fa5c49104&fccid=a9a275f507bb2412&vjs=3
Sr. Data Scientist,Visa,"San José, Provincia de San José","At least 8 years of experience as data engineer or data scientist with open-source tools.
Experience developing fully automated standardized data solutions at…",PostedPublicado hace 15 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=f7ba95c2ec2bd922&fccid=a3f737e511d9fc8c&vjs=3
Data Science Engineer,Cornerstone Building Brands,"San José, Provincia de San José","Building required infrastructure for optimal extraction, transformation of complex sets of data and loading of data from various data sources.",PostedPublicado hace 24 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=f4fb0ad042ced8d2&fccid=661482a3e1184c30&vjs=3
Business Intelligence Specialist - PowerBI,"Kyndryl Costa Rica, Sociedad de Responsabilidad...",Costa Rica,"Advanced Microsoft Excel (Knows complex nested formulas, Pivot tables, visualize data, feels comfortable working with spreadsheets of 100K+ lines, can transform…",PostedPublicado hace más de 30 días,Tiempo completo +1,,https://www.indeed.com/rc/clk?jk=1493c8fe8d30577d&fccid=dd616958bd9ddc12&vjs=3
Senior Data Analyst,HP,"Heredia, Provincia de Heredia","Collaborates with peers, junior engineers, data scientists and project team.
Fluent in structured and unstructured data, its management, and modern data…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=9fdebae999c5c030&fccid=c8eabfdb4fcf2d28&vjs=3
Software Engineer,SIMMACHINES,Costa Rica,"Develop software for big data and machine learning applications.
Also preparing and communicating status updates of results, interacting with other developers…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=dfcb1aa55638dcfb&fccid=e756874593fcbf99&vjs=3
Senior Data Scientist,Launch Potato,"San José, Provincia de San José","Work with large amounts of data to identify and act on opportunities in monetization strategies.
Apply advanced statistical techniques to establish causal…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=7487850b79959159&fccid=dac5dfa9f05470c2&vjs=3
