job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,"Kyndryl Client Center, s.r.o.",Brno,"From all incoming structured and unstructured data derive business insights through expert mathematical, analytical and computational techniques in order to…",PostedZveřejněno před 11 dny,Plný úvazek,,https://www.indeed.com/rc/clk?jk=515c5947a663d06b&fccid=dd616958bd9ddc12&vjs=3
Data Scientist,Resulmatic,Praha,"Jako Data Scientist budeš pracovat na projektech, které využívají strojové učení a pokročilé analytické techniky.
Znalost a porozumění SQL (T-SQL).",PostedZveřejněno před 26 dny,360 Kč - 720 Kč za hodinu,360 Kč - 720 Kč za hodinu,https://www.indeed.com/rc/clk?jk=491a553f540a003f&fccid=401674aa6f0347f8&vjs=3
Data Scientist,Runecast Solutions Ltd.,Brno,"Sift through large amounts of data to find unique patterns.
Investigate various data, technologies, methodologies and determine where they are applicable in…",PostedZveřejněno před 30 dny,Plný úvazek,,https://www.indeed.com/rc/clk?jk=9ec500bb0b1bb468&fccid=1ea7d650cb6d3108&vjs=3
Principal Data Scientist,Avast,Home Office,"+ 8 years of data science experience.
Provides clarity and direction for data science roadmap, working with data engineering and BI teams to ensure scalability…",PostedZveřejněno před 4 dny,Plný úvazek,,https://www.indeed.com/rc/clk?jk=27927b3ca4545f60&fccid=47940c1870587c35&vjs=3
Data Scientist Junior - Industry 4.0 – Ostrava,Siemens,Frenštát pod Radhoštěm,"Development of customized data models and algorithms.
Development of data-informed tools to monitor and analyze manufacturing processes in terms of quality,…",PostedZveřejněno před 30 dny,Plný úvazek,,https://www.indeed.com/rc/clk?jk=a4db66c8e20299f1&fccid=ea6bb53f0b18b8f2&vjs=3
Data Scientist (ITS Service Desk),DHL,Praha,"Experience in data crawling including popular social APIs and web scraping.
Think strategically and creatively, to exploit data science for a competitive…",PostedZveřejněno před 2 dny,,,https://www.indeed.com/rc/clk?jk=9530a9480d090ed6&fccid=5b8d10630cb111eb&vjs=3
Junior Data Scientist,EY,Praha,"Znáš metody a postupy, jak s big data zacházet a jak je testovat.
Budeš se učit od kolegů, dostaneš k ruce counselora a porosteš i osobnostně.",PostedZveřejněno před 30 dny,,,https://www.indeed.com/rc/clk?jk=8a66b25f93055103&fccid=1544766d4c2915b0&vjs=3
Community Engagement / Biomedical Data Scientist,DNAnexus,Praha,"Access, explore and integrate data.
Hands-on experience with genomics sequence analysis, imaging data or epidemiological studies.",PostedZveřejněno před 30 dny,Plný úvazek,,https://www.indeed.com/company/DNAnexus/jobs/Community-Engagement-b27e8a239a66dfde?fccid=d4b256d6af93e7fc&vjs=3
Data Scientist with SAS,Mondelēz International,Praha,"Ability to use data visualization tools to showcase data for stakeholders.
Analyze and derive value from data through the application methods such as…",PostedZveřejněno před 30 dny,Plný úvazek,,https://www.indeed.com/rc/clk?jk=25cf30ce1f461893&fccid=0ba2244fbaa16b6c&vjs=3
Pricing Scientist CZ,Pricefx,Česko,"Able to understand various data structures and common methods in data transformation.
Background in data mining and statistical analysis.",PostedZveřejněno před 30 dny,Plný úvazek,,https://www.indeed.com/rc/clk?jk=3b363c894252a772&fccid=67e513220a40780c&vjs=3
