job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,,"Guayaquil, Provincia del Guayas","Integrar técnicas, métodos o modelos que puedan solucionar el problema u oportunidad de mejora contratada.
Graduado de carreras tales como Estadística, Ciencias…",PostedPublicado hace 8 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=00286e3c6d303413&fccid=dd616958bd9ddc12&vjs=3
Clinical Laboratory Scientist,Empresa: Cpp,Provincia de Pastaza,"Paperwork writing of lab reports, marking data sheets, completing proficiency test reports, using a computer to track progress and report results; maintaining…",PostedPublicado hace 7 días,,,https://www.indeed.com/rc/clk?jk=9517193d93d1a52c&fccid=306130b8502d9fc3&vjs=3
ANALISTA DE DATOS/DATA SCIENTIST JUNIOR,,"Quito, Provincia de Pichincha","ANALISTA DE DATOS/DATA SCIENTIST JUNIOR.
Experiencia de 6 meses a 1 año en posiciones similares.
Conocimientos en tratamiento y depuración de Big Data, Creación…",PostedPublicado hace 10 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=a4b602c4ef0a5074&fccid=dd616958bd9ddc12&vjs=3
Big Data Senior - Remote Work,BairesDev,"Quito, Provincia de Pichincha+4 ubicaciones","Hands-on experience with managing data loads and data quality a plus.
Write highly efficient Spark jobs to process TB of data.",PostedPublicado hace 1 días,,,https://www.indeed.com/rc/clk?jk=2a5baa50fffedde6&fccid=29707109e86166e5&vjs=3
Data Science / Data Engineer - REMOTE WORK,BairesDev,"Quito, Provincia de Pichincha+4 ubicaciones","Hands-on experience with managing data loads and data quality.
Input data from those interviews into the product and help develop a predictive, fair, and…",PostedPublicado hace 1 días,,,https://www.indeed.com/rc/clk?jk=ba1c324a221f3e32&fccid=29707109e86166e5&vjs=3
Senior Scientist - CQN,Cargill,"Eloy Alfaro, Provincia del Guayas","Expertise with shrimp trial design, protocol and data analysis with different culture model and systems.
Lead research projects and/or being a main contributor…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=2ec55c2fda45be8e&fccid=d7d9a8241ba2f3ec&vjs=3
Senior Data Scientist,Launch Potato,"Quito, Provincia de Pichincha+1 ubicación","Work with large amounts of data to identify and act on opportunities in monetization strategies.
Apply advanced statistical techniques to establish causal…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=a32fcc896db1d867&fccid=dac5dfa9f05470c2&vjs=3
Senior Customer Project Manager,NOKIA,"Quito, Provincia de Pichincha","Ensures data in all project-related tools and repositories is kept up-to-date and with high quality.
With state-of-the-art software, hardware and services for…",PostedPublicado hace 28 días,,,https://www.indeed.com/rc/clk?jk=c52feb5c1efec3f4&fccid=3444e7c94299ba32&vjs=3
Design and Optimisation Specialist,NOKIA,"Quito, Provincia de Pichincha","The Performance & Optimisation Specialist performs solution monitoring, data collection, generation of daily / weekly reports, and a first level of analysis and…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=9604a4782c21ed80&fccid=3444e7c94299ba32&vjs=3
Jefe/a de Analíticas y Campañas,,"Quito, Provincia de Pichincha","Diseño y creación de modelos estadísticos en cualquier sector comercial.
Monitoreo de KPIs de rendimiento de modelos.",PostedPublicado hace 4 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=ef09afb1b9239994&fccid=dd616958bd9ddc12&vjs=3
DATA SCIENTIST -UIO,Banco Pichincha,"Quito, Provincia de Pichincha","El esfuerzo, la responsabilidad, la coherencia y la trascendencia son valores que marcan la labor diaria de los 5.400 colaboradores que formamos parte de la…",PostedPublicado hace 4 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=136784edfd1011c7&fccid=d6999eb73ed9528b&vjs=3
Data Scientist,Factor IT,"Quito, Provincia de Pichincha","Desarrollo de ETL's utilizando pentaho o alguna herramienta de diseño estilo drag and droop.
Experiencia en análisis de información (deseable información de…",EmployerActivo hace 23 días,Tiempo completo,,https://www.indeed.com/company/Factor-IT/jobs/Data-scientist-32046990baa7248f?fccid=574e7645c862913f&vjs=3
DATA SCIENTIST SENIOR - UIO,Banco Pichincha,"Quito, Provincia de Pichincha","En Banco Pichincha nos estamos transformando; por eso, queremos incorporar el mejor talento a nuestro equipo.
Hoy contamos con filiales en seis países.",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=c2ff150059bb08f7&fccid=d6999eb73ed9528b&vjs=3
PRODUCT OWNER ANALITICA & INSIGHTS DE CANALES,Banco Pichincha,"Quito, Provincia de Pichincha","Acompañar a gobierno de datos para que la data tenga definiciones claras y únicas.
Coordinar la ingeniería y flujos de data para que la misma esté disponible y…",PostedPublicado hace 21 días,,,https://www.indeed.com/rc/clk?jk=ad6eee67fd2a738b&fccid=d6999eb73ed9528b&vjs=3
