job_title,company,location,job_summary,post_date,more_info,salary,job_url
Junior Data Analyst,ArabyAds,مصر,"1+ experience in data analysis.
Cleaning and maintaining raw data from delivery teams.
Interpret data, analyze results using statistical techniques and provide…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=eaef62d23fee9cb7&fccid=c87dee5488bbc892&vjs=3
Data Analyst,ArabyAds,مصر,"3+ experience in data analysis.
Interpret data, analyze results using statistical techniques and provide ongoing reports.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=dc45d7963d503ab3&fccid=c87dee5488bbc892&vjs=3
Data Scientist,CyShield,Cairo,"Collating and cleaning data from various entities for later use by Junior Data Scientists.
Formulating, suggesting, and managing data-driven projects which are…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=e1060bed06e81b60&fccid=b0043593ff8b12c1&vjs=3
Data Scientist,Teradata,Cairo,"Perform all the phases of a data science project : business understanding, data understanding and preparation, exploratory analysis, modeling, model evaluation,…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=6efb51d1c514d07d&fccid=ded9605952442cb4&vjs=3
Senior Data Scientist - Natural Language Processing (NLP),Agolo,مصر+1 location,"Lead a team of junior data scientists and mentor them to excellence.
Experience building software that deals with noisy, unstructured text data.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=59338943eed847f3&fccid=7b109876acdd265c&vjs=3
Data Engineer,Giza Systems EG,Cairo,"Work closely with a data scientists implementing data analytic pipelines.
Help define data governance policies and support data versioning processes.",Posted5 days ago,,,https://www.indeed.com/rc/clk?jk=2327d4e4094edcbf&fccid=dc703a4a9b4f45a9&vjs=3
ArabyAds Internship-2022,ArabyAds,مصر,ArabyAds was founded in 2013 and we help our clients to acquire customers at scale using data & technology across diverse set of digital advertising inventories…,Posted30+ days ago,Internship,,https://www.indeed.com/rc/clk?jk=a77afd054c128cbf&fccid=c87dee5488bbc892&vjs=3
Data Engineer,Fivos,مصر,"Experience with data warehouses and dimensional data modeling.
Experience with Snowflake, including data modeling, data architecture and performance tuning.",Posted21 days ago,Full-time,,https://www.indeed.com/company/M2S/jobs/Data-Engineer-753e50c28e1c528d?fccid=c7e373370c12c1c4&vjs=3
Project Coordinator,ArabyAds,مصر,ArabyAds was founded in 2013 and we help our clients to acquire customers at scale using data & technology across diverse set of digital advertising inventories…,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=66424c1b351207d8&fccid=c87dee5488bbc892&vjs=3
Cybersecurity Data Ingestion Analyst,Cysiv,Cairo,"Work with data scientists and cybersecurity experts to do further analysis on the data to identify key patterns, trends and other relevant summary information.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=2d9171968c1e3d50&fccid=cad344ebadd4a87e&vjs=3
