job_title,company,location,job_summary,post_date,more_info,salary,job_url
Junior Data Scientist,Ready Solutions Oy,Suomi,"Junior Data Scientistin tehtävissä teet analyyseja ja rakennat erilaisia ennustemalleja.
Tehtävä edellyttää hyvää ymmärrystä tilastollisesta mallintamisesta ja…",PostedJulkaistu yli 30 päivää sitten,Kokopäivätyö,,https://www.indeed.com/rc/clk?jk=b2036b7eae4df241&fccid=ae628b1f09bc735e&vjs=3
Data Scientist,Unikie,Helsinki,"Experience on data visualization and BI tools.
Knowledge of cloud services (GCP, AWS, Azure) related to data and AI.",PostedJulkaistu 10 päivää sitten,,,https://www.indeed.com/rc/clk?jk=fdb6af3f5de682bf&fccid=0f816ebc4d91a898&vjs=3
Data Scientist,Smartly.io,Helsinki,"Maximize your skills and improve your learning within our product, data science stack and delivery processes as well as ad tech and online advertising in…",PostedJulkaistu 3 päivää sitten,,,https://www.indeed.com/rc/clk?jk=7d802e66e059cab6&fccid=6622fdf13ff4808d&vjs=3
"Trainee, Data Scientist",NOKIA,Espoo,"The log data require to better qualify as ML model training input data.
It suggests what possible data transformation (pre-processing, data surjection, etc.).",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=7fcfa0832527fedc&fccid=3444e7c94299ba32&vjs=3
Data Scientist,MacGregor,Helsinki,"Determine the correct data sets and variables.
Analyze the data to identify patterns and trends.
Interpret the data to discover solutions and opportunities.",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=664b9c49c2db5509&fccid=4f3b7f244b58439f&vjs=3
Data Scientist,Nitor,Helsinki,"Koneoppiminen, datan hallinta ja mallinnus, pilviteknologiat, tietokannat, ohjelmointi, AWS, Azure, Python, R.",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=7846507f6c811fd1&fccid=7039adf0c4485233&vjs=3
Scientist,Hologic,Espoo,"Planning, executing, and documenting laboratory experiments, analyzing scientific data and observations in detail.",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=077bf93a5c94ec30&fccid=56fefe1ffa207dba&vjs=3
Data Scientist (Finland),ICT DIRECT,Espoo,"Experience with machine learning tools in big data environments.
Utilize internal and external data and big data to design, develop, and deliver Design and…",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=1ab05fff077a5282&fccid=08405ccc2b4b4362&vjs=3
Azure Data Scientist,Visma Consulting,Helsinki,"We help our customers plan and manage their business with data, analytics, AI, optimization and modern data warehousing.",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=6737457a75e1c488&fccid=0682cedb85d6eb33&vjs=3
Data Developer for Databricks projects,Solita,Suomi,"In addition to data developers, our Connected Data unit employs data engineering data science, data visualisation, business performance management and master…",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=dc61e11486c0e7ba&fccid=d5c23616f41896f5&vjs=3
SENIOR DATA SCIENTIST,ICT DIRECT,Helsinki,"Contribute to the data warehouse design and data preparation, and assemble large and complex data sets.
Identifying and resolving data issues.",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=5f7b4bc0f2c676df&fccid=08405ccc2b4b4362&vjs=3
"Field Application Scientist, Research Informatics - Remote",PerkinElmer,Suomi,"Understanding of clinical trial data/analytics is highly desirable.
Experience with TIBCO Spotfire or other data analytics platforms is highly desirable.",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=ec86cbb2effe7e7c&fccid=dedb01f1a81e63e6&vjs=3
Data Scientist,Veikkaus Oy,Helsinki,"Tarjoamme vaikuttavia työtehtäviä kehittyvässä työyhteisössä, jossa on iloinen tekemisen meininki.
Personointia fyysisiin kanaviin automaattien huoltokäyntien…",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=23d84f5716753abb&fccid=a2d4214caa319857&vjs=3
AI Scientist - Natural Language Processing,Silo AI,Helsinki,"Analyze data to discover patterns, find opportunities, and develop and apply innovative algorithms.
AI engineers and researchers collaborate closely to tackle…",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=f67ffd4893c99df6&fccid=b350a35dcfb3d900&vjs=3
AI Scientist - Computer Vision,Silo AI,Helsinki,"Analyze data to discover patterns, find opportunities, and develop and apply innovative CV & ML algorithms.
AI engineers and researchers collaborate closely to…",PostedJulkaistu yli 30 päivää sitten,,,https://www.indeed.com/rc/clk?jk=e502962f1a8647f9&fccid=b350a35dcfb3d900&vjs=3
Data Scientist,Kela,Helsinki,"Data Science -tiimimme tuottaa kehittyneitä analyyseja, tilastollisia- ja koneoppimismalleja sekä niihin liittyviä palveluita yhdellä Suomen parhaista…",Posted18  päivää sitten,Määräaikainen +2,,https://www.indeed.com/rc/clk?jk=f8133fa4f25a287f&fccid=852972dcde886183&vjs=3
