job_title,company,location,job_summary,post_date,more_info,salary,job_url
"Data Scientist (full time, all seniority levels) - QuantumBl...",McKinsey & Company,75008 Paris,"Based in Paris and working across the region, as a consultant data scientist you will work closely with our clients, data engineers and all types of McKinsey…",Postedil y a 30+ jours,Temps plein,,https://www.indeed.com/rc/clk?jk=02d4e4e7c8e2550c&fccid=6576e7250aa78c3c&vjs=3
Data Scientist,SBM Offshore,Monaco (06),"Prepare data by going through features engineering, data cleaning and all activities needed to construct data sets ready for modelling;",Postedil y a 30+ jours,,,https://www.indeed.com/rc/clk?jk=d1df329c7ea06e74&fccid=a9a5024d4b747148&vjs=3
Research Data Scientist,Meta,Télétravail,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2.
Experience with Machine Learning, Statistics, or other data analysis tools and…",Postedil y a 30+ jours,,,https://www.indeed.com/rc/clk?jk=e8978b77df2591f6&fccid=ba07516c418dda52&vjs=3
Data Scientist (Data team),Veepee,Nice (06)+ 2 lieux,"Build and improve the data science stack;
At least 3 to 5 years experience in data science;
Large amount of good quality data (over 1M visitors per day).",Postedil y a 30+ jours,,,https://www.indeed.com/rc/clk?jk=5d6f692cf67eadb7&fccid=28f7eed7c7720860&vjs=3
Data scientist H/F,Leihia,Télétravail hybride à 94200 Ivry-sur-Seine+ 1 lieu,"Vous êtes idéalement diplômé d’un bac+5 dans une filière SI, mathématiques, statistique ou data (data science, big data).
✔ Vous êtes visionnaire et curieux.",Postedil y a 1 jour,À partir de 60 000 € par an,À partir de 60 000 € par an,https://www.indeed.com/rc/clk?jk=1091a29304c75cb5&fccid=09bbd9ce3c7757d2&vjs=3
Junior Data Scientist,Wolters Kluwer,Bois (17),"Basic to medium level knowledge of Python programming language, data engineering and data science ecosystem in Python.",Postedil y a 3 jours,Temps plein,,https://www.indeed.com/rc/clk?jk=e8a0158563ec87ac&fccid=f46e2fd6ab3f5a72&vjs=3
Data Scientist H/F,Groupe Demeter,Paris (75)+ 1 lieu,"Solution data science type Dataiku.
Il accompagne ses clients sur leur grands projets de transformation grâce à ses domaines d'excellence tels que la Data, le…",Recrutement régulier,De 40 000 € à 70 000 € par an,De 40 000 € à 70 000 € par an,https://www.indeed.com/company/GROUPE-DEMETER/jobs/Data-Scientist-fe7977bfe8433408?fccid=97050cc4f7717b8f&vjs=3
Junior Data Scientist,Systemathics,La Défense (92),"Understand challenges of market data sourcing and processing.
Expose results of the data analysis in publications.
Knowledge of Jupyter framework appreciated.",Postedil y a 30+ jours,,,https://www.indeed.com/rc/clk?jk=6bbe354e30181389&fccid=3c5200929be90303&vjs=3
Data Scientist (H/F),Carrefour,Télétravail hybride à 91300 Massy,"Proposer une solution data science en lien avec les besoins business de nos clients.
Sous la responsabilité de la direction marketing vous aurez pour…",Postedil y a 30+ jours,Temps plein,,https://www.indeed.com/rc/clk?jk=ee94cc2143e62bd7&fccid=669350d87ae4a4a6&vjs=3
Data Scientist H/F,Toporder,69009 Lyon,"Tu as des notions de learning et connaissance des étapes d’un projet data science, de l’exploration des données jusqu’au monitoring de modèles en production.",Employeril y a 30 jours,De 45 000 € à 60 000 € par an,De 45 000 € à 60 000 € par an,https://www.indeed.com/company/TopOrder/jobs/Data-Scientist-b7abd2dea6a5ce54?fccid=da9b555d420104b6&vjs=3
Data Scientist Energétique,WeSmart,Paris (75),"Un minimum d'un an d'expérience professionnelle en tant que data scientist ou en analytique.
Il aura la responsabilité de la supervision de nombreux projets…",Postedil y a 13 jours,De 45 000 € à 65 000 € par an,De 45 000 € à 65 000 € par an,https://www.indeed.com/rc/clk?jk=95f7320b7ddf6667&fccid=62ff9e4b40652fdc&vjs=3
"Computer Vision ML, Data scientist",Sightengine,Télétravail,"Architect, design and implement solutions to process and understand Images and Videos.
Supervise model training, model updates and continuous improvement…",Postedil y a 30+ jours,Temps plein,,https://www.indeed.com/rc/clk?jk=bc7cd0a314919ee4&fccid=5229f0f7ef998e14&vjs=3
Data Scientist H/F - CDI,Richemont,Paris (75),"Assurer l’adaptation de vos produits data clients : communiquer en interne sur les fonctionnalités, leurs évolutions, et la vision qu'elles portent.",Postedil y a 6 jours,,,https://www.indeed.com/rc/clk?jk=91f87861df7fa652&fccid=8e2946f10f334da4&vjs=3
Data Scientist - H/F,Dalkia,Courbevoie (92),"Formulation des besoins des data scientists d’amélioration des accès aux données.
Participation au cadrage des use cases data science.",Postedil y a 8 jours,Temps plein,,https://www.indeed.com/rc/clk?jk=af73d3beb2d4ee46&fccid=7a9338296d17bca1&vjs=3
DATA SCIENTIST COMPUTER VISION,Aquila Consulting,Paris (75),"À votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l'analyse statistique,.
Création de plans par drones.",Postedil y a 30+ jours,,,https://www.indeed.com/rc/clk?jk=11d712fa01f70299&fccid=5b684c1ade1de442&vjs=3
NLP Data scientist,Sightengine,Télétravail,"Architect solutions for real-time large-scale text and audio processing.
Implement proof-of-concepts on new NLP-related needs (text understanding, text parsing,…",Postedil y a 30+ jours,Temps plein,,https://www.indeed.com/rc/clk?jk=f90e4c3a168045b6&fccid=5229f0f7ef998e14&vjs=3
Data scientist,Pôle Emploi,59000 Lille+ 2 lieux,"Définir les nouvelles données à tracker pour chaque nouvelle fonctionnalité produit.
Maîtriser la manipulation de tables BigQuery et des requêtes SQL…",Postedil y a 7 jours,De 30 000 € à 40 000 € par an,De 30 000 € à 40 000 € par an,https://www.indeed.com/rc/clk?jk=65d3d74012430787&fccid=a2879d256e7b9bda&vjs=3
Audio & Speech Recognition Data scientist,Sightengine,Télétravail,"Architect, design and implement solutions to process and understand spoken languages.
Propose and build solutions to analyze non-speech audio.",Postedil y a 30+ jours,Temps plein,,https://www.indeed.com/rc/clk?jk=e5e5a847617a60a1&fccid=5229f0f7ef998e14&vjs=3
DATA SCIENTIST,Aquila Consulting,Courbevoie (92),"Votre bagage technique (data mining et visualisation de données techniques, l'analyse graphique, l'analyse statistique, le machine.",Postedil y a 30+ jours,,,https://www.indeed.com/rc/clk?jk=aef0c7f6f7c3744e&fccid=5b684c1ade1de442&vjs=3
