job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,NAECO Blue GmbH,Lübeck,"Ground in AI development and big data processing.
Intelligence for data analysis in the field of renewable energies.
Experience in programming with Python.",PostedVor > 30 Tagen geschaltet,Vollzeit,,https://www.indeed.com/rc/clk?jk=bbe9dd29bebe2ecb&fccid=9f6d9dc0cda169df&vjs=3
(Junior) Data Scientist (w/m/d),freenet Group,Hamburg,"Freenet bietet ein umfangreiches Portfolio rund um die Themen Mobilfunk, Internet und TV-Entertainment.
Der Bereich Data & Intelligence entwickelt und betreibt…",PostedVor > 30 Tagen geschaltet,Vollzeit,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGuppPrFfp2gxhiCWo_I_aslwlKMuCG10DzNuX1Ndhw1TM6-TaD9ylD74e3svcze0svWgrB-d0rAkUGbB-EYnZoM24AFzVzOvEIzZv5ErJ39-5QDIxjyDlMGQ5N5e2iWMyXee2wWU_4Y1eCG4VjkV7p0hsP9Hi1yehQ0-zBqJLVcCt7kzt2rgJUWSvpo4vOpQ_H3PZB9CvV6cssOEwwNuWrUvGX9OsStEFvcwwYo4uR6lhKkmsDxT_XwPuVuTrjdz3tsdUXSY6Vwje7Dz_wI5LBsS84Q3tJwy6t-xrN0ioBRimXMpGKu3Dz5T-h5_bhM0hGXYwHfIuN6g8cmsHEHi9JARIBKNZfoFcWJP_q7DOVTOZ-mgugc51o_JhN_DAT-N00bgvXWAxjhQi2Ijo6zapF01X8mps9pKEnbPW35qy-HL3s-ugRP18Fc4c8fxKl0ppejVUEyyqV9Z9T2vFZslfWEJWh9hg3YjSU8iYH2pO6lqy4VHgmgTVJ1V6o6ExKzStEnS0gtKKW619gsAAgKQTrvCQqo37qCA03vLFpnE9nXNZKzS48CMSqv5INkNJzR2OLnooPYHr6YH1nHrgIBJh&xkcb=SoBJ-_M3b6iBTlfTch0LbzkdCdPP&p=1&fvj=0&vjs=3
Data Scientist,Digital Waffle,Hamburg,Advanced experience in the application of machine learning algorithms and data mining methods from concept to production.,PostedVor 17 Tagen geschaltet,60.000 € – 75.000 € pro Jahr,60.000 € – 75.000 € pro Jahr,https://www.indeed.com/rc/clk?jk=fa57a89164b53719&fccid=af02b98b92a2145b&vjs=3
Data Scientist (m/f/d),Porsche Consulting GmbH,20251 Hamburg+1 Ort,"Application of advanced analytics methods (data modeling, analysis and visualization) to process real world data in a business/management context.",PostedVor > 30 Tagen geschaltet,,,https://www.indeed.com/rc/clk?jk=2ca77213574ff7d7&fccid=2144c20dbeb7cbb8&vjs=3
Junior Data Scientist,datasolut GmbH,50672 Köln,"Du entwickelst in abwechslungsreichen Projekten Machine Learning und KI-basierte Lösungen für unsere Kunden.
Du bringst die Modelle in der Cloud oder on-Premise…",EmployerVor 16 Tagen aktiv,45.000 € – 50.000 € pro Jahr,45.000 € – 50.000 € pro Jahr,https://www.indeed.com/company/datasolut-GmbH/jobs/Junior-Data-Scientist-d9043613d0ae58f1?fccid=b536aa1b9344705b&vjs=3
Data Scientist(f/m/x),Remerge,Berlin,And to enable the company to better leverage data in making decisions by promoting data culture and literacy in the company.,PostedVor 8 Tagen geschaltet,,,https://www.indeed.com/rc/clk?jk=1810088ba79ba709&fccid=5b3d39535bae1a14&vjs=3
Research Data Scientist,Meta,Homeoffice,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2.
Experience with Machine Learning, Statistics, or other data analysis tools and…",PostedVor > 30 Tagen geschaltet,,,https://www.indeed.com/rc/clk?jk=796480ae707326a7&fccid=ba07516c418dda52&vjs=3
Data Scientist in Climate Tech (f/m/x),Cozero,Homeoffice,"Proactively develop ideas how to create more value out of our data as well as external data for our clients.
Bringing data science projects to production.",PostedVor 12 Tagen geschaltet,,,https://www.indeed.com/rc/clk?jk=410113a29e2c1a76&fccid=cab7beaebf4234ff&vjs=3
Data Scientist,Smartly.io,Berlin,"Maximize your skills and improve your learning within our product, data science stack and delivery processes as well as ad tech and online advertising in…",PostedVor 3 Tagen geschaltet,,,https://www.indeed.com/rc/clk?jk=bb39687393384744&fccid=6622fdf13ff4808d&vjs=3
Data Scientist,InnoGames GmbH,Hamburg,"The Analytics department at InnoGames combines data enthusiasts from different backgrounds (product and marketing analysts, market researchers and data…",PostedVor 8 Tagen geschaltet,55.200 € – 72.000 € pro Jahr,55.200 € – 72.000 € pro Jahr,https://www.indeed.com/rc/clk?jk=501a5191f81c7006&fccid=59f91e819a611a27&vjs=3
Senior Data Scientist (m/f/x),Simpmatch GmbH,München,You are a data scientist with 3+ years of experience and have profound understanding and passion of and for modern technologies.,EmployerVor 18 Tagen aktiv,60.000 € – 78.000 € pro Jahr,60.000 € – 78.000 € pro Jahr,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALGwGFiQfTHN4DCi0n9bOIwsf8XAmHGLqJFCZw49WDAcMbQoazw8JFEf9eNVti_ToXANJ9xiIjhlhrwowimm4L3OA25XxxHX3zDg2aImAMLOfVIpeQ6uiIXke77_ARAk0j_HHwdjscOqlmNvqaLpwDk4azaVNDNwt2XSIFijI_r9Qeto8BaZEqVYtU1vdhhLrM-D8AgZUpDCcgyjIFZL0LjaUqThlLhjf3iNi3eHB7R1FO-SF2KmkU0n0QSebw-d-0eD8DFMHv3RuJ4xtjygPgjR4EF-OdqM2CQkx52dqZTqXr4PS6hL2YT6q5zM7wotoQkown4Kn8YT9cLtoMfsFSu92zxmyBK-UyddTWKkdss0i0Y4xIwkuXLoDkY_igZAvZvQYUJrHdeTx-glKQyo_zodW3PT_SzH_sttQnIYw_dk6txs9OPEUxoB_sre--QNoJpIYjNz9bG3QSMAfbbpnH-IfTju-eZdKBZiNr8ySmZky4KA_mzALT&xkcb=SoAf-_M3b6iBTl_Tch0PbzkdCdPP&p=10&fvj=1&vjs=3
Big Data – Data Scientist (m/f/x),Santander,Mönchengladbach+1 Ort,"Very good knowledge in building Models from data using statistical, data mining or machine learning approaches.
Strong communication and teamwork skills.",PostedVor 8 Tagen geschaltet,Vollzeit,,https://www.indeed.com/rc/clk?jk=9529a5ca9ebfcfaa&fccid=e57a47a3d1d90e39&vjs=3
Senior Data Scientist (m/f/x),XING Marketing Solutions,Hamburg,Proven track record of designing and operating data science solutions as well as supporting all steps of the data science life cycle.,PostedVor 23 Tagen geschaltet,Vollzeit,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D3OLBc72SNt2HRac0xWvQQXTnQCV4OxFC2EzV2ryruXwmEyOs375d_jJPEaGstIawOQTFm916T6uBTUXsmFMaDZM9AILm5sOvdulS9TuKnqqTLqXGYJHb_jaql3xveYkhm5P3liiP8TMAeCohOT8Ul3cLgF9TEIfX_LLLWOgubEnOjh3ke3pWXaIIFVKV-jpeYRfoFF1t4FLgzkTQnfOKLQKwT16z42_wFV8O_cOq1tjavhGcsiF0Pyq5pQPygtp2G-F7NQplme78QGkOiyLnf2G-KjedN1Vu3JU52csTdnfwzr46gEXsKrHlQacHbeHTU2JLCj9_mcjM4O73C6KATWVmgy2-og8QJqBbBejKnMrLVmXcWIxhqwifhNvGHXmbY7si89ZSOckub2eNDPltAPLsoLqr_aF-vQZpnpdb1WaIIe15ttJEedR_iMsNp_dsD3XCF_Pl2XLZqvMgVkWrckWpo3Y578qZ1KgU05J0JkEoOQLu4za5nDS2ipmK75eSoryhZhVXN33svOtSBbPoWMeTFETb9-O6SQXINktaY0D8Ue-x7sWtfga22qYGCcmAHss608h9d5ll3tQQffAvHn5dHh_sfnCs_xOrBYDh2-GhXzu751_GH&xkcb=SoA2-_M3b6iBTkfTch0KbzkdCdPP&p=12&fvj=0&vjs=3
Data Scientist (m/w/d) in Salzburg,Red Bull,Deutschland,"Foster conscientious handling of data and an excellent ability to absorb new skills and techniques quickly.
Supporting data science projects at Red Bull, you'll…",PostedVor > 30 Tagen geschaltet,Vollzeit,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ck1c4wXRQcOUPkKLx514rAa4O7Jf1xFzoosfx1hzRLxljSbIMT3gCrAgdvbzfWfrnW3hs4mFi15vZryePO1lAiIZA2Inplc4TxD-EUR0GWPNVO5q2Y-Oqn06f2O1ZZKhPjsXxL-2-R6HDplEWJs9aUGsXXzt5TECWTj9yvrCzXTNlFn0FfnlpdeXhRl0jzVhuYQkGVIN9cWIWbXbtHm4P1avmjuR8_paJqqGboCbIZiiIVn02dlaoThjlti6OZVPd3Qc_G5XSCnLnK0Q4-HJ3c-Q3cLIoXBsBIjAhSlR10P4ungAbg93Jva7Erc_3TGyWlLuGl8dHzzY7g-phOjBBDb8OffaLML6xd2vYdhZN7CPPsakOAgY7h-jagzXKoEoukWxBhLSEXqwxFN0FhIy9eXHAdworfGzVPxpckmqUtOHDlAPUqPs-foiY0tBlio_meUD2h9uUofrWUeI4oMdXbIS8WEMuDToAQNrId9hsbYZyWfdH5alhUFrzJ-B5Vcd8=&xkcb=SoCr-_M3b6iBTkfTch0JbzkdCdPP&p=13&fvj=1&vjs=3
Data Scientist,GfK,Nürnberg,"Expert skills in open data sourcing.
Develop Data Science solutions for implementation and standardization in Big Data environments.",PostedVor 19 Tagen geschaltet,Vollzeit,,https://www.indeed.com/rc/clk?jk=72bb36e5d07b88ef&fccid=941c4fb004be80b8&vjs=3
