job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist/ R Developer,IRI ACE/Greece,Μεταμόρφωση,"SQL and/or relational data handling knowledge.
Analyzing data, developing analytical approaches and assessing their quality and outcome.",PostedΔημοσιεύτηκε πάνω από 30 ημέρες πριν,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=d2b114d74e63a036&fccid=11cc0eea045f2e1b&vjs=3
Data Scientist - Data Analyst,EY,Αθήνα,"You will also resort to various data management and visualization techniques to provide insight into the data.
To qualify for the role you must have.",PostedΔημοσιεύτηκε πριν από 3 ημέρες,,,https://www.indeed.com/rc/clk?jk=80305b2981f48f88&fccid=1544766d4c2915b0&vjs=3
Data scientist - Machine Learning,EY,Αθήνα,"You will also resort to various data management and visualization techniques to provide insight into the data.
To qualify for the role you must have.",PostedΔημοσιεύτηκε πριν από 3 ημέρες,,,https://www.indeed.com/rc/clk?jk=62e3dcf9290e0ffb&fccid=1544766d4c2915b0&vjs=3
Data Scientist,Warply,Αθήνα,"Demonstrated experience applying data science methods to real-world data problems.
Advanced analytical knowledge of data.
Developing software and data models.",PostedΔημοσιεύτηκε πάνω από 30 ημέρες πριν,,,https://www.indeed.com/rc/clk?jk=cfb23d043d4a437f&fccid=7af73f5b857d4813&vjs=3
Data Scientist - Patras,EY,Πάτρα,You will also resort to various data management and visualization techniques to provide insight into the data.,PostedΔημοσιεύτηκε πριν από 3 ημέρες,,,https://www.indeed.com/rc/clk?jk=3221c8936859d80e&fccid=1544766d4c2915b0&vjs=3
Data Scientist (MC-01),MECCANICA GROUP Α.Ε.,Αθήνα,"Familiarity with big data technologies (e.g. Apache Spark, Hadoop).
Demonstrable experience in applying data science methods to business problems with the…",PostedΔημοσιεύτηκε πριν από 17 ημέρες,Πλήρης απασχόληση,,https://www.indeed.com/company/Meccanica-Group-%CE%91.%CE%95./jobs/Data-Scientist-ccd61b7b562acbad?fccid=4b222243c940ef2c&vjs=3
"Associate, Data Scientist",Pfizer,Θεσσαλονίκη,"Strong hands-on skills in data engineering, machine learning and data visualization skills.
Create data pipelines for efficient and repeatable data wrangling,…",PostedΔημοσιεύτηκε πριν από 9 ημέρες,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=c5d4b94439625868&fccid=7ff126af0cd3d93b&vjs=3
Senior Data Scientist,IQVIA,Απομακρυσμένη Εργασία,"Knowledge of pharmaceutical market and experience with pharmaceutical data (medical, hospital, pharmacy, claims data) would be a plus, but not a must.",PostedΔημοσιεύτηκε πάνω από 30 ημέρες πριν,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=3f4b04a85970febb&fccid=6b7a1dfe07e7f037&vjs=3
Data Scientist,Grant Thornton Greece,Αθήνα,"Managing and analyzing big data / wide data.
Exploring data from different sources.
Designing and building business insights and data models.",PostedΔημοσιεύτηκε πάνω από 30 ημέρες πριν,,,https://www.indeed.com/rc/clk?jk=5949beb37ea19d81&fccid=7ac82fceed64aa81&vjs=3
Data Scientist in Athens,Accenture,Αθήνα,"As part of Applied Intelligence practice, you will manage, architect and analyze big data in order to build data driven business insights and high impact data…",PostedΔημοσιεύτηκε πάνω από 30 ημέρες πριν,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=53f0b03b5acb0d0a&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist / Cloud,Deutsche Telekom Pan-Net s.r.o.,Αθήνα,Being involved in the development of assessment and steering tools for various data sources to provide the data records required.,PostedΔημοσιεύτηκε πάνω από 30 ημέρες πριν,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=cff0d9980e99ed54&fccid=13ef3ec45d2747eb&vjs=3
Data Scientist – Finance & Operations,Trafigura Maritime Ventures Ltd,Αθήνα,Trafigura is looking for a Data Scientist – Finance & Operations…,PostedΔημοσιεύτηκε πριν από 13 ημέρες,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=85b3cedcb67c0609&fccid=2e75f29e0007f5a0&vjs=3
Manager – Data Science,Pfizer,Θεσσαλονίκη,"5 years of work experience as a data scientist and project lead for a diverse range of projects.
Inform data science product development and activation in…",PostedΔημοσιεύτηκε πάνω από 30 ημέρες πριν,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=21a07c57bffaf0ac&fccid=7ff126af0cd3d93b&vjs=3
"Statistical Programming Scientist, Real World Evidence",IQVIA,Απομακρυσμένη Εργασία,"Perform, plan and co-ordinate the following for complex studies: (i) the programming, testing, and documentation of statistical programs for use in creating…",PostedΔημοσιεύτηκε πάνω από 30 ημέρες πριν,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=9b1ce70bacd34019&fccid=6b7a1dfe07e7f037&vjs=3
"Sr Associate, Data Scientist",Pfizer,Θεσσαλονίκη,"Hands-on skills in data engineering, machine learning and/or data visualization skills.
Create data pipelines for efficient and repeatable data wrangling,…",PostedΔημοσιεύτηκε πριν από 9 ημέρες,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=d93bc9218b00d459&fccid=7ff126af0cd3d93b&vjs=3
Data Scientist – Optimisation & Logistics,Trafigura Maritime Ventures Ltd,Αθήνα,Trafigura is looking for a Data Scientist – Optimisation & Logistics…,PostedΔημοσιεύτηκε πριν από 8 ημέρες,Πλήρης απασχόληση,,https://www.indeed.com/rc/clk?jk=87cfe9ee09d5a9d9&fccid=2e75f29e0007f5a0&vjs=3
