job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,Siemens,Hong Kong,"Candidates with data engineering and ETL experience will also be considered.
You will contribute to the successful realization of modern data analytics and…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=26b92ae48d0bdd85&fccid=ea6bb53f0b18b8f2&vjs=3
Associate Data Scientist,HKT,Hong Kong,"Lead data scientist team members in the development of new insights, advanced modeling techniques, and data science capabilities.",Posted8 days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=dde16e1940ab62a4&fccid=527725ca493cadbd&vjs=3
Data Scientist,IBM,Hong Kong,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Hands-on experience with distributed data/computing tools such as Spark…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=6bec4b935f535d07&fccid=de71a49b535e21cb&vjs=3
Data Scientist,Delvify,Hong Kong,"Formal training in big data analysis and knowledge in big data platform.
Leverage big data analytic techniques to build predictive models from voluminous data…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=1edc633cfa84fa0b&fccid=1d4b82cc21d61757&vjs=3
Data Scientist,Société Générale,Hong Kong,Liaise with our Data Extraction team or collect the data directly from the IT team for the data collection in compliance with information security and data…,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=05f25621ecf87126&fccid=df6948c9b8da6236&vjs=3
"Data Scientist, Innovate Jardines",Jardine Matheson,Hong Kong,"Experience with common data science toolkits to manipulate data and draw insights from large data sets, including SQL, Spark, Python.",Posted16 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=a986ae332b6a9827&fccid=e7ab4006a34ced3a&vjs=3
Senior Data Scientist,IBM,Hong Kong,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Hands-on experience with distributed data/computing tools such as Spark…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=91ec8427bb67be83&fccid=de71a49b535e21cb&vjs=3
Bioinformatician/ Data Scientist,Centre for Oncology and Immunology,Hong Kong+1 location,"Strong working knowledge of programming language (Python, Perl, C++, or R), basic data network configuration, and statistical software packages is a must.",Posted5 days ago,,,https://www.indeed.com/rc/clk?jk=3076b31daa6564ed&fccid=b8a07b287b7551c6&vjs=3
Data Scientist,Neo Derm Ltd.,Hong Kong,"Prepare data visualization reports and analytical dashboards.
Prepare outbound marketing campaign list and validate the data after list extraction.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=937e8822208c4de0&fccid=acdd7980231ab028&vjs=3
Data Scientist - Emerging Solutions,UBS,Hong Kong,"Support AI/data analytics solution implementation and deployment.
Develop Proof of Concepts using AI/data analytics technologies.",Posted30+ days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=ac587a7a32ac4643&fccid=1c76c3a36f6c7557&vjs=3
"Senior Data Scientist, APAC",Zurich Gruppe Deutschland,Hong Kong,Lead the development of distinctive analytical and risk insights that deliver improvements in business results and customer experience through the application…,Posted22 days ago,,,https://www.indeed.com/rc/clk?jk=bc7aaad3159d896a&fccid=40f6e1ba1aac8472&vjs=3
Data Scientist,Avanade,Hong Kong,"Demonstrable professional experience with data mining, analysis, modeling, of large scale, complex data sets.
Produce innovative solutions for Avanade's clients…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=cc223449fb51c12e&fccid=5386281035076fdf&vjs=3
Data Scientist (152788),Shangri-La Hotels,Hong Kong,"Develop custom data models and algorithms to apply to large data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=8a478c6a444c938b&fccid=da7c155197c82fa2&vjs=3
Junior Data Scientist x 1,Pacific Careers,Hong Kong,Work with Business teams as a data specialist to identify opportunities through data analytics; articulate business requirements and design and implement…,Posted30+ days ago,"$25,500 a month","$25,500 a month",https://www.indeed.com/rc/clk?jk=b21ac5c5989a662f&fccid=8aa104e7f8db0cd3&vjs=3
Chief Data Scientist / Data Scientist,Llewellyn & Partners Co.,New Territories,"Knowledge (essential) and experience (desirable): design and development of databases, data warehouses and multidimensional databases, statistical analysis and…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=bbae86e393792ff2&fccid=9f23909da5d5dedd&vjs=3
Data Scientist - Hong Kong - (M/F),Keyteo,Hong Kong,"Leverage data and machine learning technologies to transform data and text into actionable insights.
A love for data and a strong sense of ownership.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=0d0e5c2caa844220&fccid=1c8fa7a02e9540fa&vjs=3
Data Scientist,Feedzai,Hong Kong,"Understanding the data which our clients provide to us;
Knowledge of statistics or data visualization is a plus;",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=1a078ccaa94f5bb4&fccid=ad93a7e288dc7118&vjs=3
