job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,Mindtree,"Bengaluru, Karnataka+1 location","# Experience with integration of data from multiple data sources.
Experience on Big data technologies is an added advantage # Should be have a very good…",Posted9 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=cb79fb25627acd4b&fccid=06144ac9f6d50e38&vjs=3
Data Scientist,Siemens,"Pune, Maharashtra+1 location","5+ years of experience in data scientist role.
You will be part of Siemens Advanta/Energy team with long time experience in collecting operational data of power…",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=21049693b66ba21e&fccid=ea6bb53f0b18b8f2&vjs=3
Data & Applied Scientist II,Microsoft,"Bengaluru, Karnataka+1 location","You will design, implement, analyze and tune complex algorithms and ML models operating on large datasets in collaboration with top scientists and engineers…",Posted8 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=5ebd692a0b205ffa&fccid=734cb5a01ee60f80&vjs=3
Data Scientist,Affine,"Bengaluru, Karnataka","Substantial hands-on experience with data handling.
Able to analyze data independently and draw out salient insights.",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=52f0bde4ea0918ac&fccid=95214ac777037724&vjs=3
Junior Data Scientist,Diabsolut Inc.,Remote,"2-4 years of Experience in Data scientist.
Very fluent in SQL data bases for complex queries.
Able to carry on with data conversion from different sources.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=28787c9ab2d237e4&fccid=72c2273522802f92&vjs=3
Data Scientist,IQZ Systems,Remote,"Determining the correct data sets and variables.
Analysing the data to identify patterns and trends.
Collecting large sets of structured and unstructured data…",Posted10 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=8d7dcd8bc84a7e25&fccid=dadcf467d4c5688c&vjs=3
Data Scientist,Bosch Group,"Bengaluru, Karnataka","Experience: At least 2 years of experience of professional data science.
You will be able to explore the full world of our business data platform to generate…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=14178e3731dc6ee9&fccid=a2faf1301ac6ad4b&vjs=3
Data scientist,Honeywell,"Bengaluru, Karnataka","Mine and analyze data from company databases to drive optimization and improvement of data quality.
Enhancing data quality using AI/ML based approaches.",Posted3 days ago,,,https://www.indeed.com/rc/clk?jk=d27f39a6a619b942&fccid=50208b5bf45ee3b8&vjs=3
MB.OS: Data Scientist,Mercedes-Benz Research and Development India...,"Bengaluru, Karnataka",Aufgaben To be filled by HM Qualifikationen To be filled by…,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=014e639af2ac5061&fccid=b25343f021fb51d7&vjs=3
Data Scientist 1,PayPal,"Bengaluru, Karnataka+1 location","Leveraging data analysis tools and technologies.
Ensuring the team is delivering on our KPIs by using various data mining and data visualization tools to…",Posted3 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=ddf63986aa909c4b&fccid=978d9fd9799d55a8&vjs=3
Data Scientist - Risk Platform,GO-JEK,"Bengaluru, Karnataka","Collaborate with analysts, data scientists, product managers, validation teams across the risk organization.
This will entail identifying relevant data sources,…",Posted1 day ago,,,https://www.indeed.com/rc/clk?jk=aeceb86900559947&fccid=35c79097c1f63f3d&vjs=3
Data Scientist,PlaySimple Games,"Bengaluru, Karnataka","Hands on experience in Python/Spark for data crunching, data visualization and machine learning.
SQL skills: Experience querying large, complex datasets from a…",Posted30+ days ago,Full-time,,https://www.indeed.com/company/PlaySimple-Games/jobs/Data-Scientist-a0949bbabbd5c710?fccid=31f6b0b02ca8d41f&vjs=3
Data Scientist: Artificial Intelligence,IBM,"Bengaluru, Karnataka+1 location","As a Data Scientist at IBM, you will help transform our clients’ data into tangible business value by analyzing information, communicating outcomes and…",Posted3 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=ac9a195851fa434e&fccid=de71a49b535e21cb&vjs=3
Data Scientist,Lowe's,"Bengaluru, Karnataka","The primary purpose of this role is to translate business requirements and functional specifications into logical program designs and to deliver code modules,…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=b24ba353b6caf88f&fccid=402f23c7b01ca527&vjs=3
Data Scientist,CoRover,Remote,"Present information using data visualization techniques.
Undertake to preprocess of structured and unstructured data.
Knowledge of R, SQL, and Python.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=9dbad36ca61be9ec&fccid=db5990e3aebe4c49&vjs=3
Data Scientist,Wells Fargo,"Bengaluru, Karnataka","Perform data analysis for various risk projects, and define data validation rules and default rules.
Ensuring complete trade population and data elements to…",Posted16 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=bc8f8d1aa22187b4&fccid=78bbcd26e39621f5&vjs=3
Data Scientist - Logistics,GO-JEK,"Bengaluru, Karnataka","In this role, you will get to mine insights from the sea of data, build data products, and design experiments with the ability to see the real-time impact of…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=8c10f326f76b06e6&fccid=35c79097c1f63f3d&vjs=3
Decision Scientist - GoMart,GO-JEK,"Remote in Bengaluru, Karnataka",Assimilate huge volumes of data and provide key insights using statistical tools and data visualization methods to product and business teams.,Posted2 days ago,,,https://www.indeed.com/rc/clk?jk=8a891fd84bfec5ad&fccid=35c79097c1f63f3d&vjs=3
Junior Data Scientist,iptiQ,"Bengaluru, Karnataka","Write data transformation pipelines to prepare data for products & dashboards.
Enable the development of valuable data assets, analytics and workflows that…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=acdcaef94601938c&fccid=3d77e47fb96f2034&vjs=3
ML/Data Scientist,GiBots,"Pune, Maharashtra","Understanding of data structures, data modeling, and software.
Study and transform data science prototypes.
Select appropriate datasets and data representation…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=d828af41d69df87e&fccid=84edaf91306c0de8&vjs=3
Data Scientist 4,Lam Research,Karnataka,"Interacts with product and service teams to identify questions and issues for data analysis and experiments.
Identifies meaningful insights from large data and…",Posted4 days ago,,,https://www.indeed.com/rc/clk?jk=e70d39c02fba51b8&fccid=fb90332c857e2826&vjs=3
Data Scientist,ZEISS Group,"Bengaluru, Karnataka","Continuous improvement of the quality of data assets and their transformation methods, from basic methods to data classification and standardization, anomaly…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=447828bfa8d56d04&fccid=47148e4eb4f2966b&vjs=3
Data Scientist - GoFood,GO-JEK,"Bengaluru, Karnataka","Work closely with Product managers and Business stakeholders to understand their day-to-day problems, analyse the impact data-driven decisions can bring, and…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=b011aa04279814e5&fccid=35c79097c1f63f3d&vjs=3
