job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,ARHS Group,Belvaux,Be in charge of data science related projects in our Research Center to ensure quick win and upskilling of the local taskforce.,PostedPosted 8 days ago,Full-time +1,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AF-Br4ed-mkr0UkmWyJYsepxO79Soj9tJ4TJU6ipOTmZfdlKHETcoBHq-S8aLZOcMRok3jvoXWmILUmgv6fHooxrBwxj6HMEzZcYH3K0bWhW38baZ-JdnL8ElHMkhuSo9VR0htA8W9gy3kOoQYtuWsBxDq56BTzSaWgjpMDesHb4J72PHOEVnhOTu7RIKsIxTAiCEvc92g9SDj0EYIK0Sk6V4WZOB3I1XcN_3v0Z3xrZR2EFF7qwaYCb8ldKTiBNEnRQ0DC0ZMG0xkZ1AcIXEF1K0Xf9qwA3tnxK8AKLg1gQ6BzcKdZkgEQMngcPTlDMV3fOCN2nGr_NTnczJ8q8I2bUbnLlmFCzD6-jvff9BCi8OhsyihhaoMlUoxiUL2YP9ZM6fIdZL0jNLhNJ269fwxTcEUH_Ev4TRiOxykZTtShYaKyrPrrdQ3u7bZATNJnLBeyZiM0DATXslhua1MyvoMXZ9jHhTkjSMt5rUQSLsZiYngOaqUaZSlsUqYg03e-8mc_ZeUOwfWW-zptNqyRlILHHl9cakGlTXs6k0iZqGW6lOUBNVjYQeY2BKJb9UIp9p3uR7iqxaVYGIXp3zv-g9YjVrVm9OoZ5KGIXC5dWhPD83zxHXVrF3qHyWAcZ8YlCd3H1d_v_rPmtwR4uaRv-2Rcrg9CoOVLaQizbT2t8KJAR09tp67y3g4P-3VNWhg1RaMg0aeX2l_zw96n1pI3wQ9PXR7Coplx7w=&xkcb=SoB1-_M3b6tm6TRr8p0LbzkdCdPP&p=0&fvj=0&vjs=3
HR Data Scientist,FERRERO,Luxembourg,"In this role you will leverage HR data to create descriptive, predictive, and prescriptive models.
Experience in big data environment and experience in AI,…",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=58c69c485a450b4a&fccid=eee7926421c87651&vjs=3
Junior Data Scientist / Artificial Intelligence Consultant (...,Deloitte,Luxembourg,"Gather raw data and create data visualization scenarios, as well as dashboards under the guidance of project team.
Strong data & logical analysis skills.",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=21e2187c736fcc94&fccid=9e215d88a6b33622&vjs=3
DATA SCIENTIST,FERRERO,Luxembourg,"Guide and mentor junior data scientists on existing analyses and new capabilities creation.
Strong understanding of media data including traditional and digital…",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=332d2f73177b3ade&fccid=eee7926421c87651&vjs=3
Trainee Date Scientist,Orange,Luxembourg,"You have small knowledge on data visualization tools such as Tableau and Data Studio.
During this internship, you will help the data team migrate some of the AI…",PostedPosted 18 days ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=438cbc39d5dc5309&fccid=c345b06b9f22e507&vjs=3
Data Scientist (f/m/d),Dennemeyer The IP Group,Luxembourg,"Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.",PostedPosted 11 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=f7083fe969b44a0e&fccid=f14739bcd09153fb&vjs=3
Data Scientist,ARHS Cube,Luxembourg,Be in charge of data science related projects in our Research Center to ensure quick win and upskilling of the local taskforce.,PostedPosted 8 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=23cdfc3c669cf8e8&fccid=2c80108b9470492a&vjs=3
Senior Data Scientist,Sogeti,Luxembourg,"Vous aimez le travail au sein d'une équipe motivée et disposez de qualités d'analyse et de synthèse.
Définir et Maintenir les offres Machine Learning / AI / big…",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=e5857b1e1b2bd606&fccid=6eb97fc774cb61be&vjs=3
Data Engineer,Luxembourg Institute of Health,Strassen,"Communication with medical users and data scientists;
Involved in the design and implementation of full cycle of data services, from data ingestion, data…",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=c6773fed46d19f4a&fccid=97173b309cc44a00&vjs=3
"Research Scientist, GTTS Science",Amazon EU SARL,Luxembourg,"Lead science work, mentor junior scientists and work side by side with fellow applied scientists in the team.
Excellent written and verbal communication skills.",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=34790cd3dd8d4b35&fccid=fe2d21eef233e94a&vjs=3
