job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,Kenniscentrum Gezond en Duurzaam Leven,Utrecht,"A completed master's degree with a clear data science or statistical component;
Raw sensor data goes into the model and we want the highest possible accuracy…",Posted18 dagen geleden geplaatst,Deeltijds +1,,https://www.indeed.com/rc/clk?jk=064ed9736e9da96e&fccid=5b1269d15657acd4&vjs=3
Data Scientist - Tijdelijk,Independent Recruiters,Amsterdam,"In deze positie zal je deel uitmaken van het commerciële analytische team bestaande uit 10 data scientists.
Je geeft advies aan stakeholders waar nieuwe kansen…",Posted9 dagen geleden geplaatst,€ 85 - € 95 per uur,€ 85 - € 95 per uur,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmb4fKr--abzpIWiIV9U4QN2QqF55OuUJFAPz5k8HBDnnmo9AcPrV8uU5uvdRz2FSONiYodNjEB1N-xtIR6ILOTdXEkEBDCuadgnWOmTR961yphJz9r3755UosQmhaLIbUIX6J2uNkUFVPf56Fs3Znu2wP35deXvqI3tjoNvzFD41MK5dDDlC2Lm7SFpOjhsIGJqTKJGT3I0zF6LGAwZeCELDMZiXPah5ak1zmSpRn_fKIqMANS5T-B_fwbYr3Fh-KStxZS3zovuJuDWHlsQe7bc7t_CDZsqq_L-56AcQGUHutaAvCfqavhb5at7TedCWscA9fQMHecsMEjdBLPuODXmuBkWuPdQlTVx_c-Kv_em5P0FP5ndiOeI_pSQ9Meno-zIAd_nRQitDvo-mRa3hGCZz-Bz0oirnNhegwGjXOdYJPRZXBCTIeV0fVSRKl4vY8XIgzLQbwLvhUDDVLByPnwW5hyQClbG2wx87b69WYeTUf0O6OMa_IznH6UrBPNISoOVY9on45miU21kRG5iDbWB9ST4zobJ2qCZbbp56KTAxsesemJKeatLNJm16xddDY3sdj-D4nLJi9gmJbAsrEnoDGz_F7L5uVOAOHFw1AkrE4af5oIALKFKOHx3EXmK7pQLS1LVERIDLoEwyIxkmFKEHxbk-rSU6DVSrxt39QF4VMYH97QbdwINbVgC2P9cGMhyVzowT-IKjxOyeM0maAbzbm4kqWY-oVvaB2dkCp1xZf9uatSDpfu9uhAWzbrcY=&xkcb=SoBI-_M3b6g_I3fTdh0KbzkdCdPP&p=1&fvj=0&vjs=3
Research Data Scientist,Meta,+1 plaatsThuiswerken,"We are looking for hands-on experienced data scientists who can collaborate effectively with partner engineering organizations, fellow data scientists and…",PostedMeer dan 30 dagen geleden geplaatst,,,https://www.indeed.com/rc/clk?jk=cd3ea5cb05626f1e&fccid=ba07516c418dda52&vjs=3
Data Scientist,FindHotel,Thuiswerken in Amsterdam+1 plaats,"You have the ability and interest to work with huge amounts of high-dimensional travel data.
You have experience in building scalable algorithms, you have some…",PostedMeer dan 30 dagen geleden geplaatst,,,https://www.indeed.com/rc/clk?jk=948259db6a3a018b&fccid=044b3cb638ffa750&vjs=3
Field Data Scientist,MasterCard,Hybride werken in Amsterdam+1 plaats,"Proactively nurture & maintain one-on-one relationships with customer data scientists, with the aim of providing deep insights for development of fraud models.",Posted4 dagen geleden geplaatst,Voltijds,,https://www.indeed.com/rc/clk?jk=f17cb4b2306ab411&fccid=10b5c722d846df43&vjs=3
Junior Data Scientist - Personalization,ING,Thuiswerken in Amsterdam,We are looking for experienced data scientists to help us build the next generation of customer interaction experience at ING.,PostedMeer dan 30 dagen geleden geplaatst,,,https://www.indeed.com/rc/clk?jk=2d410c42ca2f2fc2&fccid=5b16841c3468a10d&vjs=3
Data Scientist Inkomen,Achmea,Tilburg+2 plaatsen,"Als data scientist ben jij hier in de lead.
Je houdt het niet bij ideeen, je levert ook echt nieuwe data-oplossingen.",Posted9 dagen geleden geplaatst,€ 3.993 - € 5.557 per maand,€ 3.993 - € 5.557 per maand,https://www.indeed.com/rc/clk?jk=46290cde617b2ad5&fccid=5669a89b3a19b7fa&vjs=3
(Junior) Data Scientist,IG&H,Postcode 3528 in Utrecht,"You’re resourceful in finding additional data sources and recoding variables.
As a Data Scientist you’ll delight our clients by transforming giant, complex…",PostedMeer dan 30 dagen geleden geplaatst,€ 2.778 per maand,€ 2.778 per maand,https://www.indeed.com/rc/clk?jk=78935aa3094b1501&fccid=12ba83711d8ef09f&vjs=3
Data Scientist,Walters People,Utrecht,"Managing and optimizing data flows and data analyses.
Make coherence in the different types of data.
Recognizing patterns in big data and building prediction…",Posted23 dagen geleden geplaatst,€ 4.800 - € 5.800 per maand,€ 4.800 - € 5.800 per maand,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DgOAGrtyix9YPeI81G6czGlan50HhJ9TRbX4elWZNxhmpK2WqdXZL_IwU1ZpZ6kRkw5Sae7LZd-9mbDFRhTTVe4IqvLxWRwWMzvjKUbkfDAwIb0WwExrlIHbXyz93_9QJ-G3jkICLrd1L7dphRu3QzVcDiLKYNC2UFBCYNqRPH39DSRHLy04zDZRNCaYMALCLHBENxVN9Wu3J0G6S9VLTUnvOYlT_qZl-L5vNCCzoL5HlbhL4HprNYsISOHY9onoCOwc1N-GsVfiEHTyTBqZc6-NLOv0VIj_rp5f-ll_IJlbKGXFbap1I5MKHB4yIFJRfFXy_jUBScq0d1tzFlJhIwak9Xsv7psbOOLNZtc0u_r4eYY5i96VMyLnyXduxvs_NcQOMdRlhxPMG2q0fyG6w2ytAEyJbIoeR4xKjhs8hVDBxywHusSXcnqJbGOGjCrxtjnv4mrwtM3gFlRa0EMZl5eiPkA8vAZGfZRzV1mm6TNYs5x5tmWw4d-0ta2bYOY8l7Z8Q7Hhv21GXrUAx6wyi4NPZGl2AAYUoRQJXup8pTe_FcWDlwSzFYQ1FSH7OnEMxt5gkv9OrNdaNLc05BicRx_pZ5JgPSN_nFHQ1y-n4v8ksqGKZs4fF0D_VRM6EZRRKgQ4_8AJ5nQtLrsNLtGa8t0yTT0kbHhdFdhdP5_cyL9uBouVIoJ5rucOqPKvnsdWtqFTBzqS0_PeCuO9YQ_m6I7qWt6By_RY2GzUJ4W_0xnamNnUIOsJ3T&xkcb=SoAe-_M3b6g_I3_Tdh0ObzkdCdPP&p=8&fvj=0&vjs=3
Data Scientist - QuantumBlack,McKinsey & Company,Amsterdam,You will work on the frameworks and libraries that our teams of data scientists and data engineers use to progress from data to impact.,PostedMeer dan 30 dagen geleden geplaatst,,,https://www.indeed.com/rc/clk?jk=75c4e5d74f635da0&fccid=6576e7250aa78c3c&vjs=3
