job_title,company,location,job_summary,post_date,more_info,salary,job_url
Seeking Ambitious Data & Analytics Specialists,KPMG,"Wellington City, Wellington","Experience building and optimizing data pipelines, architectures, and data sets for large-scale commercial environments.
— Eligibility to our annual bonus plan.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=fa0846c91b660c40&fccid=2dd390c3a48a7ed0&vjs=3
Data Scientist,OMD NZ,"Auckland City, Auckland","Minimum 5 years of experience in a commercial or academic data science role, with experience working with large data sets and technology platforms.",Posted18 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=ecc7e767196aed7f&fccid=4ff7471a0a594244&vjs=3
Data Scientist,New Zealand Police,"Wellington City, Wellington","Experience in business intelligence, data warehousing/platform, and data strategy projects.
Provides the business with support to utilise existing in-house…",Posted2 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=6aadc0d89ebdd46b&fccid=94a996a4660fdf37&vjs=3
Lead Data Scientist,Countdown NZ,New Zealand,"Guide and drive the shift towards better data science practices.
Design and drive the automation of everyday data science tasks.",Posted2 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=83be648ac8d7567d&fccid=e10ae0bf23198b2e&vjs=3
Associate Environmental Scientist,Jacobs,"Remote in Wellington City, Wellington","Preparation of risk assessments and method statements, data collation and analysis.
With a workforce of 55,000 operating across much of the globe, we leverage…",Posted30+ days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=99185852d66dd30d&fccid=de56d7554bea5214&vjs=3
Field Scientist - Waireka Research Center,Corteva Agriscience,"New Plymouth, Taranaki","Is responsible for test item application, disease inoculations and evaluations as well as timely upload of data to pertinent data bases.",Posted1 day ago,Full-time,,https://www.indeed.com/rc/clk?jk=6a247d5ebec5e4ff&fccid=d2536e400fa1f147&vjs=3
Data Engineer,Countdown NZ,New Zealand,Our team is highly talented and works with some of the latest Google technologies to deliver data-driven insights through advanced analytics.,Posted23 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=277660a0f056bb98&fccid=e10ae0bf23198b2e&vjs=3
Graduate Water Engineer,AECOM,"Hybrid remote in Christchurch, Canterbury","Assist in data collection and analysis.
This requires working in multi-disciplinary teams to deliver local projects through to significant international…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=1405539149554636&fccid=bafa4b35e9cd20ce&vjs=3
Senior Data Scientist - Engineering Applications,Transpower,"Wellington City, Wellington","Use complex structured and unstructured data to support critical initiatives.
Proficiency in utilising data visualisation tools including Microsoft Power BI.",Posted8 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=95d4a7860777ccf3&fccid=926fbd36d29a1b6c&vjs=3
Data Engineer - Modelling,Countdown NZ,New Zealand,"You must be comfortable working on cloud data platforms, handling large volumes of data and be passionate about the influence and value you will create from…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=09a4a22c39c2bf34&fccid=e10ae0bf23198b2e&vjs=3
