job_title,company,location,job_summary,post_date,more_info,salary,job_url
Natural Resources Scientist,"Geosyntec Consultants, Inc.",Lagos,"Assist with developing work plans, evaluating data, and preparing a variety of technical documents and environmental permit applications;",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=b150c0c6a8a1d69b&fccid=bd76dce80af676b9&vjs=3
Senior Data Scientist,,Nigeria,Perform advanced Feature Engineering tasks across a variety of data sources seeking for features economic sense and systematically explore data to elicit hidden…,PostedPosted 2 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=63e8842b011d4736&fccid=dd616958bd9ddc12&vjs=3
Data Scientist Recruitment at First Bank of Nigeria,First Bank of Nigeria,Lagos,"Minimum experience: 3 years as a data scientist.
Build ingestion processes to, prepare, extract, and annotate a rich data variety of structured & unstructured…",PostedPosted 9 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=4993acebb5a4d6a0&fccid=c702d390c6093daa&vjs=3
Graduate Transportation Planner,AECOM,Abeokuta,"+ Assisting in data collection and analysis.
Early work with us will typically be supporting senior staff with technical input into a variety of projects.",PostedPosted 1 day ago,Full-time,,https://www.indeed.com/rc/clk?jk=b9a6d0265a9d5a9f&fccid=bafa4b35e9cd20ce&vjs=3
Electrical Engineer Level I,Worley,Abeokuta,"Assist with the preparation of detailed designs and drawings, specifications, data, calculations and reports.
Perform electrical engineering services such as:",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=d4de1b37d13653fd&fccid=d9805af20a6c196e&vjs=3
Senior Scientist I - Gender and Social Research,International Rice Research Institute,Benue,"Proven technical expertise in research design and data analysis.
Proven track-record in mentoring and coaching peers and young scientists.",PostedPosted 10 days ago,,,https://www.indeed.com/rc/clk?jk=1aafd0fab22aafa2&fccid=b4c9dbd60aa99620&vjs=3
"Senior Staff Environmental Geologist, Engineer or Scientist","Geosyntec Consultants, Inc.",Lagos,"Aquifer testing and hydrogeologic data analyses;
Groundwater modeling and 3D data visualization;
Chemical data and contaminant fate & transport evaluation;",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=572f20b3c5d1ba60&fccid=bd76dce80af676b9&vjs=3
Graduate Transportation Engineer,Worley,Abeokuta,"Assist with the preparation of roads detailed designs and drawings, specifications, data, calculations and reports.
Perform civil engineering services such as:",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=34ba8c9657a18094&fccid=d9805af20a6c196e&vjs=3
Lead Electrical Engineer,Worley,Abeokuta,Ensuring QSGTL and statutory requirements including DEM1 and DEM2 standards are identified and addressed in the Electrical equipment design across all Purchase…,PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=fccab532c664f812&fccid=d9805af20a6c196e&vjs=3
Senior Electrical Engineer,Worley,Abeokuta,"You will provide electrical engineering services to Worley and its customers, including technical support and supervision within the electrical engineering team…",PostedPosted 15 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=3b793db5b4d07d68&fccid=d9805af20a6c196e&vjs=3
Senior Environmental Engineer,Worley,Abeokuta,"To provide environmental management consultancy services to the various Advisian/Worley clients.
Clients can be internal Advisian/Worley business units/offices…",PostedPosted 2 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=0b0c5ca64af76dac&fccid=d9805af20a6c196e&vjs=3
