job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist Intern,OXO Solutions,Norge,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.",Posted30+ dager siden,Praksis,,https://www.indeed.com/rc/clk?jk=c66322df2113db8c&fccid=72608fee1e921f8c&vjs=3
Data Scientist,Memory AS,Hjemmekontor in Norge,"Hands-on experience in predictive modeling and data analysis.
Help uncover the full potential of new and existing data sources by recommending use cases.",Posted30+ dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=a75af45820687cff&fccid=e822fb394bd314e6&vjs=3
Data Scientist,Gothia Holding AS,Oslo,"Used to working on data “with personality”, in other words, data that has been gathered for a different purpose than building machine learning models.",Posted22 dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=08073b1586d09a5e&fccid=a6459cdd3662db4b&vjs=3
Data Scientist,VEVO,Midlertidig hjemmekontor,"At least 1.5 years of experience working as a data scientist.
Passion for data science advocacy and education.
As a member of our team, you will.",Posted30+ dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=9a4f87f85a0004bb&fccid=b8c6cc06d26efa5c&vjs=3
Data Scientist Fulltid Lexolve,Lexolve,Oslo,"Proficient in data pipelines and data warehouses.
Higher education within technology and data science.
Advocate data driven decision process across the business…",Posted30+ dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=d95312c2644df975&fccid=7bdc82f366219ba9&vjs=3
Data Scientist,Aztek-karriere,Oslo,"Vi bistår våre kunder med å møte morgendagens utfordringer ved hjelp av kunstig intelligens og avansert analyse, slik at de kan ta proaktive beslutninger som…",Posted30+ dager siden,,,https://www.indeed.com/rc/clk?jk=bbdb8481ea93a478&fccid=8de4682f76f80f83&vjs=3
Nyutdannede teknologer 2023,NoA Ignite Norway,Oslo,"Vi ser nå etter deg som kan tenke deg å jobbe som backend eller frontend utvikler, eller du som ønsker å spesialisere deg til data scientist.",PostedI dag,,,https://www.indeed.com/rc/clk?jk=8d66567a9bda7ac9&fccid=8da66f46cc5ef6c9&vjs=3
Junior Data Analyst,Xeneta,Oslo,"Work with data scientist, tech, product and other stakeholders to come up with new data management solutions and actionable insights that improve the customer’s…",Posted3 dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=8b62f3f1331e1508&fccid=d6a79c2ac268a633&vjs=3
Senior Data Scientist,Cognizant,Oslo,"You will be working in a variety of data science settings, using a diverse set of tools to automat computational statistics.
Job Posting : Feb 21 2022.",Posted30+ dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=2ffdfaa62473118b&fccid=2df6a1e69a70a1e7&vjs=3
Research Scientist LNMO - Graphite,Morrow Batteries,Oslo,"Generate and organize project presentations and technical data for internal and external reviews.
You will analyze the overall performance of LNMO//Graphite…",Ansettelse pågår,Heltid,,https://www.indeed.com/company/Morrow-Batteries/jobs/Research-Scientist-Lnmo-c4aea32267764f38?fccid=ca455c54f1559d72&vjs=3
Data scientist - Biodiversity Informatics,Universitetet i Oslo,Oslo,"Supporting RIs, data publishers, and data users with both technical and data standards-related questions.
Research experience with relevant data types including…",Posted30+ dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=a36c94f5fd616f87&fccid=4db157b2d19498a5&vjs=3
Data Scientist,PNC Norge AS,Oslo,"PNC Norge AS is looking for a Commercial Administrator to join company’s project team at the construction site situated in Minnesund, Eidsvoll area.",Posted30+ dager siden,,,https://www.indeed.com/rc/clk?jk=e4339ef8535d0b63&fccid=a0f3d4b5f8ce027a&vjs=3
Kilter is looking for an engaged AI Data scientist,KILTER AS,Langhus,"You will work directly on our core machine learning models, test models on real life data and work in a collaborative team of other data scientists and…",Posted30+ dager siden,,,https://www.indeed.com/rc/clk?jk=7d3e36eeff069ce2&fccid=afb89fed8ecb8dee&vjs=3
Drug Safety Scientist,GE Healthcare,Oslo,"Ability to summarise and analyse data, experience with safety database preferred.
Run accurate queries and provide standard outputs of the data from the safety…",Posted30+ dager siden,,,https://www.indeed.com/rc/clk?jk=6f6d9ae59a8be46b&fccid=65b5f2aba4dbd31f&vjs=3
Data Scientist,Evyon,Oslo,Are you are a battery engineer with a strong interest in evolving into data analytics or the other way round: a data scientist with a strong interest in…,Posted13 dager siden,Heltid,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B2WYB5nUIf-nu8IexjBrTCOI-EIfgJEpLl-C_Vi97ErftAXPNx-epA4RecmNvHfrS0uYn_UkA3JufT8i9vmDXhNvOUm6TM8vJAuYSWm6M8C5iYYvVWPSp-WTaBKV0oSUrAlkR6kjsLiJ7L1MTmmLJ6V3UHtgZDVNbOGNunqkiMhw_kZ8TTNaxKOt0apqdxl_ljC-f6wACoio6Dl1-xrQ7k6_4e26M5pLb5bbtDmvj1gD8GzW8R84_H4MAm11yErRNSgPBTbkfp6O9MXRytfkc3es1XhTgsz8pD_4t3_vw2fmTvTCMHSyq94KwnGiC02X5eS-kfEIPoFt9cTae3EomxFF7uFhLuw7h7AP3yb9CX9z8g0T25wSSAFUfYw-4cqYSUg1tpAhFbEyy0UyrWNgde9P5qaW0VxHP1d29cP1RbcqvRh8iUh1Xq_k4LTqZLGt3yNDgs_kCnLXKE8Bm_Zd3qJG6Yfzp3cBplQSXCisVfh1wcSEQVTe_pBKkYUOfb6-cC8rg382w-o6Qmkh0U2xiY9y2xkDZzcOQ=&xkcb=SoCn-_M3b6AKoeQFm50PbzkdCdPP&p=14&fvj=0&vjs=3
DATA SCIENTIST - Data management & Analytics,Skill,Oslo,"Vi skal bygge det råeste teamet i Norge knyttet til analyse og datadrevet beslutningsstøtte.
Våre viktigste oppgaver i DM&A er å levere moderne datavarehus i…",PostedPublisert for mer enn 30 dager siden,,,https://www.indeed.com/rc/clk?jk=6b393676045489fd&fccid=1367a0ee2c120403&vjs=3
DATA SCIENTIST - Data management & Analytics,Skill AS,Oslo,"Vi skal bygge det råeste teamet i Norge knyttet til analyse og datadrevet beslutningsstøtte.
Våre viktigste oppgaver i DM&A er å levere moderne datavarehus i…",PostedPublisert for mer enn 30 dager siden,,,https://www.indeed.com/rc/clk?jk=47eed3cc48519985&fccid=0bb6e5c431b23acc&vjs=3
Senior Bioinformatics Scientist,Bio-Me AS,Oslo,"In collaboration with the bioinformatics group and colleagues in the lab, the scientist will use their knowledge of molecular biology, algorithm development,…",PostedPublisert for mer enn 30 dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=ef89c6888756e284&fccid=b104e5d2c9f48a62&vjs=3
Reseacher in Systems Engineering and Innovation,USN,Norge,"Such systems, have abundant related data from multiple sources, both operational (in-company) and contextual (public).
Master’s and/or Phd thesis.",PostedPublisert for mer enn 30 dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=da8837961bb7af6d&fccid=ddd6600339edab1b&vjs=3
Medical Data Scientist,Pacertool AS,Oslo,"Knowledge of medical data processing and its limitations.
Helping to uncover the full potential of new and existing data sources.",PostedPublisert for mer enn 30 dager siden,,,https://www.indeed.com/rc/clk?jk=f5f90025e181d178&fccid=4bea62d19be0b1a1&vjs=3
Data Scientist Innovasjon og Utvikling,Eviny AS,Bergen,"Erfaring med strukturering av data og prediktiv modellering.
Mastergrad/phd innen datavitenskap, matematikk, statistikk eller andre relevante fagfelt, praktisk…",PostedPublisert for mer enn 30 dager siden,,,https://www.indeed.com/rc/clk?jk=9c5d66c7309feba9&fccid=315127df26d8c1aa&vjs=3
Graduate 2023 - Subsurface: Data And Digital,Equinor ASA,Oslo,You will have the opportunity to work with a variety of areas developing your digital and data knowledge and integrate with other key subsurface disciplines.,PostedPublisert for 5 dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=ed32181ec687815f&fccid=32f4aa05edfbbe63&vjs=3
Lead Data Scientist,Zedge,Trondheim,"Experience with Machine Learning, Statistics, or other data analysis tools and techniques.
Experience performing data extraction, cleaning, analysis and…",PostedPublisert for mer enn 30 dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=a3863ebd9498574a&fccid=71be02fc7ac37dcc&vjs=3
Data Managers,Cegal AS,Sandnes,"An experienced data scientist with a strong geoscience background.
Diskos and other data sources.
Seismic, well and production data management.",PostedPublisert for mer enn 30 dager siden,,,https://www.indeed.com/rc/clk?jk=97fbcc588aac6422&fccid=fb1cdbc2893ef134&vjs=3
Data Scientist/rådgiver/konsulent,Fraktal Norge AS,Sandnes,"Vi utvikler integrasjoner som sørger for flyt og utveksling av data.
Dette øker verdien av kundens data og nettopp dette er det vi brenner for.",PostedPublisert for 22 dager siden,,,https://www.indeed.com/rc/clk?jk=95befdf6462a837c&fccid=41f9ef4a2c6d0885&vjs=3
Data Scientist,Seksjon analyse,Oslo,"Tilby brukerne våre mer personalisert og relevant innhold til enhver tid.
Ha høyere utdanning, minimum bachelorgrad innen statistikk, anvendt matematikk,…",PostedPublisert for mer enn 30 dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=50bebd5f47f27697&fccid=5baf739c350e0d62&vjs=3
"Scientist, Process Development",Thermo Fisher Scientific,Lillestrøm+1 plassering,"Experience with statistical experimental design and data analysis tools.
Prepare and present data for internal and external clients.",PostedPublisert for 2 dager siden,Heltid,,https://www.indeed.com/rc/clk?jk=2dddf694a75b1f46&fccid=126e3afd205caa95&vjs=3
Junior Analytics Associate – McKinsey Digital,McKinsey & Company,Oslo,"You’ll work in teams of typically 3-5 consultants including data scientists and data engineers, playing an active role in all aspects of client engagement.",PostedPublisert for 8 dager siden,,,https://www.indeed.com/rc/clk?jk=7cbe987fe92cf988&fccid=6576e7250aa78c3c&vjs=3
