job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist / Data Engineer (m/f/d),Siemens,Remoto in Amadora,"Be part of an international team of data scientists and machine learning engineer with diverse backgrounds, utilizing AI and data analytics methods to…",PostedAnunciada há mais de 30 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=97c386530b0a6fa9&fccid=ea6bb53f0b18b8f2&vjs=3
Python Data Scientist - Sustainable Energy (m/f/d),Siemens,Amadora,"Experience with data visualization tools (e.g., Plotly).
Experience in pre processing of structured and unstructured data, pattern identification.",PostedAnunciada há 1 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=a3b18a738ff34c36&fccid=ea6bb53f0b18b8f2&vjs=3
Data Scientist – Innovation Program (Manufacturing Digital),Bosch Group,Braga,"Ensure data quality and integrity;
Interpret and analyze data problems;
Align data projects with organizational goals;",PostedAnunciada há mais de 30 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=0a73c217e1910463&fccid=a2faf1301ac6ad4b&vjs=3
Data Scientist,Rumos,Remoto in Santarém,"Formação superior na área das Tecnologias de Informação;
Experiência profissional mínima de 4 anos em Data Science, incluindo análise, engenharia, visualização;",PostedAnunciada há mais de 30 dias,,,https://www.indeed.com/rc/clk?jk=4b938bb910de6126&fccid=db6e67af8b536064&vjs=3
Remote | Data Scientist - Customer Success,OLX,Remoto,"At least 3 years of professional data science experience.
Experience with building batch and real-time data pipelines using tools like Spark and Airflow.",PostedAnunciada há 5 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=3737e513f37442a6&fccid=15124feed843be38&vjs=3
VP of Data & Analytics,Onfido,Remoto,"Deep understanding and experience architecting data platforms including data warehousing, data ingestion, processing systems as well as self-serve analytics.",PostedAnunciada há 23 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=aa8c3d6f95aa8c40&fccid=2b4b70d77fa86986&vjs=3
Data Scientist,Wiliot,Remoto,"We are looking for a data scientist with proven hands-on skills to join the team and build high-performing, scalable applications that turn time-series…",PostedAnunciada há mais de 30 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=ee36a36d04478f63&fccid=ab4bc0f901c4a322&vjs=3
Data Analyst,EatTasty,Remoto,"You will report directly to the Head of Bizops and work closely with our software developers, data analysts and data scientists on data initiatives and will…",PostedAnunciada há mais de 30 dias,,,https://www.indeed.com/rc/clk?jk=c4c55de0be33bd3b&fccid=91b299053179a794&vjs=3
Data Scientist (Porto),IT PEERS,Maia,"Mestrado ou doutoramento em Ciência de Dados, Analítica ou similar;
Domínio de linguagens de programação como Java, C#, Python, etc.;",PostedAnunciada há mais de 30 dias,,,https://www.indeed.com/rc/clk?jk=38ec4ddac69e68bc&fccid=6570b4da5a8bcc39&vjs=3
Machine Learning Scientist,Zendesk,Remoto,"In particular you will be embedded in a multi-functional team, closely collaborating with other scientists, engineers and product.",PostedAnunciada há 11 dias,,,https://www.indeed.com/rc/clk?jk=889295244e0baa9d&fccid=41e8f9abd9840a7a&vjs=3
Data Scientist,Irium Portugal,Lisboa+1 local,"Image pre-processing and data augmentation techniques.
✔ Design and implement solutions for image data augmentation.",PostedAnunciada há 1 dias,Período Integral,,https://www.indeed.com/company/Irium-Portugal/jobs/Data-Scientist-61df17db03a0f415?fccid=79607298bd5c67c3&vjs=3
Senior Data Scientist - Rankings,PTC Group,Oliveira de Azeméis,"Experienced in dealing with large amounts of data and building data pipelines;
Interested to keep up-to-date with scientific advancements.",PostedAnunciada há mais de 30 dias,,,https://www.indeed.com/rc/clk?jk=833bbabf827cb811&fccid=1a5254fc315f9172&vjs=3
Staff - Data Scientist | Lisboa,EY,Lisboa,"Knowledge about data management technologies and methodologies: data modeling, SQL, ETL;
Management and analysis of complex data using a variety of tools and…",PostedAnunciada há 22 dias,,,https://www.indeed.com/rc/clk?jk=de18f94916f152f0&fccid=1544766d4c2915b0&vjs=3
Data Scientist,Vestas,Porto,"As a data scientist in Control Platform Software, you will be part of a diverse and international organization working closely together with colleagues in DK…",PostedAnunciada há 30 dias,,,https://www.indeed.com/rc/clk?jk=ebf87e4938e78d81&fccid=4e8a74cd622db073&vjs=3
Analytical Scientist (M/F),Hovione,Lisboa,"Discuss and review analytical data generated by the team.
Gather relevant data to inform the decision makers regarding complex issues.",PostedAnunciada há 4 dias,,,https://www.indeed.com/rc/clk?jk=b352492e3843c162&fccid=0c84d0202dff3d50&vjs=3
Data Scientist - Product,Feedzai,Lisboa,"Understanding the data Feedzai generates and processes.
Work together with a functionally diverse team of product managers, data scientists, software engineers,…",PostedAnunciada há 29 dias,,,https://www.indeed.com/rc/clk?jk=2fc45f8ad58cd84a&fccid=ad93a7e288dc7118&vjs=3
Junior Data Scientist,Watt-IS,Carnaxide,"Data cleansing and preparation tasks.
Maintain & improve existing Data Analytics modules.
Develop new functionalities for existing and new projects.",PostedAnunciada há mais de 30 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=8aff60beaeb128e1&fccid=0bb43c9f3f62168a&vjs=3
DATA SCIENTIST (M/F),Altran,Lisboa,"Formação superior em Engenharia Informática, Matemática ou Química, etc..;
Interesse/conhecimentos em Machine learning e Deep learning;",PostedAnunciada há mais de 30 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=56ee4954cdc59c49&fccid=4cedac39f7fd617d&vjs=3
Data Scientist (Traineeship),NOKIA,Remoto híbrido in Amadora,You will perform reverse engineering based on SAP data and perform data transformations to build and validate the semantic data model.,PostedAnunciada há mais de 30 dias,,,https://www.indeed.com/rc/clk?jk=6daadd1a6460bc2a&fccid=3444e7c94299ba32&vjs=3
DATA SCIENTIST (M/F),Sonae,Matosinhos e Leça da Palmeira,"Interação com as diferentes áreas da empresa;
Ambiente cloud (Azure, AWS), máquinas virtuais, containers, webservices, VPN, IoT;",PostedAnunciada há 24 dias,,,https://www.indeed.com/rc/clk?jk=de738b6e87efd52b&fccid=c917e448db9ad21e&vjs=3
Data Scientist Trainee (m/f/d),Siemens,Amadora,"Data Analysis of large volumes of IoT data.
Ability to leverage expertise in data gathering, analytical, and problem-solving work.
Deep learning is a plus.",PostedAnunciada há mais de 30 dias,Período Integral +1,,https://www.indeed.com/rc/clk?jk=9a454dc66366de90&fccid=ea6bb53f0b18b8f2&vjs=3
Data Scientist,Growin - Know to grow,Remoto híbrido in Porto,"Experience with automate data collection processes.
Experience in developing predictive models using algorithms.
Knowledge in Python or R.",PostedAnunciada há 9 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=46bdc2d278f70f71&fccid=af79a6af3ca7b6ea&vjs=3
Senior Data Scientist,Closer,Lisboa,"Experience communicating findings to other data scientist and project leaders;
3+ years of experience performing data science projects;",PostedAnunciada há mais de 30 dias,Período Integral,,https://www.indeed.com/rc/clk?jk=8effabc13b3a0698&fccid=e2b87e306733f46a&vjs=3
Data Scientist,PTC Group,Porto,"Choosing optimal solutions to use in big data use cases, then maintain, implement, monitor and integrate them with the data and IT architecture used across the…",PostedAnunciada há mais de 30 dias,,,https://www.indeed.com/rc/clk?jk=e0c3140acdba98c8&fccid=1a5254fc315f9172&vjs=3
Senior Data Scientist,PTC Group,Porto,"Mentor junior data scientists involved in the project.
The ideal candidate would be able to design and implement data science models to find patterns in the…",PostedAnunciada há mais de 30 dias,,,https://www.indeed.com/rc/clk?jk=c588b7942a6d8b3d&fccid=1a5254fc315f9172&vjs=3
Data Scientist,International Business Consulting,Porto,"We are seeking a Data Scientist to work within our fun, hardworking environment in order to help design data modeling processes, create algorithms and help…",PostedAnunciada há mais de 30 dias,,,https://www.indeed.com/rc/clk?jk=e77fb5b373a6c406&fccid=17958f3a67c22bdd&vjs=3
Data Scientist Natural Language Processing,Irium Portugal,Porto+1 local,"✔ Design and implement solutions for text data augmentation.
Text pre-processing and data augmentation techniques.
Experience dealing with large-scale datasets.",PostedAnunciada há 1 dias,Período Integral,,https://www.indeed.com/company/Irium-Portugal/jobs/Data-Scientist-Natural-Language-Processing-dca4f30b6178cca0?fccid=79607298bd5c67c3&vjs=3
