job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist - Global Team,thyssenkrupp Bilstein S.A.,Sibiu,"Connection of new data sources in production including data pre-processing and development of appropriate data architectures.
Meal tickets worth 420 lei.",Postedacum 5 zile,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=fe9d6bff8f4acb52&fccid=420b500a4ca0d81f&vjs=3
Data Scientist-Artificial Intelligence,IBM,București,"To create and develop end-to-end data driven solutions to support client's business units.
As a Data Scientist at IBM, you will help transform our clients’ data…",Postedacum 25 zile,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=7b9f254b121362d6&fccid=de71a49b535e21cb&vjs=3
Data Scientist,RE COLLECTION SRL,București,"Exploring and utilizing of diverse data sources related to the Real Estate Market.
Familiarity with R libraries for handling geographical data (e.g. sp, rgdal,…",Postedacum 26 zile,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=4adeb0fcb9f19f22&fccid=2d67e4faad9b89aa&vjs=3
Data Scientist,Heineken,București,"Python pentru data science (nice to have).
Sub Function: Digital & Technology - Master Data Management.
Crearea de automatizari prin care datele sa parcurga…",Postedacum 4 zile,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=f9dd302c447e233b&fccid=9d3fc2c7bbc80ecb&vjs=3
Knowledge Data Scientist,Morningstar,București,Manage and execute smart technology aimed to retrieve and analyze relevant data from the web and/or many offline documents.,Postedacum 4 zile,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=74ccd558751b33e9&fccid=acfb0b086b8f975d&vjs=3
"Data Scientist for AI Solutions, Engineering Center (Buchare...",Bosch Group,București+1 locaţie,"You develop and maintain the data mining solution libraries, data visualizations and analytics results;
You have good understanding of data structures and…",Postedacum 15 zile,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=4c589ed13b86373a&fccid=a2faf1301ac6ad4b&vjs=3
Data Scientist,SAS Institute Inc,București,"As a Data Scientist in Customer Advisory you will be an owner of all related activities needed to generate demand for the next generation of SAS Analytics,…",Postedacum 30+ zile,,,https://www.indeed.com/rc/clk?jk=87d1923c65fd54bd&fccid=0288b34a02030660&vjs=3
Data Scientist - Identity Fraud,Bolt Technology,București,"Working in product feature teams together with data scientists, data analysts, product managers and software engineers.
.",Postedacum 10 zile,,,https://www.indeed.com/rc/clk?jk=8e821669744691f6&fccid=780d3c40e3ac32cf&vjs=3
Data Scientist,EY,București,Data Wrangling – proficiency in handling imperfections in data is an important aspect of a data scientist job description.,Postedacum 3 zile,,,https://www.indeed.com/rc/clk?jk=60a3a21c6777dcfe&fccid=1544766d4c2915b0&vjs=3
Data Scientist (Remote),Sensor Tower,Romania,"Present results of various data analysis.
Experience with adjusting data for bias.
You would take data all the way from doing initial analysis to building data…",Postedacum 30+ zile,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=f8293e7bd0ab3646&fccid=c659788ec6cc356e&vjs=3
Data Scientist,Veeam,București,Partner with business stakeholders throughout the organization to identify opportunities for leveraging corporate data.,Postedacum 30+ zile,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=95ce93070f24f408&fccid=3230dafcfcdfd652&vjs=3
Intern - Data Science and Machine Learning,SAP,București,"Excellent understanding of statistical and technical methods to produce relevant insights out of huge amounts of data.
English at advanced level is a must.",Postedacum 28 zile,Ucenicie,,https://www.indeed.com/rc/clk?jk=14ed9aa3b3ffec67&fccid=156c7820d1988640&vjs=3
Data Scientist,Inetum,București,"Spark and Big data technologies experience.
Work with leading developers, analysts, product managers and business owners on growth opportunities and new ideas…",Postedacum 30+ zile,,,https://www.indeed.com/rc/clk?jk=829204b0e547199e&fccid=e463fc7104734a53&vjs=3
Data Scientist - Data Analyst,IBM,București,"Hands-on experience analyzing large data sets from various sources ats (data cleaning,.
Transformation, dealing with unstructured data).",Postedacum 30+ zile,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=38f91e2334e57030&fccid=de71a49b535e21cb&vjs=3
Data Scientist,Afiniti,București,"Perform exploratory data analysis to develop understanding of data and gauge its accuracy.
Ability to use SQL to work with large data sets.",Postedacum 11 zile,,,https://www.indeed.com/rc/clk?jk=30d143116975afc7&fccid=b699f89e027ca757&vjs=3
Jr. Applied Scientist,Amazon Dev Ctr (Romania) S.R.L,București+1 locaţie,"Strong communication and data presentation skills.
The successful candidate will have an entrepreneurial spirit and be passionate about developing reliable,…",PostedPostat cu peste 30 de zile în urmă,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=2bf277f09ca68027&fccid=fe2d21eef233e94a&vjs=3
Data Scientist (Advanced Analytics),SoftServe,Romania,"Practical experience and extensive knowledge in Applied Statistics and Data Mining to identify hidden patterns in data, evaluate current data flow, or develop a…",PostedPostat cu peste 30 de zile în urmă,,,https://www.indeed.com/rc/clk?jk=3356ae4052971048&fccid=56d296ed723ab79f&vjs=3
Data Scientist,ALTEN Romania,Romania,"Active participation in the development of smart and data-based machine functions.
Experience with cloud, big data, front and/or backend technologies is…",PostedPostat cu peste 30 de zile în urmă,,,https://www.indeed.com/rc/clk?jk=cf337fc26dae9bdf&fccid=f452ff89851e4578&vjs=3
Data Scientist,888holdings,București,"Spark and Big data technologies experience;
Work with leading developers, analysts, product managers and business owners on growth opportunities and new ideas…",PostedPostat cu peste 30 de zile în urmă,,,https://www.indeed.com/rc/clk?jk=5328effb3566f190&fccid=cedcf885e09b3652&vjs=3
SENIOR DATA SCIENTIST PROGRAMMER JD,SmartX NET APPS,București,"Data manipulation: data mining, data exploring, data preparation, data aggregation.
Our future colleague feel comfortable in working across our entire data…",PostedPostat cu peste 30 de zile în urmă,,,https://www.indeed.com/rc/clk?jk=bda6962c65f1bb0b&fccid=8f74d4f8d4be47f3&vjs=3
Data Scientist,Sparkware RO,București,"Spark and Big data technologies experience;
Work with leading developers, analysts, product managers and business owners on growth opportunities and new ideas…",PostedPostat cu peste 30 de zile în urmă,,,https://www.indeed.com/rc/clk?jk=6e9b405fee626c52&fccid=7ef4a0b5b368c6bc&vjs=3
Data Scientist (Fixed Term 2 years),LSEG (London Stock Exchange Group),București,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop processes and tools that turn raw data into usable products.",PostedPostat cu peste 30 de zile în urmă,Cu normă întreagă +1,,https://www.indeed.com/rc/clk?jk=77556dad8fc79fd8&fccid=2d181105260f6454&vjs=3
"Applied Scientist , Customer Targeting Data and Privacy",Amazon Dev Ctr (Romania) S.R.L,București+1 locaţie,"Our systems operate at a massive scale and rely heavily on data aggregation, data mining, and machine learning.
Advanced level of written and spoken English.",PostedPostat cu peste 30 de zile în urmă,Cu normă întreagă,,https://www.indeed.com/rc/clk?jk=66102814f6a724ed&fccid=fe2d21eef233e94a&vjs=3
Data Scientist Logistics,DRÄXLMAIER Group,Timișoara,"Coding Knowledge using statistical computer languages (e.g.: C, Python, SQL, VBA, DAX) to manipulate data and draw insights from large data sets;",PostedPostat cu peste 30 de zile în urmă,,,https://www.indeed.com/rc/clk?jk=16e784daa88cb22b&fccid=c1110a0ca575452c&vjs=3
