job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,Media24,"Cape Town, Western Cape","Analysing custom analytics data, paywall data, Google Analytics data and other sources, to provide insights to business.
Experience with source control (Git).",PostedPosted 1 day ago,,,https://www.indeed.com/rc/clk?jk=4449375f5611c63f&fccid=41e824c03394b801&vjs=3
Data Scientist,IQbusiness South Africa,"Johannesburg, Gauteng","Set-up and maintain data diaries.
Verify and clean data prior to running analytics.
Develop, and apply R scripts with a view to produce advanced, automated…",PostedPosted 1 day ago,R420 000 a year,R420 000 a year,https://www.indeed.com/rc/clk?jk=495390bebe265b1a&fccid=216597317ca63017&vjs=3
2023 Junior Data Scientist,BDO South Africa,South Africa,"Experience/knowledge of data governance, data lineage and other data management principles.
Experience/knowledge of data governance, data lineage and other data…",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=479e326ee1148868&fccid=3639654bd4055c70&vjs=3
Data Scientist,Property24,"Remote in Nuweland, Western Cape","Proactively identify data improvement opportunities and insights to the business.
Use machine learning techniques to improve the quality of data.",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=50ce60d10d7454a9&fccid=785c7c855368b3d6&vjs=3
Swine / Pigs - Monogastric Nutritionist,Fourier Recruitment,"East Rand, Gauteng","Well as interactions with marketing to develop and leverage resulting data into sales.
Responsible for quality control, analysis and interpretation of trial…",PostedPosted 5 days ago,R35 000 - R40 000 a month,R35 000 - R40 000 a month,https://www.indeed.com/rc/clk?jk=09df65f38d422b42&fccid=1060127bb26d1435&vjs=3
Data Scientist,The Foschini Group,"Parow, Western Cape","Data mining of credit bureau and other external data to provide insights and trends.
Extraction and preparation of data for internal development projects as…",PostedPosted 5 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=df13c7f7ea9cd71d&fccid=2a978f78453aef31&vjs=3
Data Scientist,Health Systems Trust,"Durban, KwaZulu-Natal","Undertake data wrangling (data cleaning and remediation).
Ability to source and combine data from structured and unstructured sources, including routine data…",PostedPosted 2 days ago,Full-time,,https://www.indeed.com/company/Health-Systems-Trust/jobs/Data-Scientist-e8fc663f3b506d5b?fccid=845a714f3c7596e0&vjs=3
Data Engineer C,FirstRand,"Johannesburg, Gauteng","Experience - 3 to 5 years in Extract, Transform and Load (ETL) of data from source systems or experience in data integration for consumption use cases.",PostedPosted 1 day ago,,,https://www.indeed.com/rc/clk?jk=3a826f9807c9063a&fccid=c08740860a28e995&vjs=3
Data Scientist,Mediro ICT,"Pretoria, Gauteng","While being part of this dynamic team, you will assist external clients with their project needs. To apply for this role you need to have Power BI experience…",PostedPosted 2 days ago,,,https://www.indeed.com/rc/clk?jk=215cd1745415a2f2&fccid=1385a9803de5af15&vjs=3
Junior Data scientist,Carlysle Human Capital,"Johannesburg, Gauteng","You will solve problems using data and machine learning techniques within various industries.
You will be responsible for creating mathematical and statistical…",PostedPosted 9 days ago,R360 000 a year,R360 000 a year,https://www.indeed.com/rc/clk?jk=0cc5062ec66ad75d&fccid=8f432a257279a467&vjs=3
Full Stack Developers,Insticc Digital,"Johannesburg, Gauteng","Work with data scientists and analysts to improve software.
Create security and data protection settings.
Our project entails implementing UI, constructing API,…",PostedPosted 2 days ago,,,https://www.indeed.com/company/Insticc-Digital/jobs/Full-Stack-Developer-af061910e148d12e?fccid=dd616958bd9ddc12&vjs=3
Junior Data scientist,Carlysle,"Remote in Johannesburg, Gauteng","You will solve problems using data and machine learning techniques within various industries.
R 360000 - R 500000 Annually Basic Salary (Bonus, Negotiable).",PostedPosted 30+ days ago,R360 000 - R500 000 a year,R360 000 - R500 000 a year,https://www.indeed.com/rc/clk?jk=b321e7761bbf84d7&fccid=d2fc590904a492dd&vjs=3
Data Scientist,PBT Group,"Cape Town, Western Cape+1 location","Design data integration from multiple systems into manageable data warehouses and analytic data models.
Provide in depth analysis of data using data mining and…",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=962b46c39ec19e4e&fccid=e4cdb635362dc866&vjs=3
Data Analyst/Scientist,SoluGrowth (Pty) Ltd.,"Johannesburg, Gauteng","Initial data investigation and exploratory data analysis.
Acquire, clean and normalise data.
Harness relational data for normalisation and performance…",PostedPosted 30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=ead960ebaafa7804&fccid=771e465d83b0fd03&vjs=3
Data Scientist,Hi-Tech Recruitment,Remote in South Africa,"Identify valuable data sources and automate collection processes; undertake data wrangling.
Study and transform data science prototypes.",PostedPosted 30 days ago,R45 000 - R75 000 a month,R45 000 - R75 000 a month,https://www.indeed.com/rc/clk?jk=f238a239a2004f1b&fccid=6ef3d781c9b78715&vjs=3
Senior Data Scientist,Discovery Ltd.,"Sandton, Gauteng","Experience in interactive data exploration and data-driven story telling.
Expert in data manipulation skills including SQL to extract, transform and load data.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=d60abb18b38a697a&fccid=4638c19e34a6a140&vjs=3
Data Scientist,takealot.com,"Cape Town, Western Cape","Proficient at gathering and wrangling big data sets from various sources including, SQL databases, Big Query, APIs, Excel/Google Sheets.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=63b90ac1ed5215d8&fccid=1a87b4c6f9946a15&vjs=3
Data Scientist,Career Minded,"Johannesburg, Gauteng","They are currently recruiting for a range of Data Scientists, from junior to senior.
You MUST have solid SQL programming skills and could have worked with any…",Posted30+ days ago,R30 000 - R70 000 a month,R30 000 - R70 000 a month,https://www.indeed.com/rc/clk?jk=37399b6fdf4db77e&fccid=afe4a3210810a910&vjs=3
BI Data Engineer,Sanlam,"Bellville, Western Cape","Load large, complex data sets to and make data available for other data engineers.
Engage with a wide range of technical stakeholders including data scientists,…",Posted1 day ago,,,https://www.indeed.com/rc/clk?jk=6d98ab11255abb36&fccid=261173cfefa40d1f&vjs=3
Data Scientist III,FirstRand,"Johannesburg, Gauteng","Data mining and data modelling.
Concepts such as: Exploratory data analysis, Data Science Pipeline lines.
All appointments will be made in line with the Bank’s…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=1fbb1415da2dd9ff&fccid=c08740860a28e995&vjs=3
Data Engineer,Unilever,"Johannesburg, Gauteng","Experience building and optimising data pipelines, architectures and data sets.
Experience with building processes supporting data transformation, data…",Posted3 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=908269e8cc90a6e1&fccid=37e886222e0cbb3a&vjs=3
Senior Data Scientist,PBT Group,"Johannesburg, Gauteng","Design data integration from multiple systems into manageable data warehouses and analytic data models.
Provide in depth analysis of data using data mining and…",Posted24 days ago,,,https://www.indeed.com/rc/clk?jk=5c563e481019903d&fccid=e4cdb635362dc866&vjs=3
Data Analytics: Consultant : Actuarial and Analytics Solutio...,Deloitte,"Midrand, Gauteng","Preparation and exploration of client data including statistical analyses.
Assist with analytical and data science modelling for specific client requirements.",Posted2 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=4dbe99294c06fc97&fccid=9e215d88a6b33622&vjs=3
REPL Group - Senior Data Scientist,Accenture,"Centurion, Gauteng+1 location","Comfortable working with different data science tools.
Provide data science expertise and support as required to the wider organisation.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=48160db5073d4d03&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist,THE SKILLS MINE (PTY) LTD,"Cape Town, Western Cape","A minimum of 3-5 years working experience within a data analysis, data scientist or data engineering environment.",Posted11 days ago,R40 000 - R50 000 a month,R40 000 - R50 000 a month,https://www.indeed.com/rc/clk?jk=09f3f8ece77f9165&fccid=5cc7f95a65d7e2fd&vjs=3
Data Engineer II|Data and Analytics|2|242101|Professionals|S...,FirstRand,"Johannesburg, Gauteng","Experience - 3 to 5 years in Extract, Transform and Load (ETL) of data from source systems or experience in data integration for consumption use cases.",Posted1 day ago,,,https://www.indeed.com/rc/clk?jk=5516d7bf97a3117e&fccid=c08740860a28e995&vjs=3
Data Scientist,People Source,"Johannesburg, Gauteng","Technical competency in either database, programming, software development or simulation modelling an advantage.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=ec4b9f5c0adabfa2&fccid=3eae77053216bc19&vjs=3
Senior Data Scientist - Audit Quality & Risk Department,Deloitte,"Midrand, Gauteng","Design and Implement automated data comparisons to trigger certain processes.
Creating logic links between data from various systems to facilitate cross system…",Posted11 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=058ae86953e76fa7&fccid=9e215d88a6b33622&vjs=3
Junior Pen-testing Engineer,Accenture,"Midrand, Gauteng","Perform manual penetration tests of services, infrastructure, networks, mobile applications, web applications, and IoT devices to discover and exploit…",Posted12 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=4dd28db7115e08c7&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist,Sabenza IT,South Africa,2-3 Years Experience with Python and R.,Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=d070401e3858c8c8&fccid=df091578c26599b6&vjs=3
SM: Data Research & Analytics,Nedbank,"Johannesburg, Gauteng","Exposure to Nedbank data architecture and landscape.
Build a deep understanding of the data architecture across Nedbank, data owners and the datasets available…",Posted2 days ago,,,https://www.indeed.com/rc/clk?jk=43faa8690ff4cfe4&fccid=e5b0c7e8f0872636&vjs=3
Data Scientist Intermediate,Sabenza IT,South Africa,"Data Scientist - Intermediate IT Cape Town - Western Cape Our client, in the FMCG space is recognized for operating one of the largest online grocery…",Posted12 days ago,,,https://www.indeed.com/rc/clk?jk=594111fe8e4f0c5a&fccid=df091578c26599b6&vjs=3
Research Scientist,SHARON NUROCK RECRUITMENT CC,"Durban, KwaZulu-Natal","Interpret results and summarise data for technical reports.
Statistical analysis of data using software such as Minitab and Graphpad Prism.",Posted16 days ago,,,https://www.indeed.com/rc/clk?jk=af16c654a2676faa&fccid=93a8f8b657d545f6&vjs=3
ORAN Integration Engineer,Accenture,"Midrand, Gauteng",Gain an in-depth understanding of functionalities and standards of 2G (GSM) / 3G (UMTS) / 4G (LTE) / 5G Mobile Technologies.,Posted12 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=3c0957e315082935&fccid=a4e4e2eaf26690c9&vjs=3
Data Analyst/Data Scientist † Durban/Umhlanga Rneg!,Paton Personnel,"Durban, KwaZulu-Natal","Passion for data, technical skills and business acumen, secures exciting and influential role.
Quantitative/Analytical or Technology qualification a good…",Posted3 days ago,,,https://www.indeed.com/rc/clk?jk=0dcc2bde587b69bf&fccid=7c0af9c3fc0e869b&vjs=3
Data Scientist - Machine Learning (m/f/x),ITONICS GmbH,"Cape Town, Western Cape","Several years of professional experience as a data scientist.
Help drive the data and machine learning initiative at ITONICS.
Very good command of English.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=68187cbb93b072b6&fccid=57063cb611a4b3d6&vjs=3
Data Scientist,Mass Staffing Projects,"Kempton Park, Gauteng+1 location","Job Description: We are currently working with a dynamic, fast-paced, reputable organization who is looking for a Data scientist to add value to their team.…",Posted30+ days ago,R800 000 a year,R800 000 a year,https://www.indeed.com/rc/clk?jk=bd057241cd8231fe&fccid=e78d1a1c06467894&vjs=3
Life Sciences & Healthcare: Consultant - Actuarial & Analyti...,Deloitte,"Midrand, Gauteng",Relevant tertiary qualification preferably in Life Sciences and Healthcare (enabling the candidate to work with complex data sets and business questions)Post…,Posted2 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=c77711bc8c7b09d2&fccid=9e215d88a6b33622&vjs=3
Senior QC Scientist,BBI Group,"Cape Town, Western Cape","Ensure that all data is trended and review trending data against specifications to identify any out of trend results, specification changes etc.",Posted25 days ago,Full-time,,https://www.indeed.com/company/BBi-Group/jobs/Senior-Qualitycontrol-Scientist-76177847eca07aa1?fccid=5b1a52abeda7678e&vjs=3
Data Scientist (Remote),Datafin IT Recruitment,+1 locationRemote,"Proactively identify data improvement opportunities and insights to the business.
Use Machine Learning techniques to improve the quality of data.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=390fffe157ffd5d6&fccid=26d01f64c124ba71&vjs=3
Senior Data Scientist (Modeling),TransUnion,"Johannesburg, Gauteng","Experience working with credit bureau data and solutions preferred.
You’ll be responsible for developing credit risk, fraud and customer solutions through…",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=06c915125b09fb0d&fccid=663ece44ae074b32&vjs=3
Senior Data Scientist Engineer/AWS Data Architect,IBM,"Johannesburg, Gauteng","Using AWS Quicksight for data analysis and visualization.
Develop data processing pipeline using AWS Glue and Data Hub.
To think along with clients and sell.",Posted4 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=28c688c5a136633f&fccid=de71a49b535e21cb&vjs=3
Senior Data Scientist,DataOrbis,"Johannesburg, Gauteng","Provide support and leadership role to the other data scientist.
Identify and act on new opportunities for data driven business in data science and analytics.",Posted30+ days ago,Full-time,,https://www.indeed.com/company/DataOrbis/jobs/Senior-Data-Scientist-d1cf9b10a024b31f?fccid=de72be740b26c4de&vjs=3
Data Engineer,OfferZen,"Remote in Cape Town, Western Cape","Analysts and data scientists have access to data through our warehouse and tooling.
As a Data Engineer working on our modern data platform, you will help…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=893ebdd00a1f420b&fccid=879a62b6121692b6&vjs=3
Data Scientist,Capital Assignments,"Cape Town, Western Cape","Depth in data modelling and database design.
Must have experience as an enterprise data architect.
Knowledgeable or conversant in established and emerging data…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=bd4bd18f571af195&fccid=9a47123176417c1b&vjs=3
Data Scientist,Armstrong Appointments,"Cape Town, Western Cape","Excellent understanding of data analytic techniques.
At least 3 years’ experience working on data science initiatives.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=82b1bc31694e340c&fccid=dd616958bd9ddc12&vjs=3
Data Scientist Mr Price Group,Mr Price Group,"Durban, KwaZulu-Natal","Advanced data analysis skills in Excel (e.g. data aggregation, visualisation and pivot tables).
SQL, Relational DBMS and data modelling.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=fa1a9486cac2b020&fccid=ebdaa24584302de5&vjs=3
Data Scientist / Analyst,Pro Talent,KwaZulu-Natal,"Ability to handle, interpret and analyze data efficiently.
The candidate will be responsible for managing the entire deliverable: from spec gathering, data…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=9d8e019499c7a97c&fccid=186757698673df73&vjs=3
Lead Data Scientist,eSmart Group,"Johannesburg, Gauteng+1 location","Explain sophisticated data science concepts in an understandable manner.
Significant experience applying advanced analytics to a variety of business situations…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=ad95d65cd929f1a0&fccid=1e56d356a2e22ac3&vjs=3
Technology Consultant,Accenture,"Midrand, Gauteng",3 Year Tertiary Qualification and/or relevant security engineering experience.,Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=8c1db6af6f007719&fccid=a4e4e2eaf26690c9&vjs=3
Data Scientist (JHB),Datafin IT Recruitment,South Africa,"This includes investigating data visualisation and summarisation techniques for conveying key data.
Consider and integrate relevant macro factors into data…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=a43efd450e90a1e3&fccid=26d01f64c124ba71&vjs=3
Candidate Engineer - Water Resources,AECOM,"Durban, KwaZulu-Natal","+ Collects and analyzes data under the supervision of an experienced engineer.
+ Data management and manipulation.
+ Builds analytic and design skills.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=becc15b52d80d296&fccid=bafa4b35e9cd20ce&vjs=3
Remote Senior Data Scientist,Matrix Analytics Group,Remote in South Africa,"Develop custom data models and algorithms to apply to data sets.
Assess the effectiveness and accuracy of data sources and data gathering techniques.",Posted10 days ago,,,https://www.indeed.com/rc/clk?jk=9f3cecedcee6cacb&fccid=dd616958bd9ddc12&vjs=3
Junior Data Scientist,Valenture Institute,"Cape Town, Western Cape","Data engineering: Work alongside data engineers to build data pipelines using workflow orchestration tools.
2+ years experience across the data science workflow…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=28e76f8d6a094100&fccid=8b368c970d2e1935&vjs=3
Data Scientist (Experienced),PRR Recruitment Services,"Johannesburg, Gauteng","Having to deal with credit bureau is to collect accurate, up-to-date, relevant, complete, valid data that is not duplicated.",Posted30+ days ago,R45 000 - R70 000 a month,R45 000 - R70 000 a month,https://www.indeed.com/rc/clk?jk=7bd9b8c9c3ce853e&fccid=a4bf7e93f92792dd&vjs=3
Manufacturing Operator 1,BBI Group,"Cape Town, Western Cape","This is a permanent, full time position based at our facility in Cape Town.
As a Manufacturing Operator 1, you must follow rigid procedures in the manufacturing…",Posted25 days ago,Full-time,,https://www.indeed.com/company/BBi-Group/jobs/Manufacturing-Operator-a455a35ef643c7fd?fccid=5b1a52abeda7678e&vjs=3
Candidate Quantity Surveyor,AECOM,"Bellville, Western Cape+1 location","Researches legal records, looks for evidence of previous boundaries, and analyzes the data to determine the location of boundary lines.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=f81c2bce39d48020&fccid=bafa4b35e9cd20ce&vjs=3
