job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist junior,Page Personnel,"Teletrabajo in Madrid, Madrid provincia","Formación STEM (Matemáticas, Física, Estadística o similar).
Programación avanzada con R/Python.
Se valorará: PySpark, SQL, Java, Vertex AI, tensorflow..",PostedPublicado hace más de 30 días,Jornada completa,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcpmLZ00HOUpZ02saIE7eM93x6P7P9_8fA41v6w6he96n3RQ9Aj7Tt_27lhQAlljtG0aTN8j05-ixvbCAZqTY_chZI5Q6GG1ahG_w7I08XQDPWHZ4ioeozItc95qEf2nNr384YPhLzd7YrwdtgjnZJ4xAtb1rKvm1cG5uhvItC30pITKQpNL01veKg-El3y-U9WsPTnKLnXsXursIjjiezsM7L4aSPKx-KKbOy57nDjvlSKYtdS0Onam62dvQHikSLJev_p0MQ6w8GBSLPmVLlEAC9tyIVe5bQT_vlSol32Fda2k9FliAlrIEZB9ONCaOJoM8b_iCAC9E_qNlHWxsgDjz24mlygXtT66vpQODfGEuFf7wRYrSAgIp9RPsHTxFEkt_76aJC8ejz7roAv8LqA3Xbs6MNd0N4Xzo4ZgaIJRXUAjWK-jSupNHqddzvVPrEJVQzeDiCkARkhH7SBQzAA9SR1fHVrBA5DEgAe_sNW5U_pa6dA1GL3hg30JDHOzrmOCLlUhuO-Msjm6BAKSXsY8lKJatVhmLdNFST1Vr2VuyyceTSB61teihui1LTI2heual15Ci1fKACGvVfHTk8wiNt_UWv_FoQnBkKEBFFiRYQQjtt2_Gxa18MIDVPUetxk6FHzIJL5Ugnl5vv0Zj7_Kw1mWnM9jRg6MI-0Z5e8Q==&xkcb=SoAi-_M3b6ugDtgP3j0LbzkdCdPP&p=0&fvj=1&vjs=3
Research Data Scientist,Meta,Teletrabajo,"Experience with data visualization libraries such as Matplotlib, Pyplot, ggplot2.
Experience with Machine Learning, Statistics, or other data analysis tools and…",PostedPublicado hace más de 30 días,Contrato en prácticas,,https://www.indeed.com/rc/clk?jk=e5ec2e0130352121&fccid=ba07516c418dda52&vjs=3
Junior Data Scientist,Lurtis Rules,Andalucía,"Predictive maintenance for infrastructure/engineering, sensor-based data.
Desirable: Parallel computing, image processing, and data visualization.",PostedPublicado hace 5 días,,,https://www.indeed.com/rc/clk?jk=46a34ed77f80437d&fccid=bc0a17fdc04a2d78&vjs=3
Data Scientist,Indicia Worldwide,Teletrabajo,"The candidate will be adept at using data mining and science techniques to analyse large, structured, and unstructured data sets to find patterns and insights…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=cdab72276d63e62e&fccid=a084ea79bda439a0&vjs=3
AI | DATA SCIENTIST | COMPUTER VISION ENGINEER,Techyon Espana,"Teletrabajo in 29005 Málaga, Málaga provincia","Liderar los procedimientos de data mining y recopilación de datos.
Nuestros Recruitment Engineers seleccionan los mejores perfiles IT para prestigiosas empresas…",PostedPublicado hace 8 días,,,https://www.indeed.com/rc/clk?jk=c71a670e2057f459&fccid=d56fd8cbecd1f3ae&vjs=3
Data Scientist (Remote),Sensor Tower,Teletrabajo,"Data Scientists at Sensor Tower are hybrid data scientists and software engineers.
Present results of various data analysis.",PostedPublicado hace más de 30 días,Jornada completa,,https://www.indeed.com/rc/clk?jk=d378f267e45d4039&fccid=c659788ec6cc356e&vjs=3
Data Scientist,Teknei,"Teletrabajo in Bilbao, Madrid provincia","Posibilidades de promoción, retribución flexible, posibilidad de teletrabajo, jornada continua los viernes y durante el verano y muy buen ambiente de trabajo.",PostedPublicado hace más de 30 días,Jornada completa,,https://www.indeed.com/rc/clk?jk=c0d6ada0b182778b&fccid=8458b2dbb6f62d4b&vjs=3
Data Scientist,Ericsson,"Málaga, Málaga provincia","Decide approach for data science.
Design & perform data science experiments.
Convert data into useful insights.
Synthesize problems into data question(s).",PostedPublicado hace 5 días,,,https://www.indeed.com/rc/clk?jk=81beb16b4bdf922f&fccid=82656d64a9a3e6a7&vjs=3
Data Scientist BNP Paribas Cardif,BNP Paribas,"Madrid, Madrid provincia","Encontrar y saber buscar las fuentes de datos pertinente.
Entender el negocio y buscar objetivos de mejora.
Evaluar la calidad y la riqueza del dato.",PostedPublicado hace 5 días,Jornada completa,,https://www.indeed.com/rc/clk?jk=2f77735e67dae9aa&fccid=1392500f835bba92&vjs=3
"Data Scientist (Churriana (Málaga), ES, 29140)",Bestseller A/S,"29140 Dos Hermanas, Málaga provincia",Buscamos una persona que se sienta comoda/o trabajando con base de datos muy grandes los cuales se encuentran en diferentes almacenes de datos y en diferentes…,PostedPublicado hace 9 días,Jornada completa,,https://www.indeed.com/rc/clk?jk=f13a5729e58401e9&fccid=a696efce645636cc&vjs=3
