job_title,company,location,job_summary,post_date,more_info,salary,job_url
Clinical Scientist,Global Kader Personal,"6343 Rotkreuz, ZG","(contract until 31.07.2023, with possible extension).
The incumbent works proactively with CPS and global functions to analyze products of the CPS portfolio…",Posted30 days ago,Full-time,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARQDC_qrQjF0HzqnH6bs_tHyoZ1NTDkhvBMqdnzgc72JWHOYAYdgj1FeF0wISrPeSBzgwR82DR5snr3bIQgz1RJQsRZnYEmQJw1j8DmjN0I0IO9lPssycjijzPW5iYZcFKCE8TgZXTkeYGlhqI6wPzAgYolOMeJY99cNHpEceJievnL4QiRRhTXBX_C0sovInV6OsXmF13xFFG7lCWF6-vcQLhaCZUDvbP1SgUmLk3aOE2HhYVnBQiloKGlIx58VsU0BLgPg0S4gfvpcYuwx1T9IdNln4p0rGsbzpaMytGPsSYVeu9biSuTLCd4e_8sXgWcibyEhihem47R3Uwz6DpIa9CNUXiAhSHC092i3yoO2NWhkvX0eHm6TbR4jT9ftOYNxqviSSyyWLf-ggjFk3su1QQdJ_RQ5ccVwL-Ln4RHQ39_RikiLNn_R5fROh03lJmgHjjmyDpjOqgbE3vdgjuU2aCVObMANrTJhK6CzO0dv0IRrKjDfLSpVH01Yw_iz3xGDp6exqhrKgcs74CoYbSwz5tinqE_zoBG1jPNLP7YQ==&xkcb=SoDp-_M3b6hcqKxGph0LbzkdCdPP&p=0&fvj=1&vjs=3
Data Scientist (Student),Oracle,"Zürich, ZH","Thorough understanding of CS fundamentals including data structures, algorithms and complexity analysis.
Strong problem-solving skills with 3+ years of related…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=116d8b0a962a38fc&fccid=cd22d01053af7669&vjs=3
Data Scientist,ANDRITZ AG,"Vevey, VD","Conduct and manage studies combining operation data, environment data and engineering expertise for problem solving in hydropower plants.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=520770bc3f980662&fccid=31dc3ff412a8dc30&vjs=3
Junior Scientist - Data Sciences and Precision Nutrition,Nestle,"Lausanne, VD","Participate in the generation, communication and archiving of generated data.
Master the use of phenotyping techniques for mitochondrial function and autophagy…",Posted12 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=12f773982f151ab2&fccid=bfdac90a7574b77c&vjs=3
Data Scientist,BIP - Business Integration Partners,"Remote in Zürich, ZH","Present information using data visualization techniques.
Undertake preprocessing of structured and unstructured data.
Combine models through ensemble modeling.",Posted29 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=a099ff5b14fc46ca&fccid=c7fb5f7b576a671c&vjs=3
DATA SCIENTIST INTERN,Richemont,"Plan-les-Ouates, GE","Work on data quality models.
Work on data structure and projects:
She/he will work on developing best practices on data analytics in the team and will support…",Posted30+ days ago,Internship,,https://www.indeed.com/rc/clk?jk=649af9c0bd27147a&fccid=8e2946f10f334da4&vjs=3
"Data SCIENTIST (f/m/d), Part-time or Working Student",Apollo Ventures,Remote,"We are looking for a talented and passionate data scientist to join the current small and diverse team of biologists and data scientists, working 20hrs /week…",Posted30+ days ago,Part-time,,https://www.indeed.com/rc/clk?jk=1eabaf5b7ef7e38f&fccid=d67aa3ad84fbd122&vjs=3
Data Scientist,iptiQ,"Zürich, ZH",Apply analytical methods and algorithms to build data products that streamline the process from data collection to insight generation for various insurance and…,PostedToday,,,https://www.indeed.com/rc/clk?jk=823651f30a80c0f5&fccid=3d77e47fb96f2034&vjs=3
Data scientist engineers,Predictive Layer,"Rolle, VD","You worked on open-data correlations with industrial signals, weather, events, calendar, financial markets.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=223252b1d9a6ad84&fccid=3431485e261d0f7a&vjs=3
PV Scientist,Biogen,"Baar, ZG","Conducts literature review for safety information and interacts with other groups to obtain necessary data (i.e., Epidemiology, SAE data).",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=bdcbd3d50887c624&fccid=04233dcb6353e8e1&vjs=3
