job_title,company,location,job_summary,post_date,more_info,salary,job_url
Data Scientist,MARS,Dubai,"Create repeatable, interpretable, dynamic and scalable models that are seamlessly incorporated into analytic data products.
Advanced degree will be preferred.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=b185de78ff829782&fccid=6f49e88f14c18b75&vjs=3
Data Scientist,ERNIESYS,UAE,The data scientist will be instrumental in advising business strategy and pricing models through extensive analysis of healthcare claims data.,Posted30+ days ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=f3d859e573c5cea9&fccid=fc7563f236a23c52&vjs=3
Data Scientist,Millennium Management LLC,Dubai,"Improve the quality of existing datasets, ensuring data is clean and reliable and merging with the different sources to create an official “best” data.",Posted18 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=e02ba30be7677c62&fccid=548e0909717a6ddf&vjs=3
Data Scientist,Affaan Technologies,Dubai,"Create algorithms to extract information from large data sets.
Establish scalable, efficient, automated processes for model development, model validation, model…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=1f7ac72465db3e92&fccid=91403a4d32ee84b1&vjs=3
Data Scientist,BUNA,Abu Dhabi,"Knowledge of data science, data visualisation, analytics tools, standards analytics and data mining techniques, software development, and programming.",Posted15 days ago,,,https://www.indeed.com/rc/clk?jk=31f9f716c789624e&fccid=d04bdab9dee6b011&vjs=3
Research Scientist 2,Julphar,Ras al-Khaimah,"Review of analytical development data and systematic compilation of the assign product data.
Job Title: Research Scientist 2 Division: Research & Development…",Posted1 day ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=f3a4be94cb88bb9a&fccid=02ea1bee6fdc4b67&vjs=3
Chemistry Scientist - Organic,Group 42,Abu Dhabi,"Knowledge of statistical methods for data analysis.
Best practices for method and result data handling and information management.",PostedToday,,,https://www.indeed.com/rc/clk?jk=1d428aa0db702e83&fccid=23b2370d56bcfd64&vjs=3
Data Scientist and Analytics Manager,Halian,UAE,"Practiced in the use of large data set, including transactional data, and ideally in the use of non-traditional data such as sentiment, social media etc.",Posted5 days ago,,,https://www.indeed.com/rc/clk?jk=054a18bc5d0f21f2&fccid=36028905bb7e7da7&vjs=3
Data Scientist,iSpatial Techno Solutions,Abu Dhabi,"Experience in data mining Undertake pre-processing of structured and unstructured data.
Experience using business intelligence tools (e.g. Tableau) and data…",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=a39156a72ca40321&fccid=8263760a86a53854&vjs=3
IFS - HC - People Analytics Data Scientist Senior Associate,PwC,Dubai,"Supporting people data-driven projects - inclusive of proof of concepts and enabling initiatives (e.g. data gathering, quality reviews, and data governance.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=cc040fafc9337e1b&fccid=5e964c4afc56b180&vjs=3
