job_title,company,location,job_summary,post_date,more_info,salary,job_url
Junior Data Scientist,IQVIA,London,"Collaborate with other data scientists, analysts, and business owners within IQVIA on multiple projects to deliver high quality data products, analysis and…",Posted3 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=6dae3e3badd82c3c&fccid=6b7a1dfe07e7f037&vjs=3
Scuderia AlphaTauri - Data Scientist,Red Bull,Bicester,"Improve aero data correlation between tunnel, CFD and track by assisting development of interoperable APIs for data exchange.",Posted30+ days ago,,,https://www.indeed.com/rc/clk?jk=96e2e177ebcda5a6&fccid=8ea54e852901f8b5&vjs=3
Data Scientist role,Deutsche Bank,London,Analysing large data sets from various sources of structured and unstructured data to identify trends and patterns to help the firm optimize is operations.,Posted1 day ago,,,https://www.indeed.com/rc/clk?jk=b51166010244efe1&fccid=f1d8e147024abb3f&vjs=3
Data Scientist,Microgaming,Isle of Man,"Create data science documentation to drive consistent implementation.
Strong applied statistical skills especially in times series and longitudinal data…",Posted16 days ago,Full-time,,https://www.indeed.com/company/Microgaming-Software-Ltd/jobs/Data-Scientist-12479eb4b0fc7fec?fccid=78f618353b7bdbae&vjs=3
Data Scientist,Rackspace,Remote,"Extending company’s data with third party sources of information when needed.
Enhancing data collection procedures to include information that is relevant for…",Posted3 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=d8f0692a98a2efe8&fccid=b60c9324aeb7df96&vjs=3
Data Scientist Intern,Samsung Electronics,Hybrid remote in Staines-upon-Thames,"Strong python skills for data analytics, familiar with common python packages including numpy, pandas, sk-learn and Keras and/or TensorFlow frameworks.",Posted30+ days ago,Internship,,https://www.indeed.com/rc/clk?jk=fbe6613a6bcc4255&fccid=da3c7fed78dd1607&vjs=3
Data Scientist,KPMG,Birmingham+1 location,"Exploratory data analysis for analytics and identifying patterns within data to generate business insight.
Data manipulation skills - manipulating and cleansing…",Posted30+ days ago,Part-time +1,,https://www.indeed.com/rc/clk?jk=a3156543aea30ca7&fccid=2dd390c3a48a7ed0&vjs=3
Data Scientist,Amazon UK Services Ltd.,London,"Three or more years in a research science, ML, or data scientist role and a track record of strong statistical analysis and building machine or deep learning…",PostedToday,Full-time,,https://www.indeed.com/rc/clk?jk=aa868dd64f0601d5&fccid=fe2d21eef233e94a&vjs=3
Data Scientist - Returnship Program,Amazon UK Services Ltd.,London,"Previous experience in a ML or data scientist role.
2+ years of non-internship professional data science experience.
Must be unemployed for 1+ years.",Posted30+ days ago,Full-time +1,,https://www.indeed.com/rc/clk?jk=4b91fb225034dbcd&fccid=fe2d21eef233e94a&vjs=3
Data Scientist,Aviva,Norwich,"You will have experience at each process within data science, problem definition, data acquisition & wrangling, modelling, feature engineering and deployment.",Posted2 days ago,"£25,000 - £46,000 a year","£25,000 - £46,000 a year",https://www.indeed.com/rc/clk?jk=da4fca8d04a3084a&fccid=354f4c12e3c6bd5a&vjs=3
"Data Scientist, UK (Remote)",Andela - Third Party Job Board Only Postings,Remote in Bath,"Flexibility in working with a variety of data science approaches.
Deploy the solution in production in collaboration with the data, engineering and product…",Posted24 days ago,,,https://www.indeed.com/rc/clk?jk=bb2c86e1d5df3bba&fccid=f783f8fbbe72c927&vjs=3
"Data Scientist, Deloitte Ventures, Tax, London",Deloitte,Remote in London,"Experience in working with unstructured data sets.
Experience with data visualisation tools such as Qlikview and Tableau preferred.",Posted30+ days ago,Full-time,,https://www.indeed.com/rc/clk?jk=b7e161814b3f144b&fccid=9e215d88a6b33622&vjs=3
Data Scientist,City of Westminster Council,Westminster,"You should also have experience leading significant data projects, delivering wider strategies and working with data in the public sector.",Posted11 days ago,"£48,402 - £64,314 a year","£48,402 - £64,314 a year",https://www.indeed.com/rc/clk?jk=71ce1fde41587897&fccid=057e594637329eab&vjs=3
Junior Data Scientist,Mosaic Smart Data,London EC2M,"Developing new data science models (from inception to rollout), by communicating with clients, per- forming exploratory data analysis and generating informative…",Posted15 days ago,Full-time,,https://www.indeed.com/company/Mosaic-Smart-Data/jobs/Junior-Data-Scientist-ce82b766bbbbe10d?fccid=1702130295604dbd&vjs=3
Data Scientist,University of Oxford,Oxford OX3,"You will have a degree in a relevant subject and a post-graduate degree in Data Science, Mathematics, Statistics, Computing, or a related subject, and you will…",Posted16 days ago,Full-time,,https://www.indeed.com/rc/clk?jk=3e91dd0fd0ca237a&fccid=3e8af96829591e84&vjs=3
