job_title,company,location,job_summary,post_date,more_info,salary,job_url
¡Quiero sumarme al equipo de Bunker DB!,Bunker db,Uruguay,"Somos simples, divertidos, curiosos y estamos lo suficientemente despiertos para entender, identificar y accionar.",PostedPublicado hace 15 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=e3c49655d714be93&fccid=05c1e031840bed51&vjs=3
Consultor Senior Data Scientist (LATAM),Bunker db,Uruguay,"Liderar y gestionar al equipo interno de acuerdo a las metas planteadas por el negocio y los clientes.
Colaborar con el equipo comercial de la compañía para…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=090f54d847e4551a&fccid=05c1e031840bed51&vjs=3
DMS Data Engineer,The Hackett Group,Uruguay,"Collaborate with data scientists and architects on several projects.
Analyze and organize raw data.
Build data systems and pipelines.",PostedPublicado hace 19 días,Tiempo completo,,https://www.indeed.com/company/The-Hackett-Group/jobs/Dms-data-engineer-1e6adedac6f18156?fccid=ee5d469a6b417e2a&vjs=3
Data Scientist,PedidosYa,"Montevideo, Departamento de Montevideo",PedidosYa es la empresa de tecnología líder en delivery y quick commerce presente en 15 países de América Latina.,PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=1f51ebc51f97e2db&fccid=16a8ea20ab8ec79a&vjs=3
Data Engineer,Wizeline,Uruguay,"Design and implement data platforms for large-scale, high performance and scalable requirements, integrating data from several data sources, managing structured…",PostedPublicado hace 25 días,,,https://www.indeed.com/rc/clk?jk=85c71b78f5a99db7&fccid=da33cac326f2a81b&vjs=3
Data Scientist,Smart Talent,Uruguay,"Para dar lo mejor será importante que cuentes con conocimientos de técnicas y algoritmos de Machine Learning (preferentemente Python/R), así como también en…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=2de375299c1a00cc&fccid=3a74f14e7faa0ec0&vjs=3
Data Scientist II,RELX,Departamento de Río Negro,"Experience in data manipulation, cleansing, relational databases, and statistical modeling using digital data.
Master's degree is a plus.",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=706e4c741c91329b&fccid=098f028fec64b983&vjs=3
DATA SCIENTIST (100% REMOTE FOR USA),Búsquedas IT,"Montevideo, Departamento de Montevideo",We build data analytics platforms for our clients that incorporate machine learning to solve business problems.,PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=8fcc3fd99a975932&fccid=bbe304a3912e878c&vjs=3
Market Analyst,Interfood,Uruguay,"Perform quantitative / qualitative statistical research in collaboration with data scientists.
(External) Training from data & analytics gurus and business…",PostedPublicado hace más de 30 días,,,https://www.indeed.com/rc/clk?jk=5b145ef9e3f395f9&fccid=390ed750874a779d&vjs=3
Front End Developer,Reign,Departamento de Cerro Largo,"Work with data scientists and analysts to improve the software.
You’ll be part of a cross-functional team that’s responsible for the full software development…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=2205aa103fba5693&fccid=db7bb4cfefaf1830&vjs=3
Data Scientist II,Risk Solutions,Departamento de Río Negro,"Experience in data manipulation, cleansing, relational databases, and statistical modeling using digital data.
Master's degree is a plus.",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=a1f1aa01f668242b&fccid=06206ab329e0eb22&vjs=3
Big Data Senior - Remote Work,BairesDev,"Salto, Departamento de Salto","Hands-on experience with managing data loads and data quality a plus.
Write highly efficient Spark jobs to process TB of data.",PostedPublicado hace 1 días,,,https://www.indeed.com/rc/clk?jk=9ddab2dc666e96af&fccid=29707109e86166e5&vjs=3
Senior Machine Learning Engineer,EPAM Systems,Uruguay,"Materialize ML pipelines created by data scientists.
Cooperate with data scientists on the design and implementation of predictive models.",PostedPublicado hace 14 días,,,https://www.indeed.com/rc/clk?jk=83cb511828878787&fccid=532afac41b2663f7&vjs=3
Senior Software Engineer - iOS - Flights,Hopper,Uruguay,"You will collaborate with developers, product managers, designers, data scientists and break down sophisticated problems into small pieces suitable for quick…",PostedPublicado hace más de 30 días,Tiempo completo,,https://www.indeed.com/rc/clk?jk=1f69439b9b28ee5d&fccid=71eb96af97fae7e9&vjs=3
Senior UX/UI Product Designer - Uruguay,Very,Uruguay,"Collaborate with software engineers, hardware engineers and data scientists to implement design.
Bonus points for experience in the Data Viz, Data Science space…",PostedPublicado hace más de 30 días,Tiempo completo +1,,https://www.indeed.com/rc/clk?jk=b8bc3853ab09fc92&fccid=9cf46a262840e26a&vjs=3
