job_title,company,location,job_summary,post_date,more_info,salary,job_url
ML Data Scientist,Amanotes,Thành phố Hồ Chí Minh,"Experience with building data pipeline, data engineering.
Develop processes and tools to monitor and analyze model performance and data accuracy.",PostedPosted 11 days ago,,,https://www.indeed.com/rc/clk?jk=7e9cf540e931e435&fccid=4f37ac231cd9a036&vjs=3
Data Scientist,Lixibox,Thành phố Hồ Chí Minh,"Relevant work experience with large amounts of data.
Involve in the development and evolvement of the data architecture.
Flexible work from home policy.",PostedPosted 5 days ago,,,https://www.indeed.com/rc/clk?jk=4ccb07e4f60825a3&fccid=62e05fdcace97d7e&vjs=3
Data Scientist,SoftwareONE Vietnam,Thành phố Hồ Chí Minh,"Dive into data from various business, analysis of large amount of data from different part.
Collecting structured and unstructured data.",PostedPosted 8 days ago,,,https://www.indeed.com/rc/clk?jk=e3d752ce1a34a881&fccid=17c52016947a3992&vjs=3
CV/CVCC Mô Hình (Data scientist),Mcredit,Hà Nội,Job tags: MODELING RISK MODELING CREDIT RETAIL BANKING FINANCE PYTHON MACHINE LEARNING MODELLING MÔ HÌNH RISK MANAGEMENT data scientist.,PostedPosted 2 days ago,,,https://www.indeed.com/rc/clk?jk=3086d0bf0513bb14&fccid=0990082b9802579d&vjs=3
DATA SCIENTIST,OCB,Thành phố Hồ Chí Minh,"Contribute to the improvement of database management to optimize time for data preprocessing.
Mô tả công việc: - Mine and analyze large-scale data sources to…",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=126426f19e110673&fccid=8f845163455779c4&vjs=3
Data Scientist,Hubble Pte. Ltd,Thành phố Hồ Chí Minh,"Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Collaborate with the Data team to implement and maintain the data…",PostedPosted 15 days ago,,,https://www.indeed.com/rc/clk?jk=5bbef4f451e8dd8c&fccid=cd43b6de2c342c84&vjs=3
Data scientist,Mcredit,Hà Nội,Job tags: MODELING RISK MODELING CREDIT RETAIL BANKING FINANCE PYTHON MACHINE LEARNING MODELLING MÔ HÌNH RISK MANAGEMENT data scientist.,PostedPosted 2 days ago,,,https://www.indeed.com/rc/clk?jk=9b4b7d240c5c389d&fccid=0990082b9802579d&vjs=3
Data Scientist (40000031),Techcombank,Hà Nội,"Extensive experience in building data and analytics solutions, data mining, statistical analysis and data visualization.
Category: Data And Analytics Division.",PostedPosted 26 days ago,,,https://www.indeed.com/rc/clk?jk=0e685ffaf983b66b&fccid=a0a9e262e77c118f&vjs=3
Data Scientist,Công ty Cổ Phần Amanotes,Thành phố Hồ Chí Minh,"Experience with building data pipeline, data engineering.
Develop processes and tools to monitor and analyze model performance and data accuracy.",PostedPosted 10 days ago,,,https://www.indeed.com/rc/clk?jk=6da4531fdd598a2d&fccid=c76026a5ea93782a&vjs=3
Data Scientist/Blockchain/AI/ML Expert,Antler,Thành phố Hồ Chí Minh,"Strong Technical Background: a Data Scientist, Machine Learning Engineer, DevOps Engineer, Blockchain Developer, AI/ML Developer, or a researcher with deep…",PostedPosted 7 days ago,,,https://www.indeed.com/rc/clk?jk=b9af594635ade536&fccid=d97258edefbcde3b&vjs=3
Data Scientist,VinaMilk,Thành phố Hồ Chí Minh,Support Technology and Product Management team in mapping out the data vision and future state data pipeline and architecture.,PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=e41e5136db26a3a2&fccid=42b5ee106027cce6&vjs=3
Data Scientist/ Credit Risk Analyst,Gofingo Vietnam,Thành phố Hồ Chí Minh,"Collecting and cleaning data from various sources;
Experience in data analysis and presentation for teams and senior management.
Đăng nhập để xem mức lương.",PostedToday,,,https://www.indeed.com/rc/clk?jk=1742434c3d4b1733&fccid=45a7a0fbb9dce50f&vjs=3
Data and Research Officer,International Union for Conservation of Nature,Hà Nội,"Undertake analysis of survey data;
Ability to analyse large data sets;
Collect and report survey data in an organized manner;",PostedPosted 12 days ago,,,https://www.indeed.com/rc/clk?jk=6a89d2e76c37ded5&fccid=c6dab415dd8515a7&vjs=3
Data Scientist,Citigo,Hà Nội,Work with stakeholders/other departments to understand various requirements from product teams and business teams and identify opportunities for leveraging…,PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=eeb5d51ff15db9eb&fccid=dbcded3da637dd15&vjs=3
Data Scientist (Japanese Speaking),Cinnamon AI Labs,Thành phố Hồ Chí Minh,"Develop client data models and algorithms to apply to data sets.
Experience in large-scale data processing for both structured and unstructured data-Experience…",PostedPosted 9 days ago,,,https://www.indeed.com/rc/clk?jk=2e7accbba5dccfc6&fccid=caef0f8daa8ec285&vjs=3
Data Scientist,VNG Corporation,Thành phố Hồ Chí Minh,You’ll be working on very exciting projects using big data technologies with terabytes of data coming from different source.,PostedPosted 17 days ago,,,https://www.indeed.com/rc/clk?jk=951a3fecb34ee8f5&fccid=013b7faa327da923&vjs=3
Data Scientist (Analytics),Grab,Thành phố Hồ Chí Minh,"Strong ability to work with large and complex data sets.
Maintain own set of data / ETL for analysis, dashboards and reports.
The Day-to-Day Activities:",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=efa86abd7c0ab6fa&fccid=b79fa3ee18655a5a&vjs=3
Data Scientist/AI/ML,FPT Software Danang,Hà Nội,Strong communication skills and the ability to naturally explain difficult technical topics (especially causal topics) to everyone from data scientists to…,PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=c242f44c3ba2a3df&fccid=b9fc4d46ab21de09&vjs=3
Digital Data Scientist,VIB,Thành phố Hồ Chí Minh,"Loại hình công việc Fulltime (toàn thời gian).
Chịu trách nhiệm thực hiện xây dựng các thuật toán tiên tiến và làm việc với các công cụ áp dụng Machine Learning…",PostedPosted 9 days ago,,,https://www.indeed.com/rc/clk?jk=7f21e79917511555&fccid=b95ffcf45f7f4111&vjs=3
Machine Learning/ Data Scientist,Công ty TNHH Earable Việt Nam,Hà Nội,"Develop algorithms for the analysis and enhancement of cognitive processing by formulating solutions based on scientific background, literature review, and data…",PostedPosted 15 days ago,,,https://www.indeed.com/rc/clk?jk=104251af7d129ad9&fccid=5798940a6b20e621&vjs=3
Junior Software Engineer - Build by McKinsey - Ho Chi Minh C...,McKinsey & Company,Hà Nội,"While we advocate for using the right tech for the right task, we often leverage the following technologies: JavaScript, TypeScript, React.js, Angular.js, Next…",PostedPosted 9 days ago,,,https://www.indeed.com/rc/clk?jk=bd37f90b50d5964c&fccid=6576e7250aa78c3c&vjs=3
Data Scientist,TalentNex Consulting Pte Ltd.,Việt Nam,"In addition, to analyse the data, pre-processing, and select right algorithm to train and modelling.
Develop and deploy machine learning algorithm.",PostedPosted 3 days ago,,,https://www.indeed.com/rc/clk?jk=61a7cb2ed893e658&fccid=68cc6f09329e091e&vjs=3
Data Engineer,Helius Technologies,Thành phố Hồ Chí Minh,"Perform all needed data transformation to populate a reporting optimised data warehouse.
Experience in machine learning operations, or setting up environments…",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=7ab57c3c9f891358&fccid=b3282c125f18e0c0&vjs=3
Data Scientist (Analytics),Kudo,Việt Nam,"Strong ability to work with large and complex data sets.
Maintain own set of data / ETL for analysis, dashboards and reports.
The Day-to-Day Activities:",PostedPosted 12 days ago,,,https://www.indeed.com/rc/clk?jk=537ab35270bb01b6&fccid=dcd77e8a328a074f&vjs=3
Data Engineer,TenPoint7,Thành phố Hồ Chí Minh,"Work closely with our data scientist to help integrate machine learning algorithm into the system.
Experience in crawling data, building (or maintaining) ETL…",PostedPosted 24 days ago,,,https://www.indeed.com/rc/clk?jk=9972308284368857&fccid=ea2325be71a4acfb&vjs=3
Data Engineer (40000064),Techcombank,Hà Nội,Collaborate with Data Scientists to understand data requirements and create re-usable data assets to enable data scientists to build and deploy machine learning…,PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=cffb345730dcffb9&fccid=a0a9e262e77c118f&vjs=3
Data Science Expert,KPMG,Thành phố Hồ Chí Minh,"Minimum of five years of experience leading teams of at least five data scientists, engineers, and other data & analytics professionals, including business…",PostedPosted 30+ days ago,,,https://www.indeed.com/rc/clk?jk=a9e5e825f2b55df9&fccid=2dd390c3a48a7ed0&vjs=3
"Mgr, Data Science",NielsenIQ,Thành phố Hồ Chí Minh,"Good aptitude for data analysis.
Familiar with excel; aptitude to learn platforms to work on data queries.
Work on creating new solutions use cases, proof of…",PostedPosted 24 days ago,,,https://www.indeed.com/rc/clk?jk=4b8d8f4e250e943f&fccid=f8c8e23b0630e4f8&vjs=3
